prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
1,state,back_12_15,8,top1_mass,0.1875,0.5,-0.3125,-0.5625,-0.0625,0.058823529411764705,0.9019607843137255,16,16
1,state,back_12_15,3,entropy,0.5,0.25,0.25,0.125,0.375,0.0784313725490196,1.0,16,16
1,action,front_2_5,9,consensus_distance,0.4375,0.25,0.1875,0.0625,0.25,0.11764705882352941,1.0,16,16
1,action,back_12_15,0,entropy,0.25,0.5,-0.25,-0.375,-0.0625,0.1568627450980392,1.0,16,16
1,action,front_2_5,0,token_dispersion,0.5,0.3125,0.1875,-0.1578125,0.5,0.1568627450980392,1.0,16,16
1,action,front_2_5,8,consensus_distance,0.5,0.3125,0.1875,0.0625,0.25,0.1568627450980392,1.0,16,16
1,state,back_12_15,7,entropy,0.4375,0.1875,0.25,-0.1578125,0.75,0.1568627450980392,1.0,16,16
1,state,front_2_5,8,entropy,0.4375,0.1875,0.25,-0.125,0.625,0.1568627450980392,1.0,16,16
1,action,front_2_5,9,token_dispersion,0.5,0.3125,0.1875,-0.1578125,0.5625,0.17647058823529413,1.0,16,16
1,state,back_12_15,0,top1_mass,0.1875,0.4375,-0.25,-0.5,0.0,0.17647058823529413,1.0,16,16
1,action,back_12_15,7,top1_mass,0.1875,0.375,-0.1875,-0.375,0.0,0.19607843137254902,1.0,16,16
1,action,back_12_15,6,top1_mass,0.1875,0.375,-0.1875,-0.375,0.0,0.21568627450980393,1.0,16,16
1,action,back_12_15,9,consensus_distance,0.5,0.3125,0.1875,-0.1578125,0.5,0.21568627450980393,1.0,16,16
1,action,front_2_5,7,top1_mass,0.4375,0.25,0.1875,0.0,0.375,0.23529411764705882,1.0,16,16
1,action,back_12_15,1,entropy,0.25,0.4375,-0.1875,-0.375,0.0,0.27450980392156865,1.0,16,16
1,action,back_12_15,5,top1_mass,0.1875,0.375,-0.1875,-0.25,-0.0625,0.27450980392156865,1.0,16,16
1,action,front_2_5,6,top1_mass,0.4375,0.25,0.1875,0.0,0.375,0.27450980392156865,1.0,16,16
1,action,back_12_15,4,top1_mass,0.25,0.4375,-0.1875,-0.375,0.0,0.29411764705882354,1.0,16,16
1,action,back_12_15,6,entropy,0.3125,0.5,-0.1875,-0.5625,0.0,0.29411764705882354,1.0,16,16
1,state,front_2_5,0,consensus_distance,0.375,0.1875,0.1875,0.0625,0.25,0.29411764705882354,1.0,16,16
1,state,front_2_5,0,top1_mass,0.5,0.3125,0.1875,0.0625,0.25,0.3137254901960784,1.0,16,16
1,state,front_2_5,1,top1_mass,0.4375,0.25,0.1875,0.0625,0.25,0.3137254901960784,1.0,16,16
1,state,back_12_15,8,consensus_distance,0.4375,0.25,0.1875,-0.1578125,0.5625,0.3333333333333333,1.0,16,16
1,action,front_2_5,0,consensus_distance,0.4375,0.3125,0.125,0.0,0.25,0.35294117647058826,1.0,16,16
1,action,back_12_15,9,entropy,0.25,0.4375,-0.1875,-0.5625,0.0,0.37254901960784315,1.0,16,16
1,state,front_2_5,5,top1_mass,0.375,0.25,0.125,0.0,0.25,0.37254901960784315,1.0,16,16
1,action,front_2_5,5,consensus_distance,0.5,0.375,0.125,0.0,0.25,0.39215686274509803,1.0,16,16
1,action,front_2_5,6,consensus_distance,0.5,0.375,0.125,0.0,0.25,0.39215686274509803,1.0,16,16
1,action,front_2_5,3,consensus_distance,0.5625,0.4375,0.125,-0.125,0.25,0.4117647058823529,1.0,16,16
