organization,W,q,fa_observed,recall,recall_stagnation,recall_other,recall_loop
token0 (st_deep),2,0.5,0.0608,0.7546,0.938,0.511,0.463
token1,2,0.5,0.0608,0.7454,0.93,0.468,0.488
token2,8,0.2,0.0777,0.75,0.922,0.511,0.488
token3,8,0.2,0.0743,0.7361,0.906,0.468,0.512
token4,2,0.5,0.0574,0.7407,0.945,0.468,0.415
token5,6,0.2,0.0743,0.7639,0.93,0.511,0.537
token6,8,0.2,0.0743,0.75,0.922,0.511,0.488
token7,8,0.2,0.0777,0.7685,0.914,0.553,0.561
token8,4,0.4,0.0676,0.7778,0.961,0.511,0.512
token9,8,0.2,0.0743,0.7639,0.922,0.468,0.61
token10,8,0.3,0.0777,0.7639,0.953,0.511,0.463
mean_1_10 (ac_deep),6,0.2,0.0743,0.7546,0.922,0.489,0.537
mean_all_11,2,0.5,0.0507,0.7361,0.93,0.489,0.415
near_1_3,2,0.5,0.0608,0.7454,0.93,0.489,0.463
far_8_10,8,0.2,0.0608,0.7593,0.93,0.511,0.512
min_1_10,4,0.2,0.0574,0.7407,0.922,0.468,0.488
max_1_10,8,0.2,0.0574,0.75,0.945,0.489,0.439
std_1_10,8,0.3,0.0743,0.5139,0.742,0.213,0.146
range_1_10,8,0.2,0.0439,0.4028,0.602,0.17,0.049
far_over_near,8,0.3,0.0642,0.1759,0.164,0.149,0.244
far_minus_near,8,0.3,0.0709,0.1898,0.195,0.128,0.244
token_slope,8,0.2,0.0473,0.1574,0.18,0.085,0.171
