channel,distance,W,q,fa_observed,recall,n_detected_of_216,recall_stagnation,recall_other,recall_loop
st,hellinger,2,0.05,0.0338,0.5046,109,0.734,0.17,0.171
st,hellinger,2,0.1,0.0473,0.6481,140,0.891,0.255,0.341
st,hellinger,2,0.2,0.0574,0.7315,158,0.93,0.468,0.415
st,hellinger,2,0.3,0.0608,0.7361,159,0.93,0.489,0.415
st,hellinger,2,0.4,0.0608,0.7407,160,0.93,0.511,0.415
st,hellinger,2,0.5,0.0608,0.7546,163,0.938,0.511,0.463
st,hellinger,4,0.05,0.0372,0.4861,105,0.672,0.255,0.171
st,hellinger,4,0.1,0.0473,0.713,154,0.906,0.447,0.415
st,hellinger,4,0.2,0.0541,0.7315,158,0.914,0.468,0.463
st,hellinger,4,0.3,0.0574,0.7361,159,0.914,0.489,0.463
st,hellinger,4,0.4,0.0676,0.75,162,0.914,0.511,0.512
st,hellinger,4,0.5,0.098,0.7546,163,0.914,0.511,0.537
st,hellinger,6,0.05,0.0372,0.625,135,0.828,0.34,0.317
st,hellinger,6,0.1,0.0473,0.7037,152,0.891,0.447,0.415
st,hellinger,6,0.2,0.0574,0.7269,157,0.898,0.489,0.463
st,hellinger,6,0.3,0.1149,0.7407,160,0.906,0.489,0.512
st,hellinger,6,0.4,0.1622,0.7546,163,0.906,0.511,0.561
st,hellinger,6,0.5,0.2095,0.7731,167,0.914,0.511,0.634
st,hellinger,8,0.05,0.0372,0.5417,117,0.719,0.298,0.268
st,hellinger,8,0.1,0.0507,0.6713,145,0.867,0.426,0.341
st,hellinger,8,0.2,0.0507,0.6898,149,0.883,0.447,0.366
st,hellinger,8,0.3,0.0676,0.7361,159,0.898,0.511,0.488
st,hellinger,8,0.4,0.1115,0.7361,159,0.898,0.511,0.488
st,hellinger,8,0.5,0.1791,0.7407,160,0.898,0.511,0.512
st,wjaccard,2,0.05,0.0338,0.4954,107,0.734,0.128,0.171
st,wjaccard,2,0.1,0.0473,0.6435,139,0.883,0.255,0.341
st,wjaccard,2,0.2,0.0608,0.7222,156,0.922,0.447,0.415
st,wjaccard,2,0.3,0.0608,0.7315,158,0.93,0.468,0.415
st,wjaccard,2,0.4,0.0608,0.7407,160,0.93,0.511,0.415
st,wjaccard,2,0.5,0.0642,0.75,162,0.93,0.511,0.463
st,wjaccard,4,0.05,0.0372,0.4907,106,0.68,0.255,0.171
st,wjaccard,4,0.1,0.0541,0.713,154,0.906,0.447,0.415
st,wjaccard,4,0.2,0.0541,0.7315,158,0.914,0.468,0.463
st,wjaccard,4,0.3,0.0642,0.7454,161,0.914,0.511,0.488
st,wjaccard,4,0.4,0.0946,0.75,162,0.914,0.511,0.512
st,wjaccard,4,0.5,0.098,0.7546,163,0.914,0.511,0.537
st,wjaccard,6,0.05,0.0372,0.6019,130,0.789,0.34,0.317
st,wjaccard,6,0.1,0.0473,0.713,154,0.891,0.468,0.439
st,wjaccard,6,0.2,0.0709,0.7315,158,0.906,0.489,0.463
st,wjaccard,6,0.3,0.0912,0.75,162,0.914,0.489,0.537
st,wjaccard,6,0.4,0.1486,0.7685,166,0.914,0.511,0.61
st,wjaccard,6,0.5,0.2095,0.787,170,0.922,0.532,0.659
st,wjaccard,8,0.05,0.0372,0.5185,112,0.695,0.277,0.244
st,wjaccard,8,0.1,0.0507,0.6713,145,0.859,0.426,0.366
st,wjaccard,8,0.2,0.0574,0.713,154,0.891,0.468,0.439
st,wjaccard,8,0.3,0.098,0.7361,159,0.898,0.511,0.488
st,wjaccard,8,0.4,0.1284,0.7361,159,0.898,0.511,0.488
st,wjaccard,8,0.5,0.1757,0.7407,160,0.898,0.532,0.488
st,tv,2,0.05,0.0338,0.4954,107,0.734,0.128,0.171
st,tv,2,0.1,0.0473,0.6435,139,0.883,0.255,0.341
st,tv,2,0.2,0.0574,0.7222,156,0.922,0.447,0.415
st,tv,2,0.3,0.0608,0.7315,158,0.93,0.468,0.415
st,tv,2,0.4,0.0608,0.7407,160,0.93,0.511,0.415
st,tv,2,0.5,0.0642,0.75,162,0.93,0.511,0.463
st,tv,4,0.05,0.0372,0.4861,105,0.672,0.255,0.171
st,tv,4,0.1,0.0473,0.713,154,0.906,0.447,0.415
st,tv,4,0.2,0.0541,0.7315,158,0.914,0.468,0.463
st,tv,4,0.3,0.0541,0.7407,160,0.914,0.489,0.488
st,tv,4,0.4,0.0845,0.75,162,0.914,0.511,0.512
st,tv,4,0.5,0.098,0.7546,163,0.914,0.511,0.537
st,tv,6,0.05,0.0372,0.6111,132,0.805,0.34,0.317
st,tv,6,0.1,0.0473,0.7083,153,0.891,0.447,0.439
st,tv,6,0.2,0.0676,0.7315,158,0.906,0.489,0.463
st,tv,6,0.3,0.098,0.7454,161,0.906,0.489,0.537
st,tv,6,0.4,0.1554,0.7685,166,0.914,0.511,0.61
st,tv,6,0.5,0.2095,0.787,170,0.922,0.532,0.659
st,tv,8,0.05,0.0372,0.5324,115,0.703,0.298,0.268
st,tv,8,0.1,0.0507,0.6667,144,0.852,0.426,0.366
st,tv,8,0.2,0.0574,0.6944,150,0.875,0.447,0.415
st,tv,8,0.3,0.0946,0.7361,159,0.898,0.511,0.488
st,tv,8,0.4,0.1351,0.7361,159,0.898,0.511,0.488
st,tv,8,0.5,0.1757,0.7407,160,0.898,0.532,0.488
st,js,2,0.05,0.0338,0.5,108,0.727,0.17,0.171
st,js,2,0.1,0.0473,0.6481,140,0.891,0.255,0.341
st,js,2,0.2,0.0574,0.7315,158,0.93,0.468,0.415
st,js,2,0.3,0.0608,0.7361,159,0.93,0.489,0.415
st,js,2,0.4,0.0608,0.7407,160,0.93,0.511,0.415
