relative_query,layer_group,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range
-4,front,0.03745738044381142,0.03568012480224882,0.03168897703289986,0.038377828896045685,1.04981080227193,inside
-4,back,0.025269825011491776,0.02720760554075241,0.022740745916962624,0.02974436804652214,0.9287779835547025,inside
-3,front,0.04115450754761696,0.03593400440045765,0.03350074961781502,0.03762957826256752,1.1452803057789134,above_all
-3,back,0.029380260035395622,0.025449248030781746,0.02331235446035862,0.028213724493980408,1.1544647606035032,above_all
-2,front,0.03653427213430405,0.035983006336859295,0.0332270972430706,0.0404643639922142,1.0153201706462214,inside
-2,back,0.022530848160386086,0.02722583817584174,0.024543708190321922,0.029357653111219406,0.8275538852052073,below_all
-1,front,0.041123680770397186,0.04174369626811573,0.03945418447256088,0.04428284615278244,0.9851470867903924,inside
-1,back,0.026814758777618408,0.0339560051049505,0.030498553067445755,0.03592744842171669,0.7896912105749756,below_all
0,front,0.04388777166604996,0.047891296446323395,0.04526814818382263,0.05111751705408096,0.9164039172595674,below_all
0,back,0.03320065140724182,0.03954249194690159,0.03750816732645035,0.04133540019392967,0.8396196034338019,below_all
1,front,0.04562874883413315,0.04122340998479298,0.03719291090965271,0.04370928928256035,1.1068649791699732,above_all
1,back,0.04906374588608742,0.040294330034937174,0.03611385449767113,0.04277460649609566,1.2176339907760403,above_all
2,front,0.03477925807237625,0.03590987596128668,0.03117729164659977,0.040226176381111145,0.9685151268656758,inside
2,back,0.04376091808080673,0.034656702407768795,0.028932854533195496,0.03710147738456726,1.262697113127448,above_all
3,front,0.033784762024879456,0.03211045637726784,0.028907230123877525,0.03606252744793892,1.0521420694847838,inside
3,back,0.030473699793219566,0.026377543807029724,0.022773778066039085,0.029209543019533157,1.155289515057054,above_all
4,front,0.03346283733844757,0.032673915582043786,0.029750151559710503,0.03496052324771881,1.0241453080339518,inside
4,back,0.026947949081659317,0.025623231594051634,0.022702330723404884,0.02780219353735447,1.051699860056497,inside
5,front,0.035806480795145035,0.032554799424750466,0.029189057648181915,0.03403066471219063,1.099883317601472,above_all
5,back,0.02937319502234459,0.026209290538515364,0.020796163007616997,0.02857608161866665,1.1207169068227838,above_all
6,front,0.03946151211857796,0.03338642737695149,0.031297989189624786,0.03835331276059151,1.1819627081698607,above_all
6,back,0.03133240342140198,0.026791368212018694,0.0231822207570076,0.033265795558691025,1.1694962039059342,inside
7,front,0.03512324392795563,0.033057773751871924,0.029386773705482483,0.0369890071451664,1.0624806192814706,inside
7,back,0.02616746351122856,0.02599586918950081,0.02236241288483143,0.030064277350902557,1.0066008303271912,inside
8,front,0.035641130059957504,0.0346525955413069,0.03277425095438957,0.03813569247722626,1.0285269978542368,inside
8,back,0.02916228026151657,0.028453746810555458,0.02295190840959549,0.032099757343530655,1.0249012355272056,inside
