relative_query,stored_layer_index,model_layer,layer_group,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range
-4,0,2,front,0.2231721729040146,0.28227329679897856,0.2602969706058502,0.29554852843284607,0.7906244601767877,below_all
-4,1,3,front,0.19324128329753876,0.20976307136671885,0.1890733242034912,0.23497086763381958,0.9212359546342844,inside
-4,2,4,front,0.41509684920310974,0.3474167968545641,0.2418924868106842,0.48655787110328674,1.1948093844664567,inside
-4,3,5,front,0.18201367557048798,0.17571860126086644,0.14654214680194855,0.2283959984779358,1.0358247462957895,inside
-4,4,12,back,0.12049149721860886,0.1154770702123642,0.10858961939811707,0.12130521982908249,1.0434235731563248,inside
-4,5,13,back,0.12143167853355408,0.1161232590675354,0.10284726321697235,0.1312684416770935,1.0457136624363201,inside
-4,6,14,back,0.09275994449853897,0.11759619095495769,0.10722166299819946,0.13150684535503387,0.7888005873767491,below_all
-4,7,15,back,0.10303139686584473,0.1072559803724289,0.09382181614637375,0.11862269788980484,0.9606121403028998,inside
-3,0,2,front,0.21291722357273102,0.2560756972857884,0.23008669912815094,0.2809930145740509,0.8314620474707087,below_all
-3,1,3,front,0.19492438435554504,0.22250189525740488,0.1885470747947693,0.28571850061416626,0.8760571865243828,inside
-3,2,4,front,0.39773768186569214,0.38080887283597675,0.3229287564754486,0.45731645822525024,1.044454870244074,inside
-3,3,5,front,0.18112897872924805,0.19167154601642064,0.16394692659378052,0.23848603665828705,0.9449967013556128,inside
-3,4,12,back,0.1277107447385788,0.11762029039008277,0.10695003718137741,0.1236942782998085,1.0857883815371605,above_all
-3,5,13,back,0.10390011966228485,0.1112275357757296,0.09948183596134186,0.1353244036436081,0.9341222830988617,inside
-3,6,14,back,0.09102681279182434,0.10559925436973572,0.09751974046230316,0.11923439055681229,0.8620024197624659,below_all
-3,7,15,back,0.09048333764076233,0.10119650725807462,0.09731324017047882,0.10825427621603012,0.8941349863983821,below_all
-2,0,2,front,0.21982067823410034,0.23126425274780818,0.21752285957336426,0.25403791666030884,0.9505173221639793,inside
-2,1,3,front,0.21983246505260468,0.23083416053227016,0.18010380864143372,0.2754895091056824,0.9523393961522109,inside
-2,2,4,front,0.4125216007232666,0.41422838398388456,0.3461013436317444,0.45924559235572815,0.9958796081422456,inside
-2,3,5,front,0.1746189296245575,0.1808264298098428,0.16288772225379944,0.20823520421981812,0.9656714995047289,inside
-2,4,12,back,0.13196811079978943,0.10897574893065862,0.09651987999677658,0.12065142393112183,1.2109860413417382,above_all
-2,5,13,back,0.11126439273357391,0.11302481804575239,0.10525717586278915,0.1298128068447113,0.9844244357777612,inside
-2,6,14,back,0.08678984642028809,0.10150175648076194,0.0907953679561615,0.11738213896751404,0.8550575815575934,below_all
-2,7,15,back,0.0869346335530281,0.10161154078585762,0.089861661195755,0.11531658470630646,0.8555586587968337,below_all
-1,0,2,front,0.2255566120147705,0.22413914969989232,0.21618704497814178,0.2360573410987854,1.0063240282510935,inside
-1,1,3,front,0.23341836035251617,0.22010654636791774,0.20534418523311615,0.24623079597949982,1.0604789553253322,inside
-1,2,4,front,0.3564327657222748,0.34744888969830107,0.3160364329814911,0.3983391225337982,1.0258566836456857,inside
-1,3,5,front,0.1723916381597519,0.1823461013180869,0.15044471621513367,0.2231576144695282,0.9454089608366767,inside
-1,4,12,back,0.12152367830276489,0.10613229445048741,0.09842773526906967,0.11322861909866333,1.1450207397472014,above_all
-1,5,13,back,0.11589867621660233,0.1105257762329919,0.10184849053621292,0.11776793003082275,1.0486121895428644,inside
