relative_query,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range,cosine_to_same_phase_success_center,nearest_success_phase,nearest_success_phase_distance,phase_advance
-4,0.15876612067222595,0.16641720863325254,0.062173884361982346,0.37716519832611084,0.9540246587245197,inside,0.971887528471441,-3,0.11416681110858917,1
-3,0.32524052262306213,0.14459689067942755,0.08373092859983444,0.20279738306999207,2.249291261346158,above_all,0.8403692815892793,-2,0.25581058859825134,1
-2,0.2670608460903168,0.19193361699581146,0.1447264403104782,0.2601971924304962,1.3914229840004777,above_all,0.8632771690557992,-2,0.2670608460903168,0
-1,0.3478833734989166,0.12165383249521255,0.065122090280056,0.25055578351020813,2.8596170491596054,above_all,0.751053164822271,-1,0.3478833734989166,0
0,0.4021908640861511,0.11189708965165275,0.06873204559087753,0.15304267406463623,3.5942924461950976,above_all,0.5633287798586671,0,0.4021908640861511,0
1,0.33144229650497437,0.17516606513942992,0.11681800335645676,0.2582651972770691,1.89216042639966,above_all,0.9249329704048865,1,0.33144229650497437,0
2,0.27262380719184875,0.2853574071611677,0.12919437885284424,0.48187026381492615,0.9553766622145992,inside,0.9577511155310704,3,0.19744183123111725,1
3,0.34470006823539734,0.3130462169647217,0.14943431317806244,0.487895667552948,1.101115584713304,inside,0.9576542303654901,4,0.2520458698272705,1
4,0.3064233064651489,0.3347143701144627,0.20342819392681122,0.4730677008628845,0.9154769971792993,inside,0.9664318912371794,4,0.3064233064651489,0
5,0.28729012608528137,0.3496427983045578,0.20972175896167755,0.5412461757659912,0.8216675060329317,inside,0.9374946288401376,5,0.28729012608528137,0
6,0.3079109489917755,0.2793570033141545,0.19933980703353882,0.4288517236709595,1.1022131012964451,inside,0.9184440338396026,6,0.3079109489917755,0
7,0.2728206217288971,0.30339232087135315,0.1777898222208023,0.6360189318656921,0.8992337740960183,inside,0.9539000758799417,6,0.20417368412017822,-1
8,0.42861977219581604,0.4296968494142805,0.2546272575855255,0.7342336177825928,0.9974934021044543,inside,0.8728982861615299,6,0.41223466396331787,-2
