relative_query,layer_group,token_type,nearest_success_phase,nearest_success_phase_distance,phase_advance,same_phase_distance
-4,front,state,-2,0.04670240730047226,2,0.11015163362026215
-4,front,action,-2,0.023216713219881058,2,0.026161689311265945
-4,back,state,-2,0.04592942073941231,2,0.07849203050136566
-4,back,action,-2,0.02413187175989151,2,0.032117702066898346
-3,front,state,-1,0.06063885614275932,2,0.09648681432008743
-3,front,action,-2,0.02713375724852085,1,0.03151782229542732
-3,back,state,-1,0.054022032767534256,2,0.06932449340820312
-3,back,action,-2,0.03554314747452736,1,0.0409698486328125
-2,front,state,-1,0.07233019173145294,1,0.07871481776237488
-2,front,action,-2,0.02931806445121765,0,0.02931806445121765
-2,back,state,-1,0.0591588094830513,1,0.0642160028219223
-2,back,action,-2,0.037817202508449554,0,0.037817202508449554
-1,front,state,-1,0.09527450799942017,0,0.09527450799942017
-1,front,action,-2,0.0402020663022995,-1,0.04660452902317047
-1,back,state,-1,0.0671883374452591,0,0.0671883374452591
-1,back,action,-1,0.0419904999434948,0,0.0419904999434948
0,front,state,0,0.11602489650249481,0,0.11602489650249481
0,front,action,0,0.0447869598865509,0,0.0447869598865509
0,back,state,0,0.06849147379398346,0,0.06849147379398346
0,back,action,0,0.04448336735367775,0,0.04448336735367775
1,front,state,2,0.10614100098609924,1,0.1401723176240921
1,front,action,2,0.02294383943080902,1,0.024740930646657944
1,back,state,2,0.06416945904493332,1,0.07444346696138382
1,back,action,2,0.04685293510556221,1,0.04744841530919075
2,front,state,4,0.09113813936710358,2,0.16466505825519562
2,front,action,3,0.021301325410604477,1,0.021309882402420044
2,back,state,3,0.052359841763973236,1,0.05583050847053528
2,back,action,3,0.038979269564151764,1,0.042619988322257996
3,front,state,5,0.10025009512901306,2,0.14779052138328552
3,front,action,4,0.02220432087779045,1,0.024112742394208908
3,back,state,3,0.0628960132598877,0,0.0628960132598877
3,back,action,4,0.03761241212487221,1,0.04164478927850723
4,front,state,5,0.11351311206817627,1,0.13250526785850525
4,front,action,5,0.024602318182587624,1,0.024927927181124687
4,back,state,4,0.06686853617429733,0,0.06686853617429733
4,back,action,4,0.0387362465262413,0,0.0387362465262413
5,front,state,5,0.11638818681240082,0,0.11638818681240082
5,front,action,5,0.026926379650831223,0,0.026926379650831223
5,back,state,5,0.0768529549241066,0,0.0768529549241066
5,back,action,5,0.04384763166308403,0,0.04384763166308403
6,front,state,6,0.11842764914035797,0,0.11842764914035797
6,front,action,5,0.025941276922822,-1,0.026175254955887794
6,back,state,7,0.07824719697237015,1,0.08099965751171112
6,back,action,5,0.04503139853477478,-1,0.04596100002527237
7,front,state,8,0.15782597661018372,1,0.16215142607688904
7,front,action,6,0.022447917610406876,-1,0.022514089941978455
7,back,state,7,0.06771468371152878,0,0.06771468371152878
7,back,action,6,0.04332883283495903,-1,0.04403967410326004
8,front,state,8,0.16771167516708374,0,0.16771167516708374
8,front,action,8,0.028323430567979813,0,0.028323430567979813
8,back,state,8,0.07002319395542145,0,0.07002319395542145
8,back,action,8,0.04296115040779114,0,0.04296115040779114
