relative_query,layer_group,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range
-4,front,0.25338098406791687,0.2537929436990193,0.22304299473762512,0.2989223003387451,0.9983767884752897,inside
-4,back,0.10942862927913666,0.11411312541791371,0.10805682092905045,0.11975383758544922,0.9589486650057025,inside
-3,front,0.24667707085609436,0.2627645028488977,0.23728196322917938,0.2961929142475128,0.9387762356848696,inside
-3,back,0.10328025370836258,0.10891089801277433,0.10132157057523727,0.11620461940765381,0.9483004510370365,inside
-2,front,0.2566984295845032,0.26428830197879244,0.23014292120933533,0.2813182771205902,0.9712818451007403,inside
-2,back,0.10423924028873444,0.10627846526248115,0.10102640837430954,0.11922712624073029,0.9808124348737033,inside
-1,front,0.24694985151290894,0.24351017602852412,0.2268446683883667,0.2650424540042877,1.0141253870391926,inside
-1,back,0.10328896343708038,0.09870729488985878,0.09430038183927536,0.10359295457601547,1.046416716741493,inside
0,front,0.2133498340845108,0.22084549708025797,0.20605908334255219,0.24506187438964844,0.9660592446083556,inside
0,back,0.10186014324426651,0.10129557975700923,0.09556795656681061,0.10848045349121094,1.0055734266846743,inside
1,front,0.33593910932540894,0.29431207690920147,0.25099560618400574,0.36377638578414917,1.1414384107283844,inside
1,back,0.10578267276287079,0.1099216416478157,0.10336887836456299,0.11672234535217285,0.9623461874941243,inside
2,front,0.44197243452072144,0.34897015350205557,0.30494874715805054,0.3902240991592407,1.266504972088159,above_all
2,back,0.09034548699855804,0.10190637196813311,0.09570740908384323,0.10594241321086884,0.886553855796277,below_all
3,front,0.4639118015766144,0.376248904636928,0.32597023248672485,0.4190104007720947,1.2329917665123282,above_all
3,back,0.09967328608036041,0.09704345890453883,0.0889335423707962,0.10214786231517792,1.027099478991248,inside
4,front,0.4849042594432831,0.4071090987750462,0.35633209347724915,0.4418703019618988,1.1910916776419769,above_all
4,back,0.10590426623821259,0.10242840009076255,0.09741023927927017,0.1069246307015419,1.033934593768623,inside
5,front,0.48000961542129517,0.4193911850452423,0.3728236258029938,0.45648425817489624,1.1445391141673937,above_all
5,back,0.10277897119522095,0.10931313037872314,0.10383440554141998,0.11404626071453094,0.9402253035763943,below_all
6,front,0.46060800552368164,0.39911067485809326,0.38129937648773193,0.41485679149627686,1.154085907843618,above_all
6,back,0.10574237257242203,0.10982246696949005,0.10214156657457352,0.1178131252527237,0.9628482722191851,inside
7,front,0.4758511483669281,0.3779011751924242,0.3571767807006836,0.39440175890922546,1.2591946773508407,above_all
7,back,0.1081051230430603,0.10722594921078,0.1000370979309082,0.1113397404551506,1.0081992636927097,inside
8,front,0.47598743438720703,0.37259855440684725,0.33424848318099976,0.4084603190422058,1.2774806256158138,above_all
8,back,0.11032234132289886,0.1058608346751758,0.10069996863603592,0.11406905949115753,1.0421450167232553,inside
