relative_query,layer_group,action_position_1based,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range
-4,front,1,0.0346243754029274,0.02777952780680997,0.021342089399695396,0.030857998877763748,1.246398990066327,above_all
-4,front,2,0.0260709710419178,0.026136178789394244,0.020024800673127174,0.034715332090854645,0.997505077234056,inside
-4,front,3,0.04185963049530983,0.02490786968597344,0.01808631792664528,0.03351261466741562,1.680578508843033,above_all
-4,front,4,0.03310752660036087,0.027539333062512533,0.021887129172682762,0.03787527605891228,1.2021905732142784,inside
-4,front,5,0.024375641718506813,0.026657192036509514,0.022831760346889496,0.03268402814865112,0.9144114535815361,inside
-4,front,6,0.03434174507856369,0.027074732152479037,0.020150447264313698,0.032932765781879425,1.2684057181123125,above_all
-4,front,7,0.028140077367424965,0.02979570600603308,0.02191799320280552,0.042003192007541656,0.9444339852771779,inside
-4,front,8,0.0268440879881382,0.026131248899868557,0.02150098606944084,0.032214246690273285,1.0272791817567215,inside
-4,front,9,0.03099946305155754,0.02647030247109277,0.02020929753780365,0.03283045440912247,1.171103469082414,inside
-4,front,10,0.02560321055352688,0.028623411698000773,0.024605652317404747,0.034306883811950684,0.894484935047598,inside
-4,back,1,0.02824326790869236,0.021899266966751645,0.0173327699303627,0.02532372809946537,1.2896901047680014,above_all
-4,back,2,0.024310950189828873,0.020398550533822606,0.017824674025177956,0.02400035597383976,1.1917979245397443,above_all
-4,back,3,0.025185417383909225,0.020012375499520983,0.015875760465860367,0.022730544209480286,1.258492145748118,above_all
-4,back,4,0.02341238036751747,0.02014912718108722,0.018575236201286316,0.02127191796898842,1.1619550642120753,above_all
-4,back,5,0.020947253331542015,0.02042878871517522,0.01894684135913849,0.025249192491173744,1.0253791168725368,inside
-4,back,6,0.02391078695654869,0.020560785861951963,0.017006922513246536,0.02479749359190464,1.1629315687196546,inside
-4,back,7,0.0217784084379673,0.02044377475976944,0.016489174216985703,0.025184471160173416,1.0652831335641713,inside
-4,back,8,0.0223618783056736,0.019790040063006536,0.017345324158668518,0.02196669951081276,1.1299561918257353,above_all
-4,back,9,0.02354559488594532,0.02065540344587394,0.01963002420961857,0.022561833262443542,1.139924230850534,above_all
-4,back,10,0.026676218956708908,0.02353709563612938,0.022212207317352295,0.027950238436460495,1.1333691874778715,inside
-3,front,1,0.0245102196931839,0.02738163753279618,0.022579167038202286,0.03163636475801468,0.8951334507962477,inside
-3,front,2,0.03745425492525101,0.02547675876745156,0.020723992958664894,0.030402693897485733,1.4701342218265843,above_all
-3,front,3,0.028986524790525436,0.027255439598645483,0.019900482147932053,0.03094884380698204,1.0635133836537343,inside
-3,front,4,0.027931153774261475,0.027605418914130757,0.02051805704832077,0.036545705050230026,1.0117996709683685,inside
-3,front,5,0.026590902358293533,0.026328304782509804,0.02137928083539009,0.035981517285108566,1.0099739644444627,inside
-3,front,6,0.028909306973218918,0.02781702657895429,0.022464191541075706,0.031774986535310745,1.0392666121651917,inside
-3,front,7,0.02738255262374878,0.026999898520963534,0.022699972614645958,0.033078473061323166,1.0141724274440564,inside
-3,front,8,0.028034258633852005,0.027590838926179067,0.02195734903216362,0.036561332643032074,1.0160712658596331,inside
-3,front,9,0.03783748298883438,0.028408021266971315,0.02509503997862339,0.035017769783735275,1.3319295502227133,above_all
-3,front,10,0.04217635840177536,0.02801495896918433,0.023001791909337044,0.0341784730553627,1.5054942057265968,above_all
-3,back,1,0.02402142807841301,0.02024134195276669,0.01759229600429535,0.024371672421693802,1.1867507665483432,inside
-3,back,2,0.02690385840833187,0.01877484151295253,0.016113152727484703,0.021407941356301308,1.432973928955471,above_all
-3,back,3,0.02566017210483551,0.019279266308460916,0.016959020867943764,0.021853318437933922,1.330972439214363,above_all
-3,back,4,0.024053599685430527,0.01995012110897473,0.015894556418061256,0.027492621913552284,1.205686900547677,inside
-3,back,5,0.024381404742598534,0.018602955554212843,0.016423562541604042,0.02170213684439659,1.3106199534555731,above_all
-3,back,6,0.022798245772719383,0.018687218693750247,0.01575308106839657,0.02258623018860817,1.219991382684681,above_all
-3,back,7,0.02678707242012024,0.018459239176341465,0.015803193673491478,0.020404916256666183,1.4511471553200446,above_all
