variant,folds,macro_risk_recall,macro_precision,macro_timely_fpr,macro_early4,micro_tp,micro_fp,micro_risk_recall,micro_precision,micro_timely_fpr,worst_fold_precision,worst_fold_timely_fpr
pooled_peak,4,0.6293236012713357,0.8804205153905449,0.007718119043435278,0.4524627434953148,414.0,115.0,0.7340425531914894,0.782608695652174,0.007648310720936419,0.6980609418282548,0.029253891572732154
query_indexed,0,,,,,,,,,,,
self_normalized,0,,,,,,,,,,,
query_normalized_peak,0,,,,,,,,,,,
