cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,held_out_suite,variant,freeze_level,acceleration_level,periodicity_level
external_8b,libero_goal,libero_goal__pooled_peak,4000,106,3894,0,106,64,63,1,43,3893,0.5943396226415094,0.00025680534155110427,0.984375,,0.5943396226415094,5.0,0.5188679245283019,0.4339622641509434,0.19811320754716982,0.16037735849056603,0.34369283536585366,0.9232142857142838,0.0,0.0007911392405063291,0.971830985915493,1.0,libero_goal,pooled_peak,0.975,0.7,0.55
external_8b,libero_long,libero_long__pooled_peak,4000,274,3726,26,248,361,252,109,22,3617,0.9197080291970803,0.029253891572732154,0.6980609418282548,0.7307692307692307,0.9395161290322581,19.0,0.916058394160584,0.9051094890510949,0.8722627737226277,0.8065693430656934,0.8818426058687413,0.9921875,0.015804231455518736,0.046292471554621,0.43900557061126166,0.7878310820317996,libero_long,pooled_peak,0.985,0.7,0.5
external_8b,libero_object,libero_object__pooled_peak,3600,44,3556,6,38,22,19,3,25,3553,0.4318181818181818,0.000843644544431946,0.8636363636363636,0.6666666666666666,0.39473684210526316,6.0,0.38636363636363635,0.36363636363636365,0.1590909090909091,0.06818181818181818,0.2307377049180328,0.6666666666666666,0.0,0.0016868147315153219,0.6666666666666666,1.0,libero_object,pooled_peak,0.97,0.75,0.65
external_8b,libero_spatial,libero_spatial__pooled_peak,4000,140,3860,9,131,82,80,2,60,3858,0.5714285714285714,0.0005181347150259067,0.975609756097561,0.8888888888888888,0.549618320610687,1.0,0.21428571428571427,0.10714285714285714,0.0,0.0,0.4074074074074074,0.6855706921944035,0.0,0.001294665976178146,0.9404761904761905,1.0,libero_spatial,pooled_peak,0.98,0.7,0.5
