freeze_level,acceleration_level,periodicity_level,tp,fp,risk_recall,precision,timely_fpr,early4_risk_recall,f1
0.95,0.7,0.5,241,333,0.5355555555555556,0.41986062717770034,0.03217391304347826,0.37555555555555553,0.470703125
0.95,0.7,0.55,239,333,0.5311111111111111,0.4178321678321678,0.03217391304347826,0.37555555555555553,0.46771037181996084
0.95,0.7,0.6,239,332,0.5311111111111111,0.4185639229422067,0.03207729468599034,0.37555555555555553,0.46816846229187076
0.95,0.7,0.65,238,332,0.5288888888888889,0.41754385964912283,0.03207729468599034,0.37333333333333335,0.4666666666666666
0.95,0.7,0.7,237,331,0.5266666666666666,0.41725352112676056,0.03198067632850241,0.37333333333333335,0.46561886051080553
0.95,0.7,0.75,237,331,0.5266666666666666,0.41725352112676056,0.03198067632850241,0.37333333333333335,0.46561886051080553
0.95,0.7,0.8,236,331,0.5244444444444445,0.41622574955908287,0.03198067632850241,0.3711111111111111,0.464110127826942
0.95,0.7,0.85,234,331,0.52,0.41415929203539825,0.03198067632850241,0.36666666666666664,0.46108374384236456
0.95,0.7,0.9,232,331,0.5155555555555555,0.41207815275310833,0.03198067632850241,0.3622222222222222,0.4580454096742349
0.95,0.7,0.95,229,331,0.5088888888888888,0.4089285714285714,0.03198067632850241,0.35777777777777775,0.4534653465346534
0.95,0.75,0.5,238,332,0.5288888888888889,0.41754385964912283,0.03207729468599034,0.37333333333333335,0.4666666666666666
0.95,0.75,0.55,237,332,0.5266666666666666,0.4165202108963093,0.03207729468599034,0.37333333333333335,0.46516192345436697
0.95,0.75,0.6,237,332,0.5266666666666666,0.4165202108963093,0.03207729468599034,0.37333333333333335,0.46516192345436697
0.95,0.75,0.65,236,332,0.5244444444444445,0.4154929577464789,0.03207729468599034,0.3711111111111111,0.4636542239685658
0.95,0.75,0.7,236,331,0.5244444444444445,0.41622574955908287,0.03198067632850241,0.3711111111111111,0.464110127826942
0.95,0.75,0.75,236,331,0.5244444444444445,0.41622574955908287,0.03198067632850241,0.3711111111111111,0.464110127826942
0.95,0.75,0.8,235,331,0.5222222222222223,0.41519434628975266,0.03198067632850241,0.3711111111111111,0.46259842519685046
0.95,0.75,0.85,233,331,0.5177777777777778,0.41312056737588654,0.03198067632850241,0.36666666666666664,0.45956607495069035
0.95,0.75,0.9,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.75,0.95,228,331,0.5066666666666667,0.407871198568873,0.03198067632850241,0.35777777777777775,0.4519326065411298
0.95,0.8,0.5,235,331,0.5222222222222223,0.41519434628975266,0.03198067632850241,0.36666666666666664,0.46259842519685046
0.95,0.8,0.55,234,331,0.52,0.41415929203539825,0.03198067632850241,0.36666666666666664,0.46108374384236456
0.95,0.8,0.6,234,331,0.52,0.41415929203539825,0.03198067632850241,0.36666666666666664,0.46108374384236456
0.95,0.8,0.65,233,331,0.5177777777777778,0.41312056737588654,0.03198067632850241,0.36444444444444446,0.45956607495069035
0.95,0.8,0.7,233,331,0.5177777777777778,0.41312056737588654,0.03198067632850241,0.36444444444444446,0.45956607495069035
0.95,0.8,0.75,233,331,0.5177777777777778,0.41312056737588654,0.03198067632850241,0.36444444444444446,0.45956607495069035
0.95,0.8,0.8,232,331,0.5155555555555555,0.41207815275310833,0.03198067632850241,0.36444444444444446,0.4580454096742349
0.95,0.8,0.85,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.8,0.9,229,331,0.5088888888888888,0.4089285714285714,0.03198067632850241,0.35777777777777775,0.4534653465346534
0.95,0.8,0.95,226,331,0.5022222222222222,0.40574506283662476,0.03198067632850241,0.35333333333333333,0.44885799404170806
0.95,0.85,0.5,233,331,0.5177777777777778,0.41312056737588654,0.03198067632850241,0.36444444444444446,0.45956607495069035
0.95,0.85,0.55,232,331,0.5155555555555555,0.41207815275310833,0.03198067632850241,0.36444444444444446,0.4580454096742349
0.95,0.85,0.6,232,331,0.5155555555555555,0.41207815275310833,0.03198067632850241,0.36444444444444446,0.4580454096742349
0.95,0.85,0.65,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.85,0.7,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.85,0.75,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.85,0.8,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.3622222222222222,0.4549950544015826
0.95,0.85,0.85,228,331,0.5066666666666667,0.407871198568873,0.03198067632850241,0.35777777777777775,0.4519326065411298
0.95,0.85,0.9,227,331,0.5044444444444445,0.4068100358422939,0.03198067632850241,0.35555555555555557,0.4503968253968254
0.95,0.85,0.95,226,331,0.5022222222222222,0.40574506283662476,0.03198067632850241,0.35333333333333333,0.44885799404170806
0.95,0.9,0.5,232,331,0.5155555555555555,0.41207815275310833,0.03198067632850241,0.3622222222222222,0.4580454096742349
0.95,0.9,0.55,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.9,0.6,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.9,0.65,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.9,0.7,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.9,0.75,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.9,0.8,229,331,0.5088888888888888,0.4089285714285714,0.03198067632850241,0.36,0.4534653465346534
0.95,0.9,0.85,227,331,0.5044444444444445,0.4068100358422939,0.03198067632850241,0.35555555555555557,0.4503968253968254
0.95,0.9,0.9,226,331,0.5022222222222222,0.40574506283662476,0.03198067632850241,0.35333333333333333,0.44885799404170806
0.95,0.9,0.95,225,331,0.5,0.40467625899280574,0.03198067632850241,0.3511111111111111,0.44731610337972166
0.95,0.925,0.5,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.925,0.55,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.925,0.6,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.925,0.65,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.925,0.7,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.925,0.75,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.925,0.8,229,331,0.5088888888888888,0.4089285714285714,0.03198067632850241,0.36,0.4534653465346534
0.95,0.925,0.85,227,331,0.5044444444444445,0.4068100358422939,0.03198067632850241,0.35555555555555557,0.4503968253968254
0.95,0.925,0.9,226,331,0.5022222222222222,0.40574506283662476,0.03198067632850241,0.35333333333333333,0.44885799404170806
0.95,0.925,0.95,225,331,0.5,0.40467625899280574,0.03198067632850241,0.3511111111111111,0.44731610337972166
0.95,0.95,0.5,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.95,0.55,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.95,0.6,231,331,0.5133333333333333,0.4110320284697509,0.03198067632850241,0.3622222222222222,0.45652173913043476
0.95,0.95,0.65,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.95,0.7,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.95,0.75,230,331,0.5111111111111111,0.40998217468805703,0.03198067632850241,0.36,0.4549950544015826
0.95,0.95,0.8,229,331,0.5088888888888888,0.4089285714285714,0.03198067632850241,0.36,0.4534653465346534
0.95,0.95,0.85,227,331,0.5044444444444445,0.4068100358422939,0.03198067632850241,0.35555555555555557,0.4503968253968254
0.95,0.95,0.9,226,331,0.5022222222222222,0.40574506283662476,0.03198067632850241,0.35333333333333333,0.44885799404170806
0.95,0.95,0.95,225,331,0.5,0.40467625899280574,0.03198067632850241,0.3511111111111111,0.44731610337972166
0.95,0.975,0.5,226,331,0.5022222222222222,0.40574506283662476,0.03198067632850241,0.3511111111111111,0.44885799404170806
0.95,0.975,0.55,226,331,0.5022222222222222,0.40574506283662476,0.03198067632850241,0.3511111111111111,0.44885799404170806
0.95,0.975,0.6,226,331,0.5022222222222222,0.40574506283662476,0.03198067632850241,0.3511111111111111,0.44885799404170806
