calibration,method,suite,task,query,auc,reference_auc,delta,raw_v82_auc,failures,successes
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.6421568627450981,0.3088235294117647,0.33333333333333337,0.2696078431372549,51,4
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,23,0.6715686274509803,0.7549019607843137,-0.08333333333333337,0.7352941176470589,51,4
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,24,0.6143790849673203,0.7777777777777778,-0.1633986928104575,0.7843137254901961,51,3
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,25,0.4803921568627451,0.7450980392156863,-0.2647058823529412,0.7745098039215687,51,2
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26,0.0,0.5882352941176471,-0.5882352941176471,0.6078431372549019,51,1
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,27,0.0,0.803921568627451,-0.803921568627451,0.803921568627451,51,1
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,28,0.11764705882352941,0.8431372549019608,-0.7254901960784313,0.8627450980392157,51,1
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,29,0.8627450980392157,0.9215686274509803,-0.05882352941176461,0.9215686274509803,51,1
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,0.4377774032249003,0.4377774032249003,0.0,0.4344626102590033,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5444687903814821,0.4352210798359458,0.10924771054553628,0.43867633013090623,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.5912972638912298,0.6130119669644362,-0.021714703073206332,0.6188549918534749,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.6008483622675431,0.5901736052587224,0.010674757008820701,0.5966627338614529,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5685431765829541,0.49907298162818137,0.06947019495477269,0.5013202988931963,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.688915107590314,0.5814652508567897,0.10744985673352436,0.589134221023653,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7214450250014046,0.5707624023821563,0.15068262261924836,0.5778414517669532,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.7094218776335749,0.6175627844260914,0.09185909320748353,0.622338333614248,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,0.6685207034103039,0.6792797348165627,-0.010759031406258779,0.6851508511714142,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.7161357379628069,0.7757739198831395,-0.059638181920332545,0.7697623461992247,51,349
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.8223637015781923,0.7719392635102822,0.05042443806791008,0.7666188426590148,51,328
