worker,snapshot_key,candidate,episode_id,success,n_query,onset,deep_churn_all,front_churn_all,deep_churn_before_onset,front_churn_before_onset,deep_churn_after_onset
0,w00_s000,0,100000000,False,52,0,0.6098785996437073,0.6752101182937622,,,0.6098785996437073
0,w00_s000,1,100000001,False,52,0,0.724631130695343,0.6909244060516357,,,0.724631130695343
0,w00_s000,2,100000002,False,52,15,0.735289454460144,0.7057936191558838,0.7363492250442505,0.6916189789772034,0.734847903251648
0,w00_s000,3,100000003,True,40,-1,0.7602259516716003,0.6883760690689087,0.7602259516716003,0.6883760690689087,
0,w00_s000,4,100000004,True,45,-1,0.7306438684463501,0.6839069128036499,0.7306438684463501,0.6839069128036499,
0,w00_s000,5,100000005,False,52,17,0.7018160223960876,0.6759104132652283,0.7684453725814819,0.6952240467071533,0.6685014367103577
0,w00_s000,6,100000006,False,52,17,0.7244585156440735,0.6814191341400146,0.7705461978912354,0.6937534809112549,0.7014145851135254
0,w00_s000,7,100000007,True,40,-1,0.7653907537460327,0.7049145698547363,0.7653907537460327,0.7049145698547363,
0,w00_s000,8,100000008,True,43,-1,0.7516496777534485,0.6982766389846802,0.7516496777534485,0.6982766389846802,
0,w00_s000,9,100000009,False,52,-1,0.7386227250099182,0.6887441873550415,0.7386227250099182,0.6887441873550415,
0,w00_s000,10,100000010,True,46,-1,0.7327037453651428,0.672333300113678,0.7327037453651428,0.672333300113678,
0,w00_s000,11,100000011,False,52,17,0.6514098048210144,0.68315589427948,0.7804622650146484,0.6965546607971191,0.5868838429450989
0,w00_s000,12,100000012,True,45,-1,0.7340908646583557,0.6913366317749023,0.7340908646583557,0.6913366317749023,
0,w00_s000,13,100000013,True,42,-1,0.7601800560951233,0.7006387710571289,0.7601800560951233,0.7006387710571289,
0,w00_s000,14,100000014,False,52,17,0.6472688317298889,0.6755368709564209,0.7799580097198486,0.6985434889793396,0.5809243321418762
0,w00_s000,15,100000015,False,52,0,0.6928805112838745,0.6898738741874695,,,0.6928805112838745
0,w00_s001,0,100000100,True,41,-1,0.7363274097442627,0.6819463968276978,0.7363274097442627,0.6819463968276978,
0,w00_s001,1,100000101,True,45,-1,0.7236147522926331,0.6752326488494873,0.7236147522926331,0.6752326488494873,
0,w00_s001,2,100000102,False,51,0,0.598890483379364,0.6705142855644226,,,0.598890483379364
0,w00_s001,3,100000103,False,51,49,0.658042848110199,0.6799666881561279,0.6571865677833557,0.6787123680114746,
0,w00_s001,4,100000104,False,51,0,0.6094714403152466,0.6727904677391052,,,0.6094714403152466
0,w00_s001,5,100000105,False,51,16,0.7110143303871155,0.7008571624755859,0.7067261934280396,0.6781547665596008,0.7130322456359863
0,w00_s001,6,100000106,False,51,14,0.6144381165504456,0.6753047108650208,0.7251361012458801,0.685969352722168,0.5713889002799988
0,w00_s001,7,100000107,True,43,-1,0.7404195070266724,0.7030669450759888,0.7404195070266724,0.7030669450759888,
0,w00_s001,8,100000108,False,51,13,0.7075762152671814,0.6978523135185242,0.7341941595077515,0.6907692551612854,0.6982239484786987
0,w00_s001,9,100000109,False,51,0,0.7388191223144531,0.7053857445716858,,,0.7388191223144531
0,w00_s001,10,100000110,False,51,0,0.7222856283187866,0.6837047338485718,,,0.7222856283187866
0,w00_s001,11,100000111,False,51,42,0.7301238179206848,0.6777428388595581,0.7343083620071411,0.6808218955993652,0.7081547975540161
0,w00_s001,12,100000112,True,41,-1,0.7600119113922119,0.7017143368721008,0.7600119113922119,0.7017143368721008,
0,w00_s001,13,100000113,False,51,14,0.7216380834579468,0.7000952959060669,0.7387585043907166,0.7029081583023071,0.7149801850318909
0,w00_s001,14,100000114,False,51,15,0.7253809571266174,0.6925904750823975,0.7198889255523682,0.6844127178192139,0.7277346253395081
0,w00_s001,15,100000115,False,51,36,0.7493333220481873,0.6955857872962952,0.7304961085319519,0.6886507272720337,0.7977720499038696
