task,checkpoint_sha256,episode,init_state_id,flow_noise_seed,episode_length,failure_mode_proxy,mean_soft_speed,late_soft_speed,mean_hard_speed,middle_to_terminal_drift,terminal_nonlocal_return_distance,backward_return_fraction,mean_action_route_entropy,geometry_cluster,geometry_partition_status,geometry_interpretation_status,change_cluster,change_partition_status,change_interpretation_status,recurrence_cluster,recurrence_partition_status,recurrence_interpretation_status,expert_occupancy_cluster,expert_occupancy_partition_status,expert_occupancy_interpretation_status
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,47,3,1015,30,misplaced,0.010572453029453754,0.0056595876812934875,0.3118038475513458,0.021280502900481224,0.008308482356369495,0.0,3.4644951820373535,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,69,7,1005,30,lifted_not_placed,0.010664943605661392,0.00783044658601284,0.303888201713562,0.02120957337319851,0.010001917369663715,0.0,3.4644217491149902,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,77,7,1013,30,lifted_not_placed,0.01065966859459877,0.007325405720621347,0.3047908842563629,0.020031388849020004,0.007832787930965424,0.125,3.464432954788208,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,81,7,1017,30,lifted_not_placed,0.010996146127581596,0.007364502176642418,0.3115752041339874,0.020463256165385246,0.009389979764819145,0.0,3.4644339084625244,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,91,7,1027,30,lifted_not_placed,0.010556207969784737,0.006423094775527716,0.2995116114616394,0.02002692222595215,0.00743092130869627,0.0,3.4644196033477783,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,144,13,1016,30,lifted_not_placed,0.011089319363236427,0.007436512503772974,0.30799564719200134,0.019355591386556625,0.007139329798519611,0.0,3.4644477367401123,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,162,16,1002,30,lifted_not_placed,0.007872184738516808,0.0044289156794548035,0.27499768137931824,0.020480085164308548,0.004983094986528158,0.0,3.464552640914917,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,163,16,1003,30,lifted_not_placed,0.011675943620502949,0.010066453367471695,0.3329315185546875,0.020947128534317017,0.012959796003997326,0.0,3.4645159244537354,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,164,16,1004,30,lifted_not_placed,0.0093153091147542,0.005916250869631767,0.29398033022880554,0.021357137709856033,0.007817322388291359,0.0,3.464445114135742,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,165,16,1005,30,lifted_not_placed,0.011675393208861351,0.009500458836555481,0.32445085048675537,0.0212814100086689,0.011287456378340721,0.0,3.464451313018799,0,stable_partition,task_shadowed+representation_specific,0,no_stable_partition,exploratory_only+task_shadowed+representation_specific,2,stable_partition,task_shadowed+representation_specific+phase_sensitive,1,stable_partition,task_shadowed+secondary_expert_id_view
