corpus,scopes,ops,order,t,auc,det
A,back/all/act,mean/mean/mean,l->d->t,20,0.50017,0.50017
A,back/all/act,mean/mean/mean,l->d->t,25,0.34538,0.65462
A,back/all/act,mean/mean/mean,l->d->t,30,0.189908,0.810092
A,back/all/act,mean/mean/mean,l->t->d,20,0.499489,0.500511
A,back/all/act,mean/mean/mean,l->t->d,25,0.345721,0.654279
A,back/all/act,mean/mean/mean,l->t->d,30,0.189908,0.810092
A,back/all/act,mean/mean/mean,d->l->t,20,0.49983,0.50017
A,back/all/act,mean/mean/mean,d->l->t,25,0.345039,0.654961
A,back/all/act,mean/mean/mean,d->l->t,30,0.190249,0.809751
A,back/all/act,mean/mean/mean,d->t->l,20,0.49983,0.50017
A,back/all/act,mean/mean/mean,d->t->l,25,0.345721,0.654279
A,back/all/act,mean/mean/mean,d->t->l,30,0.190249,0.809751
A,back/all/act,mean/mean/mean,t->l->d,20,0.50017,0.50017
A,back/all/act,mean/mean/mean,t->l->d,25,0.345721,0.654279
A,back/all/act,mean/mean/mean,t->l->d,30,0.189908,0.810092
A,back/all/act,mean/mean/mean,t->d->l,20,0.49983,0.50017
A,back/all/act,mean/mean/mean,t->d->l,25,0.345721,0.654279
A,back/all/act,mean/mean/mean,t->d->l,30,0.190249,0.809751
A,back/all/act,max/mean/mean,l->d->t,20,0.650188,0.650188
A,back/all/act,max/mean/mean,l->d->t,25,0.418343,0.581657
A,back/all/act,max/mean/mean,l->d->t,30,0.226389,0.773611
A,back/all/act,max/mean/mean,l->t->d,20,0.649847,0.649847
A,back/all/act,max/mean/mean,l->t->d,25,0.418343,0.581657
A,back/all/act,max/mean/mean,l->t->d,30,0.226389,0.773611
A,back/all/act,max/mean/mean,d->l->t,20,0.657688,0.657688
A,back/all/act,max/mean/mean,d->l->t,25,0.424821,0.575179
A,back/all/act,max/mean/mean,d->l->t,30,0.227071,0.772929
A,back/all/act,max/mean/mean,d->t->l,20,0.643369,0.643369
A,back/all/act,max/mean/mean,d->t->l,25,0.450392,0.549608
A,back/all/act,max/mean/mean,d->t->l,30,0.234913,0.765087
A,back/all/act,max/mean/mean,t->l->d,20,0.644391,0.644391
A,back/all/act,max/mean/mean,t->l->d,25,0.439482,0.560518
A,back/all/act,max/mean/mean,t->l->d,30,0.231163,0.768837
A,back/all/act,max/mean/mean,t->d->l,20,0.643369,0.643369
A,back/all/act,max/mean/mean,t->d->l,25,0.450733,0.549267
A,back/all/act,max/mean/mean,t->d->l,30,0.234913,0.765087
A,back/all/act,mean/max/mean,l->d->t,20,0.523014,0.523014
A,back/all/act,mean/max/mean,l->d->t,25,0.354586,0.645414
A,back/all/act,mean/max/mean,l->d->t,30,0.210024,0.789976
A,back/all/act,mean/max/mean,l->t->d,20,0.540402,0.540402
A,back/all/act,mean/max/mean,l->t->d,25,0.34538,0.65462
A,back/all/act,mean/max/mean,l->t->d,30,0.205592,0.794408
A,back/all/act,mean/max/mean,d->l->t,20,0.526764,0.526764
A,back/all/act,mean/max/mean,d->l->t,25,0.35254,0.64746
A,back/all/act,mean/max/mean,d->l->t,30,0.215479,0.784521
A,back/all/act,mean/max/mean,d->t->l,20,0.525742,0.525742
A,back/all/act,mean/max/mean,d->t->l,25,0.352881,0.647119
A,back/all/act,mean/max/mean,d->t->l,30,0.215479,0.784521
A,back/all/act,mean/max/mean,t->l->d,20,0.540402,0.540402
A,back/all/act,mean/max/mean,t->l->d,25,0.34538,0.65462
A,back/all/act,mean/max/mean,t->l->d,30,0.205592,0.794408
A,back/all/act,mean/max/mean,t->d->l,20,0.586771,0.586771
A,back/all/act,mean/max/mean,t->d->l,25,0.373679,0.626321
A,back/all/act,mean/max/mean,t->d->l,30,0.213774,0.786226
A,back/all/act,mean/mean/max,l->d->t,20,0.538357,0.538357
A,back/all/act,mean/mean/max,l->d->t,25,0.370269,0.629731
A,back/all/act,mean/mean/max,l->d->t,30,0.189226,0.810774
A,back/all/act,mean/mean/max,l->t->d,20,0.521991,0.521991
A,back/all/act,mean/mean/max,l->t->d,25,0.360723,0.639277
A,back/all/act,mean/mean/max,l->t->d,30,0.19434,0.80566
A,back/all/act,mean/mean/max,d->l->t,20,0.538357,0.538357
A,back/all/act,mean/mean/max,d->l->t,25,0.370269,0.629731
A,back/all/act,mean/mean/max,d->l->t,30,0.189226,0.810774
A,back/all/act,mean/mean/max,d->t->l,20,0.580293,0.580293
A,back/all/act,mean/mean/max,d->t->l,25,0.405046,0.594954
A,back/all/act,mean/mean/max,d->t->l,30,0.212411,0.787589
A,back/all/act,mean/mean/max,t->l->d,20,0.560177,0.560177
A,back/all/act,mean/mean/max,t->l->d,25,0.395499,0.604501
A,back/all/act,mean/mean/max,t->l->d,30,0.205932,0.794068
A,back/all/act,mean/mean/max,t->d->l,20,0.560177,0.560177
A,back/all/act,mean/mean/max,t->d->l,25,0.395159,0.604841
A,back/all/act,mean/mean/max,t->d->l,30,0.206273,0.793727
A,back/all/act,median/median/median,l->d->t,20,0.573133,0.573133
A,back/all/act,median/median/median,l->d->t,25,0.405046,0.594954
A,back/all/act,median/median/median,l->d->t,30,0.188885,0.811115
A,back/all/act,median/median/median,l->t->d,20,0.561882,0.561882
A,back/all/act,median/median/median,l->t->d,25,0.401977,0.598023
A,back/all/act,median/median/median,l->t->d,30,0.188203,0.811797
