direction,task,episodes,failures,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
seed1000_1007_to_seed1008_1015,libero_goal/put_the_bowl_on_the_stove,400,9,3,0,6,391,1.0,0.3333333333333333,0.0
seed1000_1007_to_seed1008_1015,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,16,15,0,1,384,1.0,0.9375,0.0
seed1000_1007_to_seed1008_1015,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,1,1,1,0,398,0.5,1.0,0.002506265664160401
seed1000_1007_to_seed1008_1015,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,9,0,38,353,1.0,0.19148936170212766,0.0
seed1000_1007_to_seed1008_1015,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,10,1,0,9,390,1.0,0.1,0.0
seed1000_1007_to_seed1008_1015,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,0,0,1,0,399,0.0,0.0,0.0025
seed1000_1007_to_seed1008_1015,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,1,0,0,1,399,0.0,0.0,0.0
seed1000_1007_to_seed1008_1015,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,41,34,1,7,358,0.9714285714285714,0.8292682926829268,0.002785515320334262
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_the_stove,400,6,3,0,3,394,1.0,0.5,0.0
seed1008_1015_to_seed1000_1007,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,15,13,0,2,385,1.0,0.8666666666666667,0.0
seed1008_1015_to_seed1000_1007,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,4,1,8,3,388,0.1111111111111111,0.25,0.020202020202020204
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,43,6,1,37,356,0.8571428571428571,0.13953488372093023,0.0028011204481792717
seed1008_1015_to_seed1000_1007,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,11,4,0,7,389,1.0,0.36363636363636365,0.0
seed1008_1015_to_seed1000_1007,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,0,0,2,0,398,0.0,0.0,0.005
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,0,0,0,0,400,0.0,0.0,0.0
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,35,31,3,4,362,0.9117647058823529,0.8857142857142857,0.00821917808219178
