source_run,target_run,threshold,reference,prediction_sha256,episodes,failures,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
seed1000_1007,seed1008_1015,0.9781640873436507,"{'tasks': 24, 'success_episodes': 9433, 'head_reference_counts': {'convergence': 9433, 'response': 9433, 'recurrence': 9433}}",083fd07edfbfc03a793752cfb07b12548277852d27eaef0d75f8c57da4d929d0,3200,125,44,12,81,3063,0.7857142857142857,0.352,0.003902439024390244
seed1008_1015,seed1000_1007,0.9738375172121597,"{'tasks': 24, 'success_episodes': 9440, 'head_reference_counts': {'convergence': 9440, 'response': 9440, 'recurrence': 9440}}",8e2cdf4aba027cbbe9e910fb5c4161786250952d78d22a2fe0d038617431e3f7,3200,114,35,15,79,3071,0.7,0.30701754385964913,0.004860661049902786
