method,episodes,failure_recall,failures,fn,fp,precision,success_false_alarm_rate,tn,tp
structured_task_robust,6400,0.5062761506276151,239,118,17,0.8768115942028986,0.0027592923226748903,6144,121
scalar_task_robust,6400,0.3305439330543933,239,160,27,0.7452830188679245,0.00438240545366012,6134,79
prefrozen_fixed_query_clock,6400,0.39748953974895396,239,144,2,0.979381443298969,0.00032462262619704593,6159,95
historical_scalar_original_protocol,6400,0.4435146443514644,239,133,58,0.6463414634146342,0.009414056159714333,6103,106
