selected_by,rule,family,mode,pool,level,level_loose,k,window,frames,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,union_tp,union_coverage_share,median_confirmation_delay,alarms,block,dev_tp,dev_fp,dev_timely_fpr,dev_low_prior_tp,dev_low_prior_fp,dev_union_coverage_share,libero_goal__tp,libero_goal__fp,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_long__tp,libero_long__fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_object__tp,libero_object__fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_spatial__tp,libero_spatial__fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp
per_task|all12|O1_early|fpr<=0.0005,quorum|per_task|all12|0.925|0.925|5|-1|1,quorum,per_task,all12,0.925,0.925,5,-1,1,195,15,0.34574468085106386,0.0009976057462090981,0.9285714285714286,46,4,0.92,0.2358974358974359,0.6979055206026032,1.3305116540268345,413,0.4721549636803874,4.0,210,shortlist,204,6,0.00041919932928107315,41,1,0.5425531914893617,55.0,2.0,43.0,1.0,45.0,8.0,3.0,3.0,17.0,2.0,0.0,0.0,78.0,3.0,0.0,0.0
per_task|all12|O1_early|fpr<=0.001,quorum|per_task|all12|0.96|0.96|3|2|2,quorum,per_task,all12,0.96,0.96,3,2,2,147,20,0.26063829787234044,0.0013301409949454642,0.8802395209580839,51,8,0.864406779661017,0.3469387755102041,0.5748886163682255,1.5311479404808324,346,0.42485549132947975,2.0,167,shortlist,157,13,0.0009082652134423251,48,5,0.5198675496688742,49.0,6.0,46.0,6.0,18.0,6.0,1.0,2.0,13.0,4.0,1.0,0.0,67.0,4.0,3.0,0.0
per_task|all12|O1_early|fpr<=0.0015,quorum|per_task|all12|0.96|0.96|3|4|1,quorum,per_task,all12,0.96,0.96,3,4,1,185,27,0.3280141843971631,0.0017956903431763766,0.8726415094339622,56,10,0.8484848484848485,0.3027027027027027,0.6046402736856837,1.443240795249435,346,0.5346820809248555,2.0,212,shortlist,187,16,0.0011178648780828617,54,5,0.6192052980132451,55.0,6.0,48.0,6.0,30.0,11.0,2.0,4.0,20.0,6.0,3.0,0.0,80.0,4.0,3.0,0.0
per_task|all12|O1_early|fpr<=0.003,cascade|per_task|all12|0.96|0.9|2|1|1,cascade,per_task,all12,0.96,0.9,2,1,1,275,63,0.4875886524822695,0.004189944134078212,0.8136094674556213,85,38,0.6910569105691057,0.3090909090909091,0.5468276390903661,1.4878718800846278,447,0.6152125279642058,1.0,338,shortlist,255,40,0.0027946621952071545,70,22,0.6100478468899522,67.0,12.0,53.0,9.0,65.0,34.0,12.0,20.0,29.0,10.0,8.0,4.0,114.0,7.0,12.0,5.0
per_task|all12|O1_early|fpr<=0.005,cascade|per_task|all12|0.96|0.5|2|8|2,cascade,per_task,all12,0.96,0.5,2,8,2,327,86,0.5797872340425532,0.005719606278265496,0.7917675544794189,105,57,0.6481481481481481,0.3211009174311927,0.5025514874158797,1.5754953956075,561,0.5828877005347594,4.0,413,shortlist,288,63,0.004401592957451268,78,43,0.5925925925925926,71.0,12.0,54.0,9.0,92.0,51.0,26.0,33.0,34.0,14.0,11.0,9.0,130.0,9.0,14.0,6.0
per_task|all12|O2_recall|fpr<=0.0005,quorum|per_task|all12|0.925|0.925|5|-1|1,quorum,per_task,all12,0.925,0.925,5,-1,1,195,15,0.34574468085106386,0.0009976057462090981,0.9285714285714286,46,4,0.92,0.2358974358974359,0.6979055206026032,1.3305116540268345,413,0.4721549636803874,4.0,210,shortlist,204,6,0.00041919932928107315,41,1,0.5425531914893617,56.0,3.0,45.0,2.0,62.0,9.0,6.0,4.0,19.0,2.0,2.0,0.0,110.0,3.0,0.0,0.0
per_task|all12|O2_recall|fpr<=0.001,quorum|per_task|all12|0.9|0.9|5|-1|1,quorum,per_task,all12,0.9,0.9,5,-1,1,247,17,0.4379432624113475,0.0011306198457036445,0.9356060606060606,53,6,0.8983050847457628,0.2145748987854251,0.7190976681398534,1.3010834300523688,447,0.5525727069351231,5.0,264,shortlist,234,9,0.0006287989939216097,42,2,0.5598086124401914,89.0,4.0,46.0,2.0,110.0,20.0,16.0,8.0,26.0,3.0,5.0,1.0,127.0,4.0,1.0,0.0
per_task|all12|O2_recall|fpr<=0.0015,quorum|per_task|all12|0.8|0.8|5|-1|1,quorum,per_task,all12,0.8,0.8,5,-1,1,352,31,0.624113475177305,0.0020617185421654693,0.9190600522193212,68,11,0.8607594936708861,0.19318181818181818,0.7021316127091056,1.3089569470789366,541,0.6506469500924215,5.0,383,shortlist,310,20,0.0013973310976035773,50,8,0.6681034482758621,93.0,4.0,47.0,2.0,119.0,26.0,22.0,13.0,29.0,3.0,5.0,1.0,130.0,4.0,2.0,1.0
per_task|all12|O2_recall|fpr<=0.003,quorum|per_task|all12|0.75|0.75|5|-1|1,quorum,per_task,all12,0.75,0.75,5,-1,1,371,37,0.6578014184397163,0.0024607608406491087,0.9093137254901961,76,17,0.8172043010752689,0.20485175202156333,0.6698347196062898,1.357519547545498,548,0.677007299270073,5.0,408,shortlist,326,32,0.0022357297561657235,51,15,0.6950959488272921,91.0,12.0,53.0,9.0,128.0,58.0,35.0,38.0,37.0,16.0,13.0,9.0,140.0,8.0,11.0,5.0
per_task|all12|O2_recall|fpr<=0.005,cascade|per_task|all12|0.9|0.85|3|-1|1,cascade,per_task,all12,0.9,0.85,3,-1,1,396,94,0.7021276595744681,0.0062516626762436816,0.8081632653061225,112,61,0.6473988439306358,0.2828282828282828,0.5388701078675945,1.499736677738851,517,0.7659574468085106,2.0,490,shortlist,363,67,0.0046810591769719835,75,40,0.8102678571428571,54.0,1.0,42.0,1.0,43.0,7.0,3.0,2.0,16.0,2.0,0.0,0.0,78.0,3.0,0.0,0.0
