rule,status,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
v7_intrinsic_guard,existing,439,80,0.7783687943262412,0.005320563979781857,0.8458574181117534,57,44,0.5643564356435643,0.12984054669703873,0.6060370916824788,1.3957188919963397
global_or_at_0.99,frozen_this_bundle,308,23,0.5460992907801419,0.0015296621441872838,0.9305135951661632,34,13,0.723404255319149,0.11038961038961038,0.6780730761081656,1.3722910228303011
v7_guard OR global_or_at_0.99,post_hoc_exploratory,476,95,0.8439716312056738,0.006318169725990955,0.8336252189141856,65,55,0.5416666666666666,0.13655462184873948,0.5889255790091831,1.4155018029895878
v7_guard AND global_or_at_0.99,post_hoc_exploratory,271,8,0.4804964539007092,0.0005320563979781857,0.9713261648745519,26,2,0.9285714285714286,0.0959409594095941,0.7265194736945011,1.3369581959519383
global_cascade_0.99_0.85_k2_f2,frozen_this_bundle,288,13,0.5106382978723404,0.0008645916467145518,0.9568106312292359,24,6,0.8,0.08333333333333333,0.7149174188226448,1.3383512641291504
v7_guard OR global_cascade_0.99_0.85_k2_f2,post_hoc_exploratory,470,87,0.8333333333333334,0.00578611332801277,0.8438061041292639,62,49,0.5585585585585585,0.13191489361702127,0.5988703960880211,1.4089961862219729
v7_guard AND global_cascade_0.99_0.85_k2_f2,post_hoc_exploratory,257,6,0.45567375886524825,0.0003990422984836393,0.9771863117870723,19,1,0.95,0.07392996108949416,0.7458273118927561,1.3102045154489914
global_cascade_0.98_0.90_k2,frozen_this_bundle,379,75,0.6719858156028369,0.004988028731045491,0.8348017621145375,58,51,0.5321100917431193,0.15303430079155672,0.5700692403533493,1.46438660959342
v7_guard OR global_cascade_0.98_0.90_k2,post_hoc_exploratory,483,137,0.8563829787234043,0.00911146581537643,0.7790322580645161,83,92,0.4742857142857143,0.17184265010351968,0.533399596685075,1.4605040253235613
v7_guard AND global_cascade_0.98_0.90_k2,post_hoc_exploratory,335,18,0.5939716312056738,0.0011971268954509178,0.9490084985835694,32,3,0.9142857142857143,0.0955223880597015,0.6873567585237412,1.380663660923021
