block,cohort,mode,detector,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
reference_single,development_main,per_task,action_consensus,111,34,0.22792607802874743,0.0023754628659260813,0.7655172413793103,34,21,0.6181818181818182,0.3063063063063063,0.5349431440144673,1.4310254275519927
reference_single,external_8b,per_task,action_consensus,101,34,0.17907801418439717,0.002261239691407289,0.7481481481481481,35,22,0.6140350877192983,0.3465346534653465,0.49748101671935324,1.5038727569582924
reference_single,development_main,per_task,conditional_effective_rank,118,20,0.24229979466119098,0.0013973310976035773,0.855072463768116,26,16,0.6190476190476191,0.22033898305084745,0.6713141051391751,1.2737293276309822
reference_single,external_8b,per_task,conditional_effective_rank,103,10,0.18262411347517732,0.0006650704974727321,0.911504424778761,25,7,0.78125,0.24271844660194175,0.6906157065227762,1.3198431720705444
reference_single,development_main,per_task,conditional_energy,26,5,0.053388090349075976,0.0003493327744008943,0.8387096774193549,15,4,0.7894736842105263,0.5769230769230769,0.3155289286093221,2.658107074732975
reference_single,external_8b,per_task,conditional_energy,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3923405021586492,1.9246089472327506
reference_single,development_main,per_task,conditional_query_d1,147,20,0.30184804928131415,0.0013973310976035773,0.8802395209580839,22,12,0.6470588235294118,0.14965986394557823,0.6523211714811499,1.3493959102376307
reference_single,external_8b,per_task,conditional_query_d1,155,22,0.274822695035461,0.0014631550944400106,0.8757062146892656,37,12,0.7551020408163265,0.23870967741935484,0.6080416798227896,1.4402075445625462
reference_single,development_main,per_task,expert_load_effective_rank,322,45,0.6611909650924025,0.0031439949696080486,0.8773841961852861,58,32,0.6444444444444445,0.18012422360248448,0.6038428966079253,1.453000774065528
reference_single,external_8b,per_task,expert_load_effective_rank,370,93,0.6560283687943262,0.006185155626496409,0.7991360691144709,97,69,0.5843373493975904,0.26216216216216215,0.5162688757758398,1.5479067335088585
reference_single,development_main,per_task,flow_endpoint,151,29,0.31006160164271046,0.002026130091525187,0.8388888888888889,36,18,0.6666666666666666,0.23841059602649006,0.566090674453316,1.4818984426815
reference_single,external_8b,per_task,flow_endpoint,162,39,0.2872340425531915,0.0025937749401436553,0.8059701492537313,42,23,0.6461538461538462,0.25925925925925924,0.5578528296792264,1.4447720014563268
reference_single,development_main,per_task,flow_path,139,32,0.28542094455852157,0.0022357297561657235,0.8128654970760234,38,20,0.6551724137931034,0.2733812949640288,0.5744326107680097,1.4150754707140176
reference_single,external_8b,per_task,flow_path,153,37,0.2712765957446808,0.0024607608406491087,0.8052631578947368,43,21,0.671875,0.28104575163398693,0.58461568341509,1.37742311870717
reference_single,development_main,per_task,flow_settling_log_ratio,284,62,0.5831622176591376,0.0043317264025710895,0.8208092485549133,70,46,0.603448275862069,0.24647887323943662,0.5970377339640052,1.3748029678211247
reference_single,external_8b,per_task,flow_settling_log_ratio,304,87,0.5390070921985816,0.00578611332801277,0.7774936061381074,83,62,0.5724137931034483,0.2730263157894737,0.5501162247905625,1.4133260774741025
