window,matched_pairs,median_mean_prior_windowed,median_mean_prior_latching,median_prior_reduction,share_with_lower_prior,median_tp_ratio,median_low_prior_tp_delta,median_fp_ratio,share_with_more_low_prior_tp
0,1812,0.4956838823302265,0.6015570105786036,0.05776103416953482,0.7488962472406181,0.15789473684210525,-36.0,0.21739130434782608,0.0
1,1882,0.5295864269222493,0.6071006321366117,0.03141653715365611,0.7752391073326249,0.4701830394626364,-13.0,0.58204833141542,0.0
2,1894,0.5559132323440024,0.6077665657949629,0.02246923385041845,0.795142555438226,0.6310588704538711,-7.0,0.7564120091873565,0.0
4,1906,0.5781536956191213,0.6095993849183943,0.016496275724434295,0.9008394543546695,0.7890625,-3.0,0.9,0.0
8,1918,0.5935182335680282,0.6104291049926317,0.011228200982653092,0.9280500521376434,0.9050702769161987,0.0,0.9817434923174349,0.0
