mode,cap,family,best_tp,best_low_prior_tp,lowest_mean_alarm_prior,rules
per_task,0.0005,latching_only,204,41,0.7248481737922631,121
per_task,0.0005,windowed_only,162,40,0.0742898761835396,1007
per_task,0.001,latching_only,234,47,0.6583606859376973,290
per_task,0.001,windowed_only,221,48,0.0742898761835396,1739
per_task,0.0015,latching_only,310,54,0.6151717846387055,344
per_task,0.0015,windowed_only,255,54,0.0742898761835396,2130
per_task,0.003,latching_only,339,69,0.5685644476109782,542
per_task,0.003,windowed_only,319,71,0.0742898761835396,2957
per_task,0.005,latching_only,363,78,0.5272990949356817,661
per_task,0.005,windowed_only,351,78,0.0742898761835396,3348
global,0.0005,latching_only,249,17,0.575169770088816,177
global,0.0005,windowed_only,203,18,0.2054368006835023,1004
global,0.001,latching_only,267,23,0.5695165913315079,270
global,0.001,windowed_only,223,25,0.2054368006835023,1197
global,0.0015,latching_only,267,32,0.5695165913315079,289
global,0.0015,windowed_only,234,44,0.2054368006835023,1285
global,0.003,latching_only,319,63,0.5373265997248798,337
global,0.003,windowed_only,276,57,0.2054368006835023,1398
global,0.005,latching_only,319,63,0.5373265997248798,339
global,0.005,windowed_only,276,57,0.2054368006835023,1400
