label,kind,mode,structure,dev_tp,dev_fp,tp,fp,precision,risk_recall,timely_fpr,early_tp,early_fp,early_precision,mean_alarm_prior,lift,or_curve_tp_at_same_fp,or_curve_early_tp_at_same_early_fp,tp_above_or_curve,early_tp_above_or_curve
per_task|all12|O1_early|fpr<=0.0005,frozen_rule,per_task,quorum/all12 level=0.925 k=5 W=inf f=1,204.0,6.0,195,15,0.9285714285714286,0.3457446808510638,0.000997605746209,46,4,0.92,0.6979055206026032,1.3305116540268345,112.3125,11.0,82.6875,35.0
per_task|all12|O1_early|fpr<=0.001,frozen_rule,per_task,quorum/all12 level=0.96 k=3 W=2 f=2,157.0,13.0,147,20,0.8802395209580839,0.2606382978723404,0.0013301409949454,51,8,0.864406779661017,0.5748886163682255,1.5311479404808324,127.0,12.5,20.0,38.5
per_task|all12|O1_early|fpr<=0.0015,frozen_rule,per_task,quorum/all12 level=0.96 k=3 W=4 f=1,187.0,16.0,185,27,0.8726415094339622,0.3280141843971631,0.0017956903431763,56,10,0.8484848484848485,0.6046402736856837,1.443240795249435,160.25,13.25,24.75,42.75
per_task|all12|O1_early|fpr<=0.003,frozen_rule,per_task,cascade/all12 level=0.96->0.9 k=2 W=1 f=1,255.0,40.0,275,63,0.8136094674556213,0.4875886524822695,0.0041899441340782,85,38,0.6910569105691057,0.5468276390903661,1.4878718800846278,273.3181818181818,42.5,1.681818181818187,42.5
per_task|all12|O1_early|fpr<=0.005,frozen_rule,per_task,cascade/all12 level=0.96->0.5 k=2 W=8 f=2,288.0,63.0,327,86,0.7917675544794189,0.5797872340425532,0.0057196062782654,105,57,0.6481481481481481,0.5025514874158797,1.5754953956075,314.0909090909091,66.4375,12.909090909090878,38.5625
per_task|all12|O2_recall|fpr<=0.0005,frozen_rule,per_task,quorum/all12 level=0.925 k=5 W=inf f=1,204.0,6.0,195,15,0.9285714285714286,0.3457446808510638,0.000997605746209,46,4,0.92,0.6979055206026032,1.3305116540268345,112.3125,11.0,82.6875,35.0
per_task|all12|O2_recall|fpr<=0.001,frozen_rule,per_task,quorum/all12 level=0.9 k=5 W=inf f=1,234.0,9.0,247,17,0.9356060606060606,0.4379432624113475,0.0011306198457036,53,6,0.8983050847457628,0.7190976681398534,1.3010834300523688,118.1875,11.75,128.8125,41.25
per_task|all12|O2_recall|fpr<=0.0015,frozen_rule,per_task,quorum/all12 level=0.8 k=5 W=inf f=1,310.0,20.0,352,31,0.9190600522193212,0.624113475177305,0.0020617185421654,68,11,0.8607594936708861,0.7021316127091056,1.3089569470789366,179.25,13.625,172.75,54.375
per_task|all12|O2_recall|fpr<=0.003,frozen_rule,per_task,quorum/all12 level=0.75 k=5 W=inf f=1,326.0,32.0,371,37,0.909313725490196,0.6578014184397163,0.0024607608406491,76,17,0.8172043010752689,0.6698347196062898,1.357519547545498,207.75,15.875,163.25,60.125
per_task|all12|O2_recall|fpr<=0.005,frozen_rule,per_task,cascade/all12 level=0.9->0.85 k=3 W=inf f=1,363.0,67.0,396,94,0.8081632653061225,0.7021276595744681,0.0062516626762436,112,61,0.6473988439306358,0.5388701078675945,1.499736677738851,328.27272727272725,70.86363636363636,67.72727272727275,41.13636363636364
