rule,family,mode,pool,level,level_loose,k,window,frames,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,union_tp,union_coverage_share,median_confirmation_delay,alarms
quorum|per_task|all12|selected|selected|1|0|1,quorum,per_task,all12,selected,selected,1,0,1,406,194,0.8336755646817249,0.013554111646754699,0.6766666666666666,108,152,0.4153846153846154,0.2660098522167488,0.4417093831069176,1.5319273090987897,406,1.0,0.0,600
quorum|per_task|all12|selected|selected|2|0|1,quorum,per_task,all12,selected,selected,2,0,1,227,32,0.46611909650924027,0.0022357297561657235,0.8764478764478765,60,18,0.7692307692307693,0.2643171806167401,0.5940630036417827,1.4753449904723752,406,0.5591133004926109,1.0,259
quorum|per_task|all12|selected|selected|2|0|2,quorum,per_task,all12,selected,selected,2,0,2,184,25,0.37782340862423,0.0017466638720044715,0.8803827751196173,51,13,0.796875,0.27717391304347827,0.6226189344609296,1.413999360430409,406,0.45320197044334976,1.0,209
quorum|per_task|all12|selected|selected|2|1|1,quorum,per_task,all12,selected,selected,2,1,1,284,46,0.5831622176591376,0.0032138615244882273,0.8606060606060606,70,28,0.7142857142857143,0.24647887323943662,0.58648459540328,1.4673975537486854,406,0.6995073891625616,1.0,330
quorum|per_task|all12|selected|selected|2|1|2,quorum,per_task,all12,selected,selected,2,1,2,248,33,0.5092402464065708,0.002305596311045902,0.8825622775800712,61,20,0.7530864197530864,0.24596774193548387,0.6298321519337274,1.4012658370494504,406,0.6108374384236454,1.0,281
quorum|per_task|all12|selected|selected|2|2|1,quorum,per_task,all12,selected,selected,2,2,1,299,52,0.6139630390143738,0.0036330608537693005,0.8518518518518519,71,32,0.6893203883495146,0.23745819397993312,0.5841738693588354,1.458216288905234,406,0.7364532019704434,1.0,351
quorum|per_task|all12|selected|selected|2|2|2,quorum,per_task,all12,selected,selected,2,2,2,269,38,0.5523613963039015,0.0026549290854467967,0.8762214983713354,62,22,0.7380952380952381,0.23048327137546468,0.626108510657693,1.3994722695126958,406,0.6625615763546798,1.0,307
quorum|per_task|all12|selected|selected|2|4|1,quorum,per_task,all12,selected,selected,2,4,1,317,57,0.6509240246406571,0.0039823936281701946,0.8475935828877005,72,35,0.6728971962616822,0.22712933753943218,0.5823199061819484,1.4555462966139203,406,0.7807881773399015,1.0,374
quorum|per_task|all12|selected|selected|2|4|2,quorum,per_task,all12,selected,selected,2,4,2,300,42,0.6160164271047228,0.002934395304967512,0.8771929824561403,64,25,0.7191011235955056,0.21333333333333335,0.6125651238823533,1.431999551160556,406,0.7389162561576355,1.0,342
quorum|per_task|all12|selected|selected|2|8|1,quorum,per_task,all12,selected,selected,2,8,1,335,58,0.6878850102669405,0.004052260183050374,0.8524173027989822,72,35,0.6728971962616822,0.21492537313432836,0.5931785123419637,1.4370333467298102,406,0.8251231527093597,1.0,393
quorum|per_task|all12|selected|selected|2|8|2,quorum,per_task,all12,selected,selected,2,8,2,323,43,0.6632443531827515,0.0030042618598476907,0.8825136612021858,65,25,0.7222222222222222,0.20123839009287925,0.6232678524639658,1.4159460618951276,406,0.7955665024630542,1.0,366
quorum|per_task|all12|selected|selected|2|-1|1,quorum,per_task,all12,selected,selected,2,-1,1,345,59,0.7084188911704312,0.004122126737930553,0.8539603960396039,73,35,0.6759259259259259,0.21159420289855072,0.5897218232631746,1.448073248017664,406,0.8497536945812808,1.0,404
quorum|per_task|all12|selected|selected|2|-1|2,quorum,per_task,all12,selected,selected,2,-1,2,335,44,0.6878850102669405,0.00307412841472787,0.8839050131926122,66,25,0.7252747252747253,0.19701492537313434,0.6304742867207577,1.4019683781078627,406,0.8251231527093597,1.0,379
quorum|per_task|all12|selected|selected|3|0|1,quorum,per_task,all12,selected,selected,3,0,1,73,7,0.14989733059548255,0.000489065884161252,0.9125,27,4,0.8709677419354839,0.3698630136986301,0.565599648716985,1.6133319779634396,406,0.17980295566502463,0.5,80
quorum|per_task|all12|selected|selected|3|0|2,quorum,per_task,all12,selected,selected,3,0,2,70,7,0.1437371663244353,0.000489065884161252,0.9090909090909091,24,4,0.8571428571428571,0.34285714285714286,0.5802211912521901,1.566800597422126,406,0.1724137931034483,0.0,77
quorum|per_task|all12|selected|selected|3|1|1,quorum,per_task,all12,selected,selected,3,1,1,174,16,0.35728952772073924,0.0011178648780828617,0.9157894736842105,47,7,0.8703703703703703,0.27011494252873564,0.6446773892286192,1.420539154909694,406,0.42857142857142855,1.0,190
quorum|per_task|all12|selected|selected|3|1|2,quorum,per_task,all12,selected,selected,3,1,2,168,15,0.34496919917864477,0.0010479983232026828,0.9180327868852459,43,7,0.86,0.25595238095238093,0.6653339097484947,1.3798076025198758,406,0.41379310344827586,1.0,183
quorum|per_task|all12|selected|selected|3|2|1,quorum,per_task,all12,selected,selected,3,2,1,212,23,0.4353182751540041,0.0016069307622441137,0.902127659574468,56,10,0.8484848484848485,0.2641509433962264,0.6272733989439873,1.4381729897891367,406,0.5221674876847291,2.0,235
quorum|per_task|all12|selected|selected|3|2|2,quorum,per_task,all12,selected,selected,3,2,2,204,21,0.4188911704312115,0.001467197652483756,0.9066666666666666,52,9,0.8524590163934426,0.2549019607843137,0.6476839864314878,1.3998596316424043,406,0.5024630541871922,2.0,225
quorum|per_task|all12|selected|selected|3|4|1,quorum,per_task,all12,selected,selected,3,4,1,246,27,0.5051334702258727,0.0018863969817648292,0.9010989010989011,60,11,0.8450704225352113,0.24390243902439024,0.6265161477380348,1.4382692359202809,406,0.6059113300492611,2.0,273
quorum|per_task|all12|selected|selected|3|4|2,quorum,per_task,all12,selected,selected,3,4,2,238,25,0.4887063655030801,0.0017466638720044715,0.9049429657794676,55,10,0.8461538461538461,0.23109243697478993,0.6391623351099701,1.4158264905014608,406,0.5862068965517241,2.0,263
quorum|per_task|all12|selected|selected|3|8|1,quorum,per_task,all12,selected,selected,3,8,1,280,28,0.5749486652977412,0.001956263536645008,0.9090909090909091,65,12,0.8441558441558441,0.23214285714285715,0.6331758627847911,1.4357636835564247,406,0.6896551724137931,2.0,308
quorum|per_task|all12|selected|selected|3|8|2,quorum,per_task,all12,selected,selected,3,8,2,276,26,0.5667351129363449,0.0018165304268846503,0.9139072847682119,59,11,0.8428571428571429,0.213768115942029,0.6471601896719905,1.4121809396703167,406,0.6798029556650246,2.0,302
quorum|per_task|all12|selected|selected|3|-1|1,quorum,per_task,all12,selected,selected,3,-1,1,298,31,0.6119096509240246,0.0021658632012855447,0.9057750759878419,65,12,0.8441558441558441,0.2181208053691275,0.6457672593815302,1.4026339409887838,406,0.7339901477832512,2.0,329
quorum|per_task|all12|selected|selected|3|-1|2,quorum,per_task,all12,selected,selected,3,-1,2,293,28,0.6016427104722792,0.001956263536645008,0.9127725856697819,60,11,0.8450704225352113,0.20477815699658702,0.6581599229992655,1.3868553124751726,406,0.7216748768472906,2.0,321
quorum|per_task|all12|selected|selected|4|0|1,quorum,per_task,all12,selected,selected,4,0,1,6,0,0.012320328542094456,0.0,1.0,3,0,1.0,0.5,0.5631318920052739,1.7757829279373059,406,0.014778325123152709,1.0,6
