label,kind,tp,fp,median_tp_chunk,median_tp_lead_chunks,mean_alarm_prior,libero_goal_tp,libero_goal_fp,libero_goal_risks,libero_long_tp,libero_long_fp,libero_long_risks,libero_object_tp,libero_object_fp,libero_object_risks,libero_spatial_tp,libero_spatial_fp,libero_spatial_risks
global|all12|O2_recall|fpr<=0.001,frozen_rule,308,23,21.0,8.0,0.6780730761081656,30,0,106,145,11,274,6,0,44,127,12,140
global|all12|O2_recall|fpr<=0.0005,frozen_rule,288,13,21.0,8.0,0.7149174188226448,23,0,106,139,8,274,1,0,44,125,5,140
global|all12|O2_recall|fpr<=0.003,frozen_rule,379,75,23.0,11.0,0.5700692403533493,32,3,106,199,41,274,11,0,44,137,31,140
per_task|all12|O2_recall|fpr<=0.0015,frozen_rule,352,31,20.0,5.0,0.7021316127091056,89,4,106,110,20,274,26,3,44,127,4,140
per_task|all12|O2_recall|fpr<=0.003,frozen_rule,371,37,20.0,6.0,0.6698347196062898,93,4,106,119,26,274,29,3,44,130,4,140
per_task|dedup11|O1_early|fpr<=0.003,frozen_rule,287,56,18.0,8.0,0.5385493411919501,65,10,106,73,32,274,30,8,44,119,6,140
single:mobility|global,reference,195,17,34.0,15.0,0.5214150585184776,37,1,106,156,16,274,2,0,44,0,0,140
single:expert_load_effective_rank|global,reference,237,36,17.0,6.0,0.6711226645210323,0,0,106,101,18,274,0,0,44,136,18,140
single:expert_load_effective_rank|per_task,reference,370,93,18.0,9.0,0.5162688757758398,95,10,106,120,57,274,18,9,44,137,17,140
single:mobility|per_task,reference,272,57,20.0,6.0,0.5953801599458113,78,3,106,94,42,274,15,2,44,85,10,140
and:expert_load_effective_rank+mobility|per_task,reference,245,14,21.0,5.0,0.7044906259033702,72,2,106,79,8,274,9,1,44,85,3,140
and:flow_settling_log_ratio+mobility|per_task,reference,187,8,20.0,5.0,0.7504197454534037,49,2,106,45,2,274,13,1,44,80,3,140
and:conditional_query_d1+mobility|global,reference,140,9,35.0,15.0,0.5595080991638286,13,0,106,126,9,274,1,0,44,0,0,140
