corpus,slice,stat,t,auc_success,npairs,n_alive,n_scored,censored
A,main,I:ent_norm,15,0.607909989771565,2933,352,352,False
A,main,I:top1,15,0.40402318445277874,2933,352,352,False
A,main,I:top4mass,15,0.36004091374019775,2933,352,352,False
A,main,I:gap45,15,0.4087964541425162,2933,352,352,False
A,main,I:kl_p_unif,15,0.39209001022843504,2933,352,352,False
A,main,I:kl_unif_p,15,0.41356972383225366,2933,352,352,False
A,main,I:bhatt_unif,15,0.39890896692806,2933,352,352,False
A,main,I:hell_unif,15,0.3879986362086601,2933,352,352,False
A,main,I:gini,15,0.3627684964200477,2933,352,352,False
A,main,I:partratio,15,0.6225707466757586,2933,352,352,False
A,main,I:ent_tokstd,15,0.4510739856801909,2933,352,352,False
A,main,I:top1_tokstd,15,0.4971019434026594,2933,352,352,False
A,main,I:pr_tokstd,15,0.4643709512444596,2933,352,352,False
A,main,I:tok_heterog,15,0.4128878281622912,2933,352,352,False
A,main,I:ent_laystd,15,0.47459938629389703,2933,352,352,False
A,main,I:lay_heterog,15,0.39072621888851006,2933,352,352,False
A,main,H:hel_prev_mean_W3,15,0.42550289805659736,2933,352,352,False
A,main,H:hel_prev_std_W3,15,0.37708830548926014,2933,352,352,False
A,main,H:hel_prev_max_W3,15,0.40845550630753497,2933,352,352,False
A,main,H:hel_to_winmean_W3,15,0.4336856460961473,2933,352,352,False
A,main,H:hel_prev_mean_W5,15,0.39993181043300374,2933,352,352,False
A,main,H:hel_prev_std_W5,15,0.5080122741220593,2933,352,352,False
A,main,H:hel_prev_max_W5,15,0.4432321854756222,2933,352,352,False
A,main,H:hel_to_winmean_W5,15,0.43095806341629733,2933,352,352,False
A,main,H:hel_prev_mean_W8,15,0.41493351517217864,2933,352,352,False
A,main,H:hel_prev_std_W8,15,0.5577906580293215,2933,352,352,False
A,main,H:hel_prev_max_W8,15,0.49028298670303444,2933,352,352,False
A,main,H:hel_to_winmean_W8,15,0.400272758267985,2933,352,352,False
A,main,H:hel_prev_mean_W12,15,0.37367882713944767,2933,352,352,False
A,main,H:hel_prev_std_W12,15,0.5618820320490965,2933,352,352,False
A,main,H:hel_prev_max_W12,15,0.4793726559836345,2933,352,352,False
A,main,H:hel_to_winmean_W12,15,0.37504261847937265,2933,352,352,False
A,main,H:js_prev_mean_W8,15,0.40777361063757245,2933,352,352,False
A,main,H:l1_prev_mean_W8,15,0.4200477326968974,2933,352,352,False
A,main,H:hel_to_first,15,0.37333787930446644,2933,352,352,False
A,main,H:cum_speed,15,0.3747016706443914,2933,352,352,False
A,main,H:straightness,15,0.48448687350835323,2933,352,352,False
A,main,H:ewm_rate_a0.15,15,0.3767473576542789,2933,352,352,False
A,main,H:ewm_rate_a0.3,15,0.3995908625980225,2933,352,352,False
A,main,H:ewm_rate_a0.5,15,0.4200477326968974,2933,352,352,False
A,main,H:acf_lag1,15,0.5738152062734402,2933,352,352,False
A,main,H:acf_lag2,15,0.5386975792703717,2933,352,352,False
A,main,H:acf_lag3,15,0.4739174906239345,2933,352,352,False
A,main,R:hel_to_cohort_LOO,15,0.4053869757927037,2933,352,352,False
A,main,R:hel_to_succ_ref,15,0.35629048755540405,2933,352,272,False
A,main,R:hel_to_fail_ref,15,0.48244118649846573,2933,352,352,False
A,main,R:hel_to_succ_ref_W3,15,0.3504943743607228,2933,352,272,False
A,main,R:hel_to_succ_ref_W5,15,0.38117967950903514,2933,352,272,False
A,main,R:hel_to_succ_ref_W8,15,0.41902488919195363,2933,352,272,False
A,main,R:hel_to_succ_ref_W12,15,0.4186839413569724,2933,352,272,False
A,main,R:hel_to_cohort_LOO_W3,15,0.4381179679509035,2933,352,352,False
A,main,R:hel_to_cohort_LOO_W5,15,0.44118649846573477,2933,352,352,False
A,main,R:hel_to_cohort_LOO_W8,15,0.47459938629389703,2933,352,352,False
A,main,R:hel_to_cohort_LOO_W12,15,0.5073303784520968,2933,352,352,False
A,main,R:hel_to_fail_ref_W3,15,0.4916467780429594,2933,352,352,False
A,main,R:hel_to_fail_ref_W5,15,0.5001704739174906,2933,352,352,False
A,main,R:hel_to_fail_ref_W8,15,0.5175588135015343,2933,352,352,False
A,main,R:hel_to_fail_ref_W12,15,0.5438117967950904,2933,352,352,False
A,main,R:succ_minus_fail_ref,15,0.286055233549267,2933,352,272,False
A,main,R:succ_minus_fail_ref_W3,15,0.28469144220934195,2933,352,272,False
A,main,R:succ_minus_fail_ref_W5,15,0.3242413910671667,2933,352,272,False
A,main,R:succ_minus_fail_ref_W8,15,0.3460620525059666,2933,352,272,False
A,main,R:succ_minus_fail_ref_W12,15,0.30378452096829184,2933,352,272,False
A,main,I:ent_norm,20,0.4863620866007501,2933,352,352,False
A,main,I:top1,20,0.48073644732355947,2933,352,352,False
A,main,I:top4mass,20,0.46334810773951585,2933,352,352,False
A,main,I:gap45,20,0.49403341288782815,2933,352,352,False
A,main,I:kl_p_unif,20,0.5138083873167405,2933,352,352,False
A,main,I:kl_unif_p,20,0.5298329355608592,2933,352,352,False
A,main,I:bhatt_unif,20,0.5209682918513467,2933,352,352,False
A,main,I:hell_unif,20,0.519945448346403,2933,352,352,False
A,main,I:gini,20,0.4797136038186158,2933,352,352,False
A,main,I:partratio,20,0.5022161609273781,2933,352,352,False
A,main,I:ent_tokstd,20,0.4626662120695534,2933,352,352,False
A,main,I:top1_tokstd,20,0.42891237640640983,2933,352,352,False
A,main,I:pr_tokstd,20,0.45823389021479716,2933,352,352,False
A,main,I:tok_heterog,20,0.5202863961813843,2933,352,352,False
A,main,I:ent_laystd,20,0.4821002386634845,2933,352,352,False
A,main,I:lay_heterog,20,0.5114217524718718,2933,352,352,False
A,main,H:hel_prev_mean_W3,20,0.5243777702011593,2933,352,352,False
A,main,H:hel_prev_std_W3,20,0.5417661097852029,2933,352,352,False
A,main,H:hel_prev_max_W3,20,0.5189226048414592,2933,352,352,False
A,main,H:hel_to_winmean_W3,20,0.596999659052165,2933,352,352,False
A,main,H:hel_prev_mean_W5,20,0.5161950221616093,2933,352,352,False
A,main,H:hel_prev_std_W5,20,0.4166382543470849,2933,352,352,False
A,main,H:hel_prev_max_W5,20,0.4316399590862598,2933,352,352,False
A,main,H:hel_to_winmean_W5,20,0.6229116945107399,2933,352,352,False
A,main,H:hel_prev_mean_W8,20,0.40572792362768495,2933,352,352,False
A,main,H:hel_prev_std_W8,20,0.4323218547562223,2933,352,352,False
A,main,H:hel_prev_max_W8,20,0.38902147971360385,2933,352,352,False
A,main,H:hel_to_winmean_W8,20,0.6021138765768838,2933,352,352,False
A,main,H:hel_prev_mean_W12,20,0.47118990794408455,2933,352,352,False
A,main,H:hel_prev_std_W12,20,0.5103989089669281,2933,352,352,False
A,main,H:hel_prev_max_W12,20,0.40197749744289124,2933,352,352,False
A,main,H:hel_to_winmean_W12,20,0.5775656324582339,2933,352,352,False
A,main,H:hel_prev_mean_W16,20,0.4111830889873849,2933,352,352,False
A,main,H:hel_prev_std_W16,20,0.4899420388680532,2933,352,352,False
A,main,H:hel_prev_max_W16,20,0.3972042277531538,2933,352,352,False
A,main,H:hel_to_winmean_W16,20,0.5785884759631776,2933,352,352,False
A,main,H:js_prev_mean_W8,20,0.3968632799181725,2933,352,352,False
A,main,H:l1_prev_mean_W8,20,0.4101602454824412,2933,352,352,False
A,main,H:hel_to_first,20,0.6007500852369587,2933,352,352,False
A,main,H:cum_speed,20,0.4183429935219911,2933,352,352,False
A,main,H:straightness,20,0.6280259120354585,2933,352,352,False
A,main,H:ewm_rate_a0.15,20,0.47255369928400953,2933,352,352,False
