corpus,family,n_cells,best_stat,best_t,auc_success,auc_failure,obs_dev,null_med,null_p95,null_max,fwer_p,ndraw
A,ALL,331,R:hel_to_succ_ref_W12,35,0.0773,0.9227,0.4227,0.1546,0.2068,0.2446,0.004975124378109453,200
A,INST,80,I:ent_laystd,35,0.3285,0.6715,0.1715,0.1183,0.1676,0.1896,0.04477611940298507,200
A,HIST,151,H:hel_prev_mean_W12,30,0.8074,0.1926,0.3074,0.1271,0.1782,0.2139,0.004975124378109453,200
A,REF,100,R:hel_to_succ_ref_W12,35,0.0773,0.9227,0.4227,0.1409,0.2061,0.2446,0.004975124378109453,200
A,REF_UNSUP,25,R:hel_to_cohort_LOO_W12,35,0.2148,0.7852,0.2852,0.0997,0.1509,0.2214,0.004975124378109453,200
