scope,suite,failure,first_alarm_query,appearances
seen,libero_goal,False,-1,1610
seen,libero_goal,False,8,3
seen,libero_goal,False,10,5
seen,libero_goal,False,12,2
seen,libero_goal,False,13,1
seen,libero_goal,False,16,1
seen,libero_goal,False,19,1
seen,libero_goal,True,-1,1
seen,libero_goal,True,11,6
seen,libero_goal,True,12,6
seen,libero_goal,True,13,4
seen,libero_goal,True,14,5
seen,libero_goal,True,15,7
seen,libero_goal,True,16,2
seen,libero_goal,True,17,4
seen,libero_goal,True,18,2
seen,libero_goal,True,19,1
seen,libero_goal,True,21,2
seen,libero_goal,True,22,9
seen,libero_goal,True,23,5
seen,libero_goal,True,24,1
seen,libero_goal,True,25,1
seen,libero_goal,True,28,1
seen,libero_long,False,-1,1546
seen,libero_long,False,14,1
seen,libero_long,False,15,1
seen,libero_long,False,18,2
seen,libero_long,False,21,1
seen,libero_long,False,22,2
seen,libero_long,False,23,1
seen,libero_long,False,24,3
seen,libero_long,False,25,4
seen,libero_long,False,27,2
seen,libero_long,False,32,3
seen,libero_long,False,33,3
seen,libero_long,False,34,1
seen,libero_long,False,35,1
seen,libero_long,True,-1,52
seen,libero_long,True,18,1
seen,libero_long,True,25,1
seen,libero_long,True,27,3
seen,libero_long,True,28,2
seen,libero_long,True,30,4
seen,libero_long,True,31,2
seen,libero_long,True,32,6
seen,libero_long,True,33,9
seen,libero_long,True,34,5
seen,libero_long,True,35,6
seen,libero_long,True,36,5
seen,libero_long,True,37,4
seen,libero_long,True,38,1
seen,libero_long,True,39,1
seen,libero_long,True,40,1
seen,libero_long,True,41,1
seen,libero_long,True,42,2
seen,libero_long,True,43,1
seen,libero_long,True,44,2
seen,libero_object,False,-1,1648
seen,libero_object,False,11,3
seen,libero_object,False,12,4
seen,libero_object,False,20,1
seen,libero_object,True,-1,4
seen,libero_object,True,12,2
seen,libero_object,True,13,3
seen,libero_object,True,14,4
seen,libero_object,True,15,2
seen,libero_object,True,16,3
seen,libero_object,True,19,1
seen,libero_object,True,20,1
seen,libero_object,True,21,1
seen,libero_object,True,22,3
seen,libero_spatial,False,-1,1596
seen,libero_spatial,False,9,2
seen,libero_spatial,False,10,4
seen,libero_spatial,False,11,8
seen,libero_spatial,False,12,4
seen,libero_spatial,False,13,4
seen,libero_spatial,False,15,1
seen,libero_spatial,True,11,6
seen,libero_spatial,True,12,14
seen,libero_spatial,True,13,16
seen,libero_spatial,True,14,13
seen,libero_spatial,True,15,6
seen,libero_spatial,True,16,5
seen,libero_spatial,True,17,1
unseen,libero_goal,False,-1,3007
unseen,libero_goal,False,8,71
unseen,libero_goal,False,9,161
unseen,libero_goal,False,10,149
unseen,libero_goal,False,11,44
unseen,libero_goal,False,12,31
unseen,libero_goal,False,13,24
unseen,libero_goal,False,14,6
unseen,libero_goal,False,17,4
unseen,libero_goal,False,18,6
unseen,libero_goal,False,19,4
unseen,libero_goal,False,20,4
unseen,libero_goal,True,-1,1
unseen,libero_goal,True,9,1
unseen,libero_goal,True,10,1
unseen,libero_goal,True,11,2
unseen,libero_goal,True,12,7
unseen,libero_goal,True,13,4
unseen,libero_goal,True,14,4
unseen,libero_goal,True,15,4
unseen,libero_goal,True,16,10
unseen,libero_goal,True,17,14
unseen,libero_goal,True,18,10
unseen,libero_goal,True,19,3
unseen,libero_goal,True,20,1
unseen,libero_goal,True,21,4
unseen,libero_goal,True,22,15
unseen,libero_goal,True,23,2
unseen,libero_goal,True,24,1
unseen,libero_goal,True,27,1
unseen,libero_goal,True,28,3
unseen,libero_goal,True,29,1
unseen,libero_long,False,-1,3313
unseen,libero_long,False,8,1
unseen,libero_long,False,11,3
unseen,libero_long,False,12,2
unseen,libero_long,False,14,1
unseen,libero_long,False,15,2
unseen,libero_long,False,16,1
unseen,libero_long,False,17,4
unseen,libero_long,False,20,3
unseen,libero_long,False,21,9
unseen,libero_long,False,22,3
unseen,libero_long,False,24,1
unseen,libero_long,False,25,1
unseen,libero_long,False,26,2
unseen,libero_long,False,29,1
unseen,libero_long,False,30,3
unseen,libero_long,False,31,3
unseen,libero_long,False,32,3
unseen,libero_long,False,34,4
unseen,libero_long,True,-1,47
unseen,libero_long,True,8,2
unseen,libero_long,True,9,4
unseen,libero_long,True,10,1
unseen,libero_long,True,11,1
unseen,libero_long,True,12,4
unseen,libero_long,True,13,3
unseen,libero_long,True,14,3
unseen,libero_long,True,15,4
unseen,libero_long,True,16,3
unseen,libero_long,True,17,1
unseen,libero_long,True,28,3
unseen,libero_long,True,29,10
unseen,libero_long,True,30,13
unseen,libero_long,True,31,20
unseen,libero_long,True,32,26
unseen,libero_long,True,33,22
unseen,libero_long,True,34,14
unseen,libero_long,True,35,4
unseen,libero_long,True,36,5
unseen,libero_long,True,37,2
unseen,libero_long,True,38,2
unseen,libero_long,True,39,3
unseen,libero_long,True,40,2
unseen,libero_long,True,41,5
unseen,libero_long,True,42,2
unseen,libero_long,True,43,7
unseen,libero_long,True,44,5
unseen,libero_long,True,45,6
unseen,libero_long,True,46,5
unseen,libero_long,True,47,6
unseen,libero_long,True,48,1
unseen,libero_long,True,49,2
unseen,libero_long,True,50,2
unseen,libero_object,False,-1,3417
unseen,libero_object,False,8,3
unseen,libero_object,False,9,18
unseen,libero_object,False,10,49
