scope,suite,outcome,appearances,unique_episodes,alarm_count,no_alarm_count,min_query,q25_query,median_query,q75_query,max_query,median_inference_number,median_executed_task_action_steps,median_alarm_fraction,q7_count
seen,all,success,6469,5704,69,6400,8.0,11.0,12.0,23.0,35.0,13.0,120.0,0.8125,0
seen,all,failure,251,200,194,57,11.0,13.0,16.0,30.0,44.0,17.0,160.0,0.6363636363636364,0
seen,libero_goal,success,1623,1471,13,1610,8.0,10.0,10.0,12.0,19.0,11.0,100.0,0.7,0
seen,libero_goal,failure,57,49,56,1,11.0,13.0,15.5,22.0,28.0,16.5,155.0,0.55,0
seen,libero_long,success,1571,1357,25,1546,14.0,22.0,25.0,32.0,35.0,26.0,250.0,0.7419354838709677,0
seen,libero_long,failure,109,83,57,52,18.0,32.0,34.0,36.0,44.0,35.0,340.0,0.6730769230769231,0
seen,libero_object,success,1656,1414,8,1648,11.0,11.0,12.0,12.0,20.0,13.0,120.0,0.8666666666666667,0
seen,libero_object,failure,24,18,20,4,12.0,13.75,15.0,19.25,22.0,16.0,150.0,0.5714285714285714,0
seen,libero_spatial,success,1619,1462,23,1596,9.0,10.5,11.0,12.0,15.0,12.0,110.0,1.0,0
seen,libero_spatial,failure,61,50,61,0,11.0,12.0,13.0,14.0,17.0,14.0,130.0,0.6363636363636364,0
unseen,all,success,13909,10745,847,13062,8.0,9.0,10.0,12.0,34.0,11.0,100.0,0.7857142857142857,0
unseen,all,failure,491,455,441,50,8.0,13.0,17.0,32.0,50.0,18.0,170.0,0.6346153846153846,0
unseen,libero_goal,success,3511,2720,504,3007,8.0,9.0,10.0,10.0,20.0,11.0,100.0,0.7692307692307693,0
unseen,libero_goal,failure,89,80,88,1,9.0,15.0,17.0,22.0,29.0,18.0,170.0,0.6,0
unseen,libero_long,success,3360,2562,47,3313,8.0,17.0,21.0,30.0,34.0,22.0,210.0,0.65625,0
unseen,libero_long,failure,240,238,193,47,8.0,30.0,32.0,37.0,50.0,33.0,320.0,0.6346153846153846,0
unseen,libero_object,success,3566,2379,149,3417,8.0,10.0,11.0,14.0,26.0,12.0,110.0,0.7058823529411765,0
unseen,libero_object,failure,34,21,32,2,10.0,13.75,15.5,19.25,25.0,16.5,155.0,0.5892857142857142,0
unseen,libero_spatial,success,3472,3084,147,3325,8.0,10.0,10.0,11.0,15.0,11.0,100.0,0.9166666666666666,0
unseen,libero_spatial,failure,128,116,128,0,8.0,11.0,12.0,13.25,17.0,13.0,120.0,0.5909090909090909,0
