cohort,category,failures,successes
all,cosine_only,1,268
all,euclidean_only,998,421
all,both,12,5
all,both_cosine_earlier,12,5
A,cosine_only,0,118
A,euclidean_only,487,209
A,both,6,2
A,both_cosine_earlier,6,2
B,cosine_only,1,150
B,euclidean_only,511,212
B,both,6,3
B,both_cosine_earlier,6,3
