cohort,method,query_cutoff,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
all,euclidean,7,32000,1096,30904,5,1,1091,30903,0.004562043795620438,3.235827077400984e-05,0.8333333333333334,5,7.0,7.0
all,euclidean,10,32000,1096,30904,39,24,1057,30880,0.035583941605839414,0.000776598498576236,0.6190476190476191,39,9.0,10.0
all,euclidean,13,32000,1096,30904,151,110,945,30794,0.13777372262773724,0.003559409785141082,0.578544061302682,151,11.0,11.5
all,euclidean,20,32000,1096,30904,483,272,613,30632,0.4406934306569343,0.008801449650530676,0.6397350993377483,414,15.0,14.0
all,euclidean,51,32000,1096,30904,1010,426,86,30478,0.9215328467153284,0.01378462334972819,0.7033426183844012,886,22.0,18.0
all,cosine,7,32000,1096,30904,2,93,1094,30811,0.0018248175182481751,0.0030093191819829147,0.021052631578947368,2,7.0,7.0
all,cosine,10,32000,1096,30904,6,126,1090,30778,0.005474452554744526,0.004077142117525239,0.045454545454545456,6,8.0,7.0
all,cosine,13,32000,1096,30904,7,163,1089,30741,0.006386861313868613,0.005274398136163603,0.041176470588235294,7,8.0,7.0
all,cosine,20,32000,1096,30904,12,240,1084,30664,0.010948905109489052,0.007765984985762361,0.047619047619047616,12,10.5,9.0
all,cosine,51,32000,1096,30904,13,273,1083,30631,0.011861313868613138,0.008833807921304686,0.045454545454545456,13,11.0,12.0
all,euclidean_OR_cosine,7,32000,1096,30904,7,94,1089,30810,0.006386861313868613,0.003041677452756925,0.06930693069306931,7,7.0,7.0
all,euclidean_OR_cosine,10,32000,1096,30904,45,150,1051,30754,0.04105839416058394,0.004853740616101476,0.23076923076923078,45,9.0,7.0
all,euclidean_OR_cosine,13,32000,1096,30904,157,273,939,30631,0.14324817518248176,0.008833807921304686,0.36511627906976746,157,11.0,10.0
all,euclidean_OR_cosine,20,32000,1096,30904,488,510,608,30394,0.44525547445255476,0.016502718094745017,0.48897795591182364,420,15.0,13.0
all,euclidean_OR_cosine,51,32000,1096,30904,1011,694,85,30210,0.9224452554744526,0.022456639917162825,0.5929618768328446,888,22.0,16.0
all,euclidean_AND_cosine_latched,7,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
all,euclidean_AND_cosine_latched,10,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
