representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,quantity
L2,low,0.5,per_task,191,628,0.3921971252566735,0.043876196464752326,0.23321123321123322,74,604,0.10914454277286136,0.387434554973822,0.18426427772598045,1.2656345336671377,fixed4_coupling
L2,low,0.5,global,262,980,0.5379876796714579,0.06846922378257528,0.2109500805152979,109,934,0.10450623202301054,0.41603053435114506,0.16695468086939075,1.2635170180123605,fixed4_coupling
L2,low,0.6,per_task,152,354,0.31211498973305957,0.024732760427583315,0.30039525691699603,57,337,0.1446700507614213,0.375,0.21927795795869298,1.3699291060234322,fixed4_coupling
L2,low,0.6,global,188,566,0.3860369609856263,0.03954447006218123,0.2493368700265252,58,531,0.09847198641765705,0.30851063829787234,0.2051350403207659,1.2154767397936583,fixed4_coupling
L2,low,0.7,per_task,103,196,0.21149897330595482,0.013693844756515056,0.34448160535117056,40,185,0.17777777777777778,0.3883495145631068,0.24273422649991572,1.4191719491659334,fixed4_coupling
L2,low,0.7,global,131,302,0.26899383983572894,0.021099699573814017,0.302540415704388,38,277,0.12063492063492064,0.2900763358778626,0.24313547991428774,1.2443285357243714,fixed4_coupling
L2,low,0.75,per_task,94,127,0.19301848049281314,0.008873052469782716,0.4253393665158371,31,119,0.20666666666666667,0.32978723404255317,0.29579611401156314,1.437947783516892,fixed4_coupling
L2,low,0.75,global,106,205,0.21765913757700206,0.014322643750436665,0.3408360128617363,28,190,0.12844036697247707,0.2641509433962264,0.2700682259104962,1.2620367009582736,fixed4_coupling
L2,low,0.8,per_task,73,100,0.14989733059548255,0.006986655488017886,0.42196531791907516,22,92,0.19298245614035087,0.3013698630136986,0.3042293661650931,1.3869973278322234,fixed4_coupling
L2,low,0.8,global,77,129,0.15811088295687886,0.009012785579543072,0.3737864077669903,15,118,0.11278195488721804,0.19480519480519481,0.30068337136707163,1.24312297706239,fixed4_coupling
L2,low,0.85,per_task,60,60,0.12320328542094455,0.004191993292810731,0.5,15,54,0.21739130434782608,0.25,0.3578880975349962,1.3970847408556453,fixed4_coupling
L2,low,0.85,global,55,71,0.11293634496919917,0.004960525396492699,0.4365079365079365,10,63,0.136986301369863,0.18181818181818182,0.33943049481376664,1.2860009432783368,fixed4_coupling
L2,low,0.9,per_task,47,36,0.09650924024640657,0.0025151959756864388,0.5662650602409639,11,33,0.25,0.23404255319148937,0.38337379940274524,1.4770572770573873,fixed4_coupling
