representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,quantity
L2,low,0.5,per_task,128,2258,0.26283367556468173,0.15775868091944387,0.053646269907795474,111,2257,0.046875,0.8671875,0.049321205884971006,1.0876917736543499,running_coupling
L2,low,0.5,global,163,3262,0.3347022587268994,0.22790470201914342,0.04759124087591241,158,3259,0.046239391278899616,0.9693251533742331,0.048446526895984846,0.9823457722385602,running_coupling
L2,low,0.6,per_task,88,1476,0.1806981519507187,0.103123035003144,0.056265984654731455,78,1471,0.05035506778566817,0.8863636363636364,0.04962607685437601,1.1337987651097174,running_coupling
L2,low,0.6,global,101,2228,0.20739219712525667,0.1556626842730385,0.043366251610133105,96,2226,0.041343669250646,0.9504950495049505,0.04805865342582066,0.9023609385366912,running_coupling
L2,low,0.7,per_task,62,812,0.1273100616016427,0.056731642562705235,0.07093821510297482,54,810,0.0625,0.8709677419354839,0.05511089762290477,1.2871903409806198,running_coupling
L2,low,0.7,global,51,1322,0.10472279260780287,0.09236358555159645,0.037144938091769844,50,1320,0.0364963503649635,0.9803921568627451,0.04624291616014373,0.8032568266917532,running_coupling
L2,low,0.75,per_task,41,571,0.08418891170431211,0.03989380283658213,0.06699346405228758,36,570,0.0594059405940594,0.8780487804878049,0.05507503525626206,1.216403471020391,running_coupling
L2,low,0.75,global,30,938,0.061601642710472276,0.06553482847760778,0.030991735537190084,29,938,0.02998965873836608,0.9666666666666667,0.04638096973924743,0.6681993867619584,running_coupling
L2,low,0.8,per_task,33,391,0.06776180698151951,0.027317822958149933,0.07783018867924528,28,391,0.06682577565632458,0.8484848484848485,0.0592135464181081,1.3143983663752323,running_coupling
L2,low,0.8,global,18,596,0.03696098562628337,0.0416404667085866,0.029315960912052116,18,596,0.029315960912052116,1.0,0.04509877493274931,0.6500389634921944,running_coupling
L2,low,0.85,per_task,23,261,0.04722792607802875,0.018235170823726683,0.08098591549295775,16,261,0.05776173285198556,0.6956521739130435,0.06738828359163429,1.201780356711912,running_coupling
L2,low,0.85,global,8,332,0.01642710472279261,0.023195696220219383,0.023529411764705882,8,332,0.023529411764705882,1.0,0.044307218578834226,0.5310514295281445,running_coupling
L2,low,0.9,per_task,15,134,0.030800821355236138,0.009362118353943967,0.10067114093959731,10,133,0.06993006993006994,0.6666666666666666,0.08268292369328074,1.2175566180151705,running_coupling
L2,low,0.9,global,2,136,0.004106776180698152,0.009501851463704325,0.014492753623188406,2,136,0.014492753623188406,1.0,0.042859675573101066,0.33814426799544245,running_coupling
L2,low,0.925,per_task,10,78,0.02053388090349076,0.005449591280653951,0.11363636363636363,5,78,0.060240963855421686,0.5,0.11256737402797122,1.0094964426204593,running_coupling
L2,low,0.925,global,1,69,0.002053388090349076,0.004820792286732341,0.014285714285714285,1,69,0.014285714285714285,1.0,0.043195258351935516,0.3307241310914434,running_coupling
L2,low,0.95,per_task,6,43,0.012320328542094456,0.0030042618598476907,0.12244897959183673,3,43,0.06521739130434782,0.5,0.12234199513517198,1.0008744704265002,running_coupling
L2,low,0.95,global,0,30,0.0,0.0020959966464053656,0.0,0,30,0.0,0.0,0.04450491986891421,0.0,running_coupling
L2,low,0.96,per_task,1,36,0.002053388090349076,0.0025151959756864388,0.02702702702702703,1,36,0.02702702702702703,1.0,0.06854893910830927,0.39427345453623375,running_coupling
L2,low,0.96,global,0,19,0.0,0.0013274645427233983,0.0,0,19,0.0,0.0,0.043331799681167085,0.0,running_coupling
L2,low,0.975,per_task,0,26,0.0,0.0018165304268846503,0.0,0,26,0.0,0.0,0.0668496285752825,0.0,running_coupling
L2,low,0.975,global,0,12,0.0,0.0008383986585621463,0.0,0,12,0.0,0.0,0.043919398313902513,0.0,running_coupling
L2,low,0.98,per_task,0,21,0.0,0.001467197652483756,0.0,0,21,0.0,0.0,0.06740877260102535,0.0,running_coupling
L2,low,0.98,global,0,7,0.0,0.000489065884161252,0.0,0,7,0.0,0.0,0.04505862015287939,0.0,running_coupling
L2,low,0.99,per_task,0,7,0.0,0.000489065884161252,0.0,0,7,0.0,0.0,0.0687253638438916,0.0,running_coupling
L2,low,0.99,global,0,1,0.0,6.986655488017886e-05,0.0,0,1,0.0,0.0,0.0423244877393349,0.0,running_coupling
L2,low,0.995,per_task,0,2,0.0,0.00013973310976035772,0.0,0,2,0.0,0.0,0.06080510101252459,0.0,running_coupling
L2,low,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,,running_coupling
L2,high,0.5,per_task,291,2722,0.5975359342915811,0.19017676238384684,0.0965814802522403,137,2676,0.04870245289726271,0.47079037800687284,0.09593373463322935,1.0067520108696633,running_coupling
