quantity,mode,head_fp,baseline_fp,both_fp,expected_both_if_independent,false_alarm_dependence,tp_missed_by_mobility,or_tp,or_fp
running_coupling,per_task,1,57,0,0.003790901835594573,0.0,1,273,58
running_coupling,global,1,17,0,0.0011306198457036445,0.0,1,196,18
running_coupling_log,per_task,0,57,0,0.0,,1,273,57
running_coupling_log,global,3,17,0,0.003391859537110934,0.0,1,196,20
fixed4_coupling,per_task,13,57,2,0.04928172386272945,40.582995951417004,10,282,68
fixed4_coupling,global,18,17,0,0.020351157222665603,0.0,29,224,35
