quantity,mode,feasible,representation,direction,quantile,dev_low_prior_tp,dev_low_prior_fp,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,lift_ci_low,lift_ci_high,median_alarm_chunk,libero_goal__tp,libero_goal__fp,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_long__tp,libero_long__fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_object__tp,libero_object__fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_spatial__tp,libero_spatial__fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp
running_coupling,per_task,True,L4,low,0.995,1,0,2,1,0.0035460992907801418,6.650704974727321e-05,0.6666666666666666,2,1,0.6666666666666666,1.0,0.05087145969498911,13.10492505353319,4.0820452565699155,18.448616590273648,9.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
running_coupling,global,True,L4,low,0.99,2,1,1,1,0.0017730496453900709,6.650704974727321e-05,0.5,1,1,0.5,1.0,0.029640522875816994,16.868798235942666,3.1892556719631444,30.54834079992219,9.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
running_coupling_log,per_task,True,L4,low,0.99,1,0,2,0,0.0035460992907801418,0.0,1.0,2,0,1.0,1.0,0.05277777777777778,18.94736842105263,6.487204308650112,18.94736842105263,10.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
running_coupling_log,global,True,L4,low,0.99,2,1,1,3,0.0017730496453900709,0.00019952114924181964,0.25,1,3,0.25,1.0,0.03834967320261438,6.518960374946741,1.1887261868841936,18.236352466332537,9.0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3
fixed4_coupling,per_task,True,L5,low,0.95,18,12,37,13,0.06560283687943262,0.0008645916467145518,0.74,19,10,0.6551724137931034,0.5135135135135135,0.3846783359967237,1.9236851435436764,1.5713607207733493,2.186982333963621,16.0,26,4,15,3,5,1,1,0,4,8,2,7,2,0,1,0
fixed4_coupling,global,True,L4,low,0.925,9,4,51,18,0.09042553191489362,0.0011971268954509178,0.7391304347826086,12,12,0.5,0.23529411764705882,0.5061367691502016,1.4603373630088188,1.2346351688980066,1.6362068468552842,27.0,0,0,0,0,37,15,3,9,3,1,1,1,11,2,8,2
