representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,quantity
L2,low,0.5,per_task,126,2239,0.2587268993839836,0.15643121637672047,0.053276955602537,114,2234,0.048551959114139696,0.9047619047619048,0.0508802467412045,1.0471048985576472,running_coupling_log
L2,low,0.5,global,146,3052,0.2997946611909651,0.21323272549430589,0.045653533458411506,143,3051,0.04477144646211647,0.9794520547945206,0.048993593327923864,0.9318265993033686,running_coupling_log
L2,low,0.6,per_task,88,1423,0.1806981519507187,0.09942010759449452,0.05823957643944408,80,1421,0.05329780146568954,0.9090909090909091,0.0526228554280756,1.1067353902724903,running_coupling_log
L2,low,0.6,global,99,2089,0.2032854209445585,0.14595123314469363,0.04524680073126142,91,2086,0.04180064308681672,0.9191919191919192,0.04994035878869075,0.9060167333340784,running_coupling_log
L2,low,0.7,per_task,56,770,0.11498973305954825,0.05379724725773772,0.06779661016949153,52,770,0.06326034063260341,0.9285714285714286,0.05580789339738544,1.2148211667252744,running_coupling_log
L2,low,0.7,global,43,1274,0.08829568788501027,0.08900999091734786,0.032649962034927864,42,1273,0.03193916349809886,0.9767441860465116,0.047471759199765734,0.6877765346241684,running_coupling_log
L2,low,0.75,per_task,39,557,0.08008213552361396,0.038915671068259626,0.06543624161073826,35,557,0.05912162162162162,0.8974358974358975,0.05676925632483868,1.1526704037887396,running_coupling_log
L2,low,0.75,global,24,923,0.049281314168377825,0.06448683015440508,0.025343189017951427,24,923,0.025343189017951427,1.0,0.04685403427843595,0.5408966251944574,running_coupling_log
L2,low,0.8,per_task,25,396,0.0513347022587269,0.027667155732550828,0.05938242280285035,20,395,0.04819277108433735,0.8,0.06283909842564372,0.9449916419968439,running_coupling_log
L2,low,0.8,global,16,601,0.03285420944558522,0.04198979948298749,0.02593192868719611,16,601,0.02593192868719611,1.0,0.04636392048183551,0.5593126814492692,running_coupling_log
L2,low,0.85,per_task,20,247,0.04106776180698152,0.01725703905540418,0.0749063670411985,13,247,0.05,0.65,0.0723888514717522,1.034777669741434,running_coupling_log
L2,low,0.85,global,8,319,0.01642710472279261,0.022287431006777055,0.024464831804281346,8,319,0.024464831804281346,1.0,0.0469083544303274,0.5215453004351019,running_coupling_log
L2,low,0.9,per_task,12,126,0.024640657084188913,0.008803185914902536,0.08695652173913043,9,126,0.06666666666666667,0.75,0.07726441999706132,1.1254406846312668,running_coupling_log
L2,low,0.9,global,1,134,0.002053388090349076,0.009362118353943967,0.007407407407407408,1,134,0.007407407407407408,1.0,0.04768128527637698,0.15535251125198388,running_coupling_log
L2,low,0.925,per_task,9,75,0.018480492813141684,0.005239991616013414,0.10714285714285714,7,75,0.08536585365853659,0.7777777777777778,0.08271274613029156,1.295360898477274,running_coupling_log
L2,low,0.925,global,1,64,0.002053388090349076,0.004471459512331447,0.015384615384615385,1,64,0.015384615384615385,1.0,0.045749443496560974,0.3362798366229714,running_coupling_log
L2,low,0.95,per_task,5,46,0.01026694045174538,0.0032138615244882273,0.09803921568627451,3,46,0.061224489795918366,0.6,0.10229944270270698,0.9583553252698244,running_coupling_log
L2,low,0.95,global,0,27,0.0,0.0018863969817648292,0.0,0,27,0.0,0.0,0.04398957698930986,0.0,running_coupling_log
L2,low,0.96,per_task,4,36,0.008213552361396304,0.0025151959756864388,0.1,2,36,0.05263157894736842,0.5,0.10709394722123197,0.9337595876770004,running_coupling_log
L2,low,0.96,global,0,20,0.0,0.0013973310976035773,0.0,0,20,0.0,0.0,0.043281434084075476,0.0,running_coupling_log
L2,low,0.975,per_task,0,24,0.0,0.0016767973171242926,0.0,0,24,0.0,0.0,0.0673533392055123,0.0,running_coupling_log
L2,low,0.975,global,0,7,0.0,0.000489065884161252,0.0,0,7,0.0,0.0,0.04505862015287939,0.0,running_coupling_log
