unit,kind,signal_or_pair,n_events,n_crossed,frac_crossed,cross_rel_onset_q25,cross_rel_onset_med,cross_rel_onset_q75,n_both,n_first_earlier,n_second_earlier,n_ties,n_only_first,n_only_second,n_neither,p_sign_binom,median_rank,mean_rank,n_all3_crossed
U1_main16x32_S8,crossing,D_tok,57,57,1.0,-41.0,-33.0,-26.0,,,,,,,,,,,
U1_main16x32_S8,crossing,V,57,57,1.0,-43.0,-37.0,-26.0,,,,,,,,,,,
U1_main16x32_S8,crossing,A,57,57,1.0,-41.0,-33.0,-29.0,,,,,,,,,,,
U1_main16x32_S8,crossing,C,57,57,1.0,-42.0,-35.0,-31.0,,,,,,,,,,,
U1_main16x32_S8,signtest,D_tok_before_V,,,,,,,57,25,23,9,0,0,0,0.88543,,,
U1_main16x32_S8,signtest,D_tok_before_A,,,,,,,57,24,27,6,0,0,0,0.77977,,,
U1_main16x32_S8,signtest,D_tok_before_C,,,,,,,57,25,32,0,0,0,0,0.42704,,,
U1_main16x32_S8,signtest,V_before_C,,,,,,,57,25,32,0,0,0,0,0.42704,,,
U1_main16x32_S8,trio_rank,D_tok,,,,,,,,,,,,,,,2.0,2.044,57
U1_main16x32_S8,trio_rank,V,,,,,,,,,,,,,,,2.0,2.079,57
U1_main16x32_S8,trio_rank,C,,,,,,,,,,,,,,,2.0,1.877,57
U2_grid50x8_S8,crossing,D_tok,28,28,1.0,-44.0,-33.0,-28.5,,,,,,,,,,,
U2_grid50x8_S8,crossing,V,28,28,1.0,-42.5,-35.5,-31.5,,,,,,,,,,,
U2_grid50x8_S8,crossing,A,28,28,1.0,-41.75,-34.0,-32.0,,,,,,,,,,,
U2_grid50x8_S8,crossing,C,28,28,1.0,-44.25,-35.0,-32.0,,,,,,,,,,,
U2_grid50x8_S8,signtest,D_tok_before_V,,,,,,,28,10,15,3,0,0,0,0.42436,,,
U2_grid50x8_S8,signtest,D_tok_before_A,,,,,,,28,9,16,3,0,0,0,0.22952,,,
U2_grid50x8_S8,signtest,D_tok_before_C,,,,,,,28,14,14,0,0,0,0,1.0,,,
U2_grid50x8_S8,signtest,V_before_C,,,,,,,28,12,13,3,0,0,0,1.0,,,
U2_grid50x8_S8,trio_rank,D_tok,,,,,,,,,,,,,,,2.0,2.089,28
U2_grid50x8_S8,trio_rank,V,,,,,,,,,,,,,,,2.0,1.929,28
U2_grid50x8_S8,trio_rank,C,,,,,,,,,,,,,,,2.0,1.982,28
U3_grid50x8_long_objaware,crossing,D_tok,24,24,1.0,-29.5,-20.5,-14.0,,,,,,,,,,,
U3_grid50x8_long_objaware,crossing,V,24,24,1.0,-28.5,-21.5,-11.75,,,,,,,,,,,
U3_grid50x8_long_objaware,crossing,A,24,24,1.0,-28.25,-21.5,-16.25,,,,,,,,,,,
U3_grid50x8_long_objaware,crossing,C,24,24,1.0,-27.25,-23.0,-17.75,,,,,,,,,,,
U3_grid50x8_long_objaware,signtest,D_tok_before_V,,,,,,,24,10,9,5,0,0,0,1.0,,,
U3_grid50x8_long_objaware,signtest,D_tok_before_A,,,,,,,24,9,8,7,0,0,0,1.0,,,
U3_grid50x8_long_objaware,signtest,D_tok_before_C,,,,,,,24,11,13,0,0,0,0,0.83882,,,
U3_grid50x8_long_objaware,signtest,V_before_C,,,,,,,24,11,13,0,0,0,0,0.83882,,,
U3_grid50x8_long_objaware,trio_rank,D_tok,,,,,,,,,,,,,,,2.25,2.021,24
U3_grid50x8_long_objaware,trio_rank,V,,,,,,,,,,,,,,,2.0,2.062,24
U3_grid50x8_long_objaware,trio_rank,C,,,,,,,,,,,,,,,2.0,1.917,24
