experiment,unit,leg,signal,lead,eff_auc_minus_05,ci95_lo,ci95_hi,p_maxT,n_groups,n_events_used,n_events_present,n_events_total,family,named
E2_loop,U1_main16x32_S8,raw,D_tok,-4,0.2316,0.0956,0.3676,0.2094,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_tok,-3,0.3356,0.2479,0.4234,0.009,10,57,57,57,56,yes
E2_loop,U1_main16x32_S8,raw,D_tok,-2,0.1856,-0.0516,0.4228,0.5312,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_tok,-1,0.1553,-0.0691,0.3797,0.8186,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_tok,0,0.1065,-0.1092,0.3221,0.999,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_tok,1,0.0243,-0.2012,0.2498,1.0,9,56,56,57,56,
E2_loop,U1_main16x32_S8,raw,D_tok,2,0.0688,-0.1465,0.2841,1.0,9,55,55,57,56,
E2_loop,U1_main16x32_S8,raw,C,-4,-0.1889,-0.3065,-0.0713,0.5132,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,C,-3,-0.2979,-0.438,-0.1577,0.0275,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,C,-2,-0.187,-0.4225,0.0486,0.5282,10,57,57,57,56,yes
E2_loop,U1_main16x32_S8,raw,C,-1,-0.1445,-0.37,0.0811,0.8826,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,C,0,-0.1083,-0.3258,0.1093,0.999,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,C,1,-0.0284,-0.2547,0.1979,1.0,9,56,56,57,56,yes
E2_loop,U1_main16x32_S8,raw,C,2,-0.0732,-0.2856,0.1393,1.0,9,55,55,57,56,yes
E2_loop,U1_main16x32_S8,raw,S_ent,-4,-0.0379,-0.2527,0.1768,1.0,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_ent,-3,-0.2062,-0.4045,-0.0079,0.3568,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_ent,-2,-0.262,-0.4775,-0.0465,0.1034,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_ent,-1,-0.2582,-0.3949,-0.1214,0.1179,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_ent,0,-0.1708,-0.2879,-0.0538,0.6537,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_ent,1,-0.077,-0.2748,0.1207,1.0,9,56,56,57,56,
E2_loop,U1_main16x32_S8,raw,S_ent,2,-0.0532,-0.2679,0.1615,1.0,9,55,55,57,56,
E2_loop,U1_main16x32_S8,raw,S_margin,-4,0.0535,-0.1518,0.2588,1.0,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_margin,-3,0.1025,-0.0404,0.2454,0.999,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_margin,-2,0.1667,-0.0209,0.3543,0.6987,10,57,57,57,56,yes
