failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,state,front_2_5,7,top1_mass,0.2222222222222222,0.7777777777777778,-0.5555555555555556,-1.0,-0.3333333432674408,0.023952095808383235,0.8183632734530938,9,9
stagnation,1,state,front_2_5,4,top1_mass,0.1111111111111111,0.6666666666666666,-0.5555555555555556,-0.75,-0.3333333432674408,0.02594810379241517,0.8183632734530938,9,9
stagnation,1,state,back_12_15,5,consensus_distance,0.2222222222222222,0.7777777777777778,-0.5555555555555556,-1.0,-0.25,0.027944111776447105,0.8183632734530938,9,9
stagnation,1,state,front_2_5,5,consensus_distance,0.2222222222222222,0.6666666666666666,-0.4444444444444444,-0.6666666865348816,-0.25,0.06387225548902195,0.998003992015968,9,9
stagnation,1,state,back_12_15,6,consensus_distance,0.2222222222222222,0.6666666666666666,-0.4444444444444444,-0.6666666865348816,-0.25,0.07385229540918163,0.998003992015968,9,9
stagnation,1,state,back_12_15,2,consensus_distance,0.5555555555555556,0.1111111111111111,0.4444444444444445,0.3333333432674408,0.5,0.07784431137724551,0.998003992015968,9,9
stagnation,1,state,back_12_15,4,consensus_distance,0.2222222222222222,0.6666666666666666,-0.4444444444444444,-0.6666666865348816,-0.25,0.07984031936127745,0.998003992015968,9,9
stagnation,1,state,front_2_5,4,consensus_distance,0.2222222222222222,0.6666666666666666,-0.4444444444444444,-0.6666666865348816,0.0,0.07984031936127745,0.998003992015968,9,9
stagnation,1,state,front_2_5,5,top1_mass,0.1111111111111111,0.5555555555555556,-0.4444444444444445,-0.75,0.0,0.08383233532934131,0.998003992015968,9,9
stagnation,1,state,back_12_15,7,top1_mass,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.0,0.5,0.17764471057884232,1.0,9,9
stagnation,1,state,front_2_5,3,top1_mass,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666865348816,0.0,0.2155688622754491,1.0,9,9
stagnation,1,state,front_2_5,0,top1_mass,0.2222222222222222,0.5555555555555556,-0.33333333333333337,-0.5,-0.25,0.21956087824351297,1.0,9,9
stagnation,1,state,back_12_15,3,consensus_distance,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666865348816,0.0,0.22355289421157684,1.0,9,9
stagnation,1,state,back_12_15,9,top1_mass,0.2222222222222222,0.5555555555555556,-0.33333333333333337,-0.6666666865348816,0.0,0.22554890219560877,1.0,9,9
stagnation,1,action,front_2_5,9,top1_mass,0.5555555555555556,0.2222222222222222,0.33333333333333337,0.0,0.75,0.2315369261477046,1.0,9,9
stagnation,1,state,front_2_5,9,top1_mass,0.2222222222222222,0.5555555555555556,-0.33333333333333337,-0.6666666865348816,0.0,0.25149700598802394,1.0,9,9
stagnation,1,state,back_12_15,8,top1_mass,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.5,0.4091816367265469,1.0,9,9
stagnation,1,action,back_12_15,2,entropy,0.5555555555555556,0.3333333333333333,0.22222222222222227,-0.3333333432674408,0.5,0.41916167664670656,1.0,9,9
stagnation,1,action,back_12_15,6,entropy,0.5555555555555556,0.3333333333333333,0.22222222222222227,-0.5,0.75,0.41916167664670656,1.0,9,9
stagnation,1,action,back_12_15,1,entropy,0.5555555555555556,0.3333333333333333,0.22222222222222227,-0.3333333432674408,0.5,0.4311377245508982,1.0,9,9
stagnation,1,state,front_2_5,0,consensus_distance,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.5,0.0,0.43313373253493015,1.0,9,9
stagnation,1,state,front_2_5,3,consensus_distance,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.3333333432674408,0.0,0.4351297405189621,1.0,9,9
stagnation,1,state,back_12_15,6,entropy,0.1111111111111111,0.3333333333333333,-0.2222222222222222,-0.3333333432674408,0.0,0.437125748502994,1.0,9,9
stagnation,1,action,back_12_15,0,entropy,0.5555555555555556,0.3333333333333333,0.22222222222222227,-0.3333333432674408,0.5,0.43912175648702595,1.0,9,9
stagnation,1,action,front_2_5,4,top1_mass,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.3333333432674408,0.4411177644710579,1.0,9,9
stagnation,1,action,front_2_5,8,token_dispersion,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.5,0.0,0.4411177644710579,1.0,9,9
stagnation,1,state,back_12_15,0,consensus_distance,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.0,0.3333333432674408,0.4411177644710579,1.0,9,9
stagnation,1,action,back_12_15,4,token_dispersion,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.5,0.3333333432674408,0.4431137724550898,1.0,9,9
stagnation,1,action,back_12_15,9,top1_mass,0.4444444444444444,0.2222222222222222,0.2222222222222222,-0.25,0.6666666865348816,0.4431137724550898,1.0,9,9
stagnation,1,action,back_12_15,5,entropy,0.5555555555555556,0.3333333333333333,0.22222222222222227,-0.5,0.75,0.4491017964071856,1.0,9,9
stagnation,1,action,front_2_5,2,top1_mass,0.4444444444444444,0.2222222222222222,0.2222222222222222,-0.5,0.5,0.4491017964071856,1.0,9,9
stagnation,1,state,back_12_15,8,consensus_distance,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,0.5,0.45109780439121755,1.0,9,9
stagnation,1,action,front_2_5,8,entropy,0.5555555555555556,0.3333333333333333,0.22222222222222227,0.0,0.5,0.4550898203592814,1.0,9,9
stagnation,1,state,front_2_5,2,top1_mass,0.4444444444444444,0.6666666666666666,-0.2222222222222222,-0.6666666865348816,0.0,0.45708582834331335,1.0,9,9
stagnation,1,action,back_12_15,0,token_dispersion,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.5,0.3333333432674408,0.4590818363273453,1.0,9,9
stagnation,1,action,back_12_15,2,token_dispersion,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.5,0.3333333432674408,0.4590818363273453,1.0,9,9
stagnation,1,state,front_2_5,0,entropy,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,0.5,0.4630738522954092,1.0,9,9
stagnation,1,action,front_2_5,5,entropy,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.3333333432674408,0.0,0.46506986027944114,1.0,9,9
stagnation,1,state,front_2_5,1,top1_mass,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.5,0.0,0.46506986027944114,1.0,9,9
stagnation,1,state,front_2_5,6,consensus_distance,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.6666666865348816,0.25,0.46506986027944114,1.0,9,9
stagnation,1,state,front_2_5,8,consensus_distance,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,1.0,0.46706586826347307,1.0,9,9
stagnation,1,state,front_2_5,8,top1_mass,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.6666666865348816,0.0,0.469061876247505,1.0,9,9
stagnation,1,action,front_2_5,3,top1_mass,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.3333333432674408,0.47105788423153694,1.0,9,9
stagnation,1,state,back_12_15,1,consensus_distance,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,0.25,0.47904191616766467,1.0,9,9
stagnation,1,action,front_2_5,3,entropy,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.5,0.5,0.4810379241516966,1.0,9,9
stagnation,1,state,front_2_5,9,entropy,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,0.0,0.48902195608782434,1.0,9,9
stagnation,1,action,back_12_15,6,top1_mass,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,0.5,0.49700598802395207,1.0,9,9
stagnation,1,state,back_12_15,4,entropy,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.3333333432674408,0.0,0.499001996007984,1.0,9,9
stagnation,1,state,back_12_15,3,entropy,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.6666666865348816,0.0,0.500998003992016,1.0,9,9
stagnation,1,state,back_12_15,9,consensus_distance,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,0.0,0.500998003992016,1.0,9,9
stagnation,1,state,back_12_15,9,entropy,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,0.0,0.500998003992016,1.0,9,9
stagnation,1,action,back_12_15,7,top1_mass,0.3333333333333333,0.5555555555555556,-0.22222222222222227,-0.6666666865348816,0.0,0.5049900199600799,1.0,9,9
stagnation,1,state,back_12_15,1,entropy,0.2222222222222222,0.4444444444444444,-0.2222222222222222,-0.6666666865348816,0.0,0.5049900199600799,1.0,9,9
stagnation,1,action,front_2_5,9,consensus_distance,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0.3333333432674408,0.7604790419161677,1.0,9,9
stagnation,1,state,back_12_15,6,top1_mass,0.3333333333333333,0.2222222222222222,0.1111111111111111,-0.5,0.3333333432674408,0.7624750499001997,1.0,9,9
stagnation,1,action,back_12_15,6,token_dispersion,0.4444444444444444,0.5555555555555556,-0.11111111111111116,-0.5,0.3333333432674408,0.782435129740519,1.0,9,9
