model,snapshots,ridge_alpha,failure_rate_mse,failure_rate_mae,mse_gain_vs_mean_rate,mse_gain_vs_mean_rate_ci95_low,mse_gain_vs_mean_rate_ci95_high,mse_gain_vs_policy_state,mse_gain_vs_policy_state_ci95_low,mse_gain_vs_policy_state_ci95_high,mse_gain_vs_sim_state,mse_gain_vs_sim_state_ci95_low,mse_gain_vs_sim_state_ci95_high
mean_moe_action,6,10.0,0.09761583791928603,0.2948077668746312,0.12254041208071398,0.022957272021171104,0.22194962434620222,0.17870372467201578,0.0422269604216529,0.3219407730550911,0.06677831159014724,-0.014343297616014569,0.15296551328784916
mean_moe_action+state,6,10.0,0.13731814906941642,0.33431642750899,0.0828381009305836,0.000517760972909011,0.17294464223621372,0.13900141352188541,0.040423904554037327,0.2648220629404256,0.027076000440016863,-0.0476391846412143,0.11451639593465564
policy_state+mean_moe_action+state,6,10.0,0.13733465686643834,0.3342818021774292,0.08282159313356167,-0.00470411438551959,0.17429772217895317,0.13898490572486347,0.03629519367222459,0.2648238521510062,0.027059492642994936,-0.053421014717191524,0.11531783507631548
sim_state+mean_moe_action+state,6,10.0,0.13785858708527834,0.33477288484573364,0.08229766291472167,0.000425034572386629,0.1641702912570567,0.13846097550602346,0.034676125228883595,0.25514854199960446,0.02653556242415493,-0.047988305492590415,0.11414518881750942
initial_sim_state,6,10.0,0.1643941495094333,0.33576276898384094,0.055762100490566735,-0.07133309279084471,0.17794503591010646,0.11192541308186854,-0.04748787154755725,0.3087588874519476,0.0,0.0,0.0
mean_moe_state,6,10.0,0.18232547311532876,0.354985107978185,0.037830776884671256,-0.035434370714501395,0.1396463543647761,0.09399408947597306,0.008337510180933094,0.16763802241483164,-0.017931323605895482,-0.13918246897366515,0.08110653541640052
as_moe,6,10.0,0.22015624905626,0.4124999940395355,9.437400170605001e-10,-7.996956665941402e-09,1.0232130527495489e-08,0.056163313535041816,-0.05087408690119663,0.16246988561366985,-0.055762099546826725,-0.16840703388827438,0.06573159440225217
mean_rate,6,,0.22015625000000003,0.41250000000000003,0.0,0.0,0.0,0.056163312591301806,-0.044286232496165485,0.15328243440339567,-0.055762100490566735,-0.18340074127103345,0.06606908934199267
initial_policy_state,6,10.0,0.2763195625913018,0.4706055521965027,-0.056163312591301806,-0.16587774170088954,0.04128250958275099,0.0,0.0,0.0,-0.11192541308186854,-0.3206992607658197,0.05310973482361109
mean_output_action,6,10.0,0.3174885502121003,0.5016377419233322,-0.0973323002121003,-0.4280188866470464,0.14791212686074554,-0.04116898762079849,-0.38094450803381114,0.24252355366643386,-0.15309440070266703,-0.31766391894960816,-0.01911912867531921
