head_name,quantile,threshold,dev_alone_tp,dev_alone_fp,ext_alone_tp,ext_alone_fp,dev_or_tp,dev_or_fp,ext_or_tp,ext_or_fp,ext_gain_tp,ext_gain_fp,ext_or_median_lead,dev_gain
A_frontback_conditional_energy,0.9,1.3840491771697998,150,788,197,1379,372,823,431,1421,84,1364,16.0,69
A_frontback_conditional_query_d1,0.9,1.5519285202026367,302,1604,353,2174,401,1622,459,2199,112,2142,19.0,98
A_frontback_flow_path,0.9,0.16829495131969452,261,1402,313,1503,434,1431,511,1535,164,1478,16.0,131
B_flowpath_back,0.9,0.04589541628956795,464,7004,540,7752,485,7006,558,7754,211,7697,23.0,182
B_flowpath_front,0.9,0.029511719942092896,476,5765,543,5749,480,5767,548,5751,201,5694,24.0,177
C_curvature_all9,0.9,0.17200301587581635,333,837,388,985,434,854,496,1005,149,948,19.0,131
C_curvature_s2,0.9,0.1935015171766281,315,670,378,1334,428,687,489,1355,142,1298,19.0,125
C_curvature_s3,0.9,0.17087972164154053,252,829,307,1091,402,848,460,1122,113,1065,19.0,99
C_curvature_s4,0.9,0.17175590991973877,265,959,327,1181,410,976,465,1210,118,1153,19.0,107
