flow_noise_seed,failures,zero,one,core
1000,6,0,4,2
1001,7,2,0,5
1002,8,1,3,4
1003,8,0,1,7
1004,5,0,1,4
1005,9,3,1,5
1006,7,0,1,6
1007,6,1,0,5
1008,3,0,1,2
1009,8,0,2,6
1010,7,1,2,4
1011,6,1,1,4
1012,8,0,3,5
1013,6,0,2,4
1014,7,0,2,5
1015,6,1,3,2
1016,7,0,2,5
1017,9,3,0,6
1018,7,3,2,2
1019,7,0,3,4
1020,5,0,3,2
1021,6,1,1,4
1022,6,0,1,5
1023,6,2,2,2
1024,6,4,0,2
1025,7,2,3,2
1026,9,1,4,4
1027,7,0,2,5
1028,8,3,2,3
1029,5,0,2,3
1030,7,1,4,2
1031,7,0,1,6
