view,scope,method,estimate,lo,hi,tasks,failures,successes
full_peak_pooled,all,v7,0.9284905967260838,,,40,564.0,15436.0
full_peak_pooled,all,v8_fixed,0.9771897323930978,,,40,564.0,15436.0
full_peak_pooled,all,v82,0.9826497053034354,,,40,564.0,15436.0
full_peak_pooled,libero_goal,v7,0.9642192633078466,,,10,106.0,3894.0
full_peak_pooled,libero_goal,v8_fixed,0.9954744115281371,,,10,106.0,3894.0
full_peak_pooled,libero_goal,v82,0.9967172524735685,,,10,106.0,3894.0
full_peak_pooled,libero_long,v7,0.9754927888853626,,,10,274.0,3726.0
full_peak_pooled,libero_long,v8_fixed,0.9773107498697259,,,10,274.0,3726.0
full_peak_pooled,libero_long,v82,0.9785870446771748,,,10,274.0,3726.0
full_peak_pooled,libero_object,v7,0.5700087324202592,,,10,44.0,3956.0
full_peak_pooled,libero_object,v8_fixed,0.8781425222906517,,,10,44.0,3956.0
full_peak_pooled,libero_object,v82,0.9242692343046236,,,10,44.0,3956.0
full_peak_pooled,libero_spatial,v7,0.9655347890451518,,,10,140.0,3860.0
full_peak_pooled,libero_spatial,v8_fixed,0.9982864544781643,,,10,140.0,3860.0
full_peak_pooled,libero_spatial,v82,0.9989267209474464,,,10,140.0,3860.0
full_peak_task_macro,all,v7,0.9112475129978191,0.8716301131297713,0.9488061709430365,36,,
full_peak_task_macro,libero_goal,v7,0.9991582116182491,0.9975952676000621,0.9999818208260617,8,,
full_peak_task_macro,libero_long,v7,0.9832256392424886,0.9611992730474016,0.9971294543385915,10,,
full_peak_task_macro,libero_object,v7,0.678600898355464,0.5030600093924419,0.8382291041761462,8,,
full_peak_task_macro,libero_spatial,v7,0.9550581195706892,0.9130802267807804,0.9894721331615239,10,,
full_peak_task_macro,all,v82,0.9927719743369722,0.9856344071530817,0.9974507274844262,36,,
full_peak_task_macro,libero_goal,v82,0.9991254325129744,0.9975944476261829,1.0,8,,
full_peak_task_macro,libero_long,v82,0.9825047159758755,0.9595339437287622,0.9969684197365684,10,,
full_peak_task_macro,libero_object,v82,0.9920088171284829,0.9836811257545257,0.9980332378597275,8,,
full_peak_task_macro,libero_spatial,v82,0.9985669919240585,0.9962503809487684,0.9998912969631089,10,,
full_peak_task_macro,all,v8_fixed,0.9880662836324549,0.9795173097530199,0.9946544134903973,36,,
full_peak_task_macro,libero_goal,v8_fixed,0.9993807380080166,0.9984677653691043,0.9999644785450412,8,,
full_peak_task_macro,libero_long,v8_fixed,0.978043776558698,0.9548162448762025,0.9959781474858824,10,,
full_peak_task_macro,libero_object,v8_fixed,0.9763933471383062,0.9534766348174275,0.9928884209513981,8,,
full_peak_task_macro,libero_spatial,v8_fixed,0.9983755764010809,0.9956389136096301,0.9999259807549963,10,,
full_conditional_task_macro,all,v7,0.5078053405068168,0.46159242220863106,0.551878139953518,36,,
full_conditional_task_macro,libero_goal,v7,0.5774711375768169,0.4488501108004823,0.6857872562581148,8,,
full_conditional_task_macro,libero_long,v7,0.6439453510255977,0.5893722976878832,0.7008182574703307,10,,
full_conditional_task_macro,libero_object,v7,0.3648451237509992,0.27767247228530273,0.4526014357207046,8,,
full_conditional_task_macro,libero_spatial,v7,0.4303008657366899,0.34358280661048646,0.5266739622156916,10,,
full_conditional_task_macro,all,v82,0.641325740014644,0.5943348037305723,0.6901510117136201,36,,
full_conditional_task_macro,libero_goal,v82,0.5596886669799889,0.47839655881874515,0.6430033032496525,8,,
full_conditional_task_macro,libero_long,v82,0.6740936561555769,0.6108302613490846,0.7392391271663468,10,,
full_conditional_task_macro,libero_object,v82,0.7187906155599684,0.589049686409884,0.839865096442682,8,,
full_conditional_task_macro,libero_spatial,v82,0.6118955818651763,0.4934423053932526,0.7315119076522256,10,,
full_conditional_task_macro,all,v8_fixed,0.6330345679929248,0.5845409703331816,0.681552048220693,36,,
full_conditional_task_macro,libero_goal,v8_fixed,0.5681693495569891,0.4966471476948417,0.6463942470429846,8,,
full_conditional_task_macro,libero_long,v8_fixed,0.6698486964612185,0.606225031910233,0.7355702117764933,10,,
full_conditional_task_macro,libero_object,v8_fixed,0.6973824151530525,0.572134901893104,0.8181254619039661,8,,
full_conditional_task_macro,libero_spatial,v8_fixed,0.5966343365452781,0.472605192333638,0.7231668557240106,10,,
