quantity,mode,feasible,representation,direction,quantile,dev_low_prior_tp,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
token_differentiation_s9,per_task,True,L2,high,0.95,33,101,33,0.17907801418439717,0.002194732641660016,0.753731343283582,35,21,0.625,0.3465346534653465,0.5047872512948999,1.4931663613731945
token_differentiation_s9,global,True,L15,low,0.975,13,15,5,0.026595744680851064,0.00033253524873636604,0.75,13,5,0.7222222222222222,0.8666666666666667,0.2247714134348656,3.3367232449127053
action_consensus_s9,per_task,True,L2,low,0.95,34,101,34,0.17907801418439717,0.002261239691407289,0.7481481481481481,35,22,0.6140350877192983,0.3465346534653465,0.49748101671935324,1.5038727569582924
action_consensus_s9,global,True,L15,high,0.975,13,15,5,0.026595744680851064,0.00033253524873636604,0.75,13,5,0.7222222222222222,0.8666666666666667,0.2247714134348656,3.3367232449127053
centred_energy_s9,per_task,True,L2,high,0.95,34,101,34,0.17907801418439717,0.002261239691407289,0.7481481481481481,35,22,0.6140350877192983,0.3465346534653465,0.49748101671935324,1.5038727569582924
centred_energy_s9,global,True,L15,low,0.975,13,15,5,0.026595744680851064,0.00033253524873636604,0.75,13,5,0.7222222222222222,0.8666666666666667,0.2247714134348656,3.3367232449127053
