cohort,layer,window,suite,n,n_risk,mean_coupling_risk,mean_coupling_ok,delta,auc
development_main,L2,prefix_K12,libero_goal,1373,102,0.4654188948306596,0.4329447106787783,0.0324741841518813,0.5376961169991207
development_main,L2,prefix_K12,libero_long,2800,222,0.13280098280098282,0.23628440223856786,-0.10348341943758504,0.4004177761935714
development_main,L2,prefix_K12,libero_object,3409,37,0.262899262899263,0.5215491211042813,-0.2586498582050183,0.24657353082619987
development_main,L2,prefix_K12,libero_spatial,760,126,0.18744588744588744,0.31256094063665046,-0.12511505319076302,0.37657102799058634
development_main,L2,whole_episode,libero_goal,4000,102,0.6537815126050418,0.29024689652289926,0.36353461608214255,0.8481750319419713
development_main,L2,whole_episode,libero_long,2800,222,0.3724234804841616,0.3223978980307826,0.05002558245337896,0.5651999944086833
development_main,L2,whole_episode,libero_object,4000,37,0.5181500181500182,0.4929065547726495,0.025243463377368658,0.5631005721845994
development_main,L2,whole_episode,libero_spatial,4000,126,0.6193568336425479,0.12656699693354315,0.4927898367090048,0.9210292876400259
development_main,L3,prefix_K12,libero_goal,1373,102,0.3904634581105169,0.3982404692082112,-0.0077770110976942974,0.508056802579411
development_main,L3,prefix_K12,libero_long,2800,222,0.30020475020475024,0.4630404118767192,-0.16283566167196895,0.33083121911671176
development_main,L3,prefix_K12,libero_object,3409,37,0.2771498771498772,0.5634125957079694,-0.2862627185580922,0.2335930236286108
development_main,L3,prefix_K12,libero_spatial,760,126,0.4160894660894661,0.6306423860051621,-0.21455291991569597,0.29497145861499174
development_main,L3,whole_episode,libero_goal,4000,102,0.6170240509997101,0.34546652067809525,0.2715575303216149,0.7796192617631968
development_main,L3,whole_episode,libero_long,2800,222,0.45883021513319394,0.4879196370201368,-0.029089421886942857,0.44146765073840327
development_main,L3,whole_episode,libero_object,4000,37,0.4896709896709897,0.495950956953931,-0.006279967282941279,0.5193410670322101
development_main,L3,whole_episode,libero_spatial,4000,126,0.6315007559862982,0.3315729188252796,0.29992783716101856,0.7795519171358097
development_main,L4,prefix_K12,libero_goal,1373,102,0.3159536541889483,0.45456691223803736,-0.13861325804908908,0.3293338578547076
development_main,L4,prefix_K12,libero_long,2800,222,0.4281326781326782,0.5342978112643878,-0.10616513313170961,0.3716111379028369
development_main,L4,prefix_K12,libero_object,3409,37,0.45356265356265363,0.6014720155289551,-0.1479093619663015,0.3122655573723189
development_main,L4,prefix_K12,libero_spatial,760,126,0.20404040404040408,0.5183108689417838,-0.3142704649013797,0.23878373641780581
development_main,L4,whole_episode,libero_goal,4000,102,0.6436974789915965,0.3558474514911342,0.28785002750046224,0.824490186017968
development_main,L4,whole_episode,libero_long,2800,222,0.5287752784149489,0.5390172563748333,-0.010241977959884463,0.47937066236135284
development_main,L4,whole_episode,libero_object,4000,37,0.6537471537471538,0.5235192601900592,0.13022789355709452,0.6832559281461629
development_main,L4,whole_episode,libero_spatial,4000,126,0.6467532467532467,0.27202452221470413,0.3747287245385426,0.834970212486991
