cohort,layer,reference,other,n,spearman
development_main,L2,td_slope,token_differentiation_s9,140049,0.4682984554447158
development_main,L2,td_slope,action_consensus_s9,140049,-0.46701959335145
development_main,L2,td_slope,token_differentiation_s0,140049,-0.3264312821216776
development_main,L2,td_slope,mobility_s9,140049,0.18849253213367964
development_main,L2,td_slope,state_mobility_s9,140049,-0.03378842185430132
development_main,L2,td_slope,flow_speed_s9,140049,0.031875255985903114
development_main,L2,td_slope,conditional_effective_rank_s9,140049,0.45021115465328343
development_main,L2,td_slope,pc1corr_slope,140049,-0.08406603203490202
development_main,L2,td_slope,stretch_slope,140049,0.05658545762507657
development_main,L2,td_slope,pc1share_slope,140049,0.1374027426069868
development_main,L2,td_slope,saa_slope,140049,-0.1295536949351762
development_main,L12,td_slope,token_differentiation_s9,140049,0.9712097800180486
development_main,L12,td_slope,action_consensus_s9,140049,-0.9711705992203169
development_main,L12,td_slope,token_differentiation_s0,140049,0.8193149509992316
development_main,L12,td_slope,mobility_s9,140049,0.7667026980587576
development_main,L12,td_slope,state_mobility_s9,140049,0.5415035998855658
development_main,L12,td_slope,flow_speed_s9,140049,0.7246299357037977
development_main,L12,td_slope,conditional_effective_rank_s9,140049,0.7773532483229815
development_main,L12,td_slope,pc1corr_slope,140049,-0.47334559613150445
development_main,L12,td_slope,stretch_slope,140049,-0.5083072789992301
development_main,L12,td_slope,pc1share_slope,140049,-0.4022995180335333
development_main,L12,td_slope,saa_slope,140049,-0.40051485358983013
development_main,L14,td_slope,token_differentiation_s9,140049,0.9790681663597482
development_main,L14,td_slope,action_consensus_s9,140049,-0.9790266035945449
development_main,L14,td_slope,token_differentiation_s0,140049,0.8400099884056392
development_main,L14,td_slope,mobility_s9,140049,0.7708333433521106
development_main,L14,td_slope,state_mobility_s9,140049,0.5482659586468157
development_main,L14,td_slope,flow_speed_s9,140049,0.7045819741760884
development_main,L14,td_slope,conditional_effective_rank_s9,140049,0.7562753215591481
development_main,L14,td_slope,pc1corr_slope,140049,-0.5074013577629645
development_main,L14,td_slope,stretch_slope,140049,-0.5424543894834353
development_main,L14,td_slope,pc1share_slope,140049,-0.4986548168962613
development_main,L14,td_slope,saa_slope,140049,-0.4814840968183356
development_main,L15,td_slope,token_differentiation_s9,140049,0.8974529398649373
development_main,L15,td_slope,action_consensus_s9,140049,-0.8974073849325799
development_main,L15,td_slope,token_differentiation_s0,140049,0.6221605257470025
development_main,L15,td_slope,mobility_s9,140049,0.688196715380049
development_main,L15,td_slope,state_mobility_s9,140049,0.4506721318465787
development_main,L15,td_slope,flow_speed_s9,140049,0.6436298169595125
development_main,L15,td_slope,conditional_effective_rank_s9,140049,0.6792646252970977
development_main,L15,td_slope,pc1corr_slope,140049,-0.42914050023017525
development_main,L15,td_slope,stretch_slope,140049,-0.34623380381010943
development_main,L15,td_slope,pc1share_slope,140049,-0.1618845728165775
development_main,L15,td_slope,saa_slope,140049,-0.325143386623333
external_8b,L2,td_slope,token_differentiation_s9,140476,0.5062754397659162
external_8b,L2,td_slope,action_consensus_s9,140476,-0.5048490701923593
external_8b,L2,td_slope,token_differentiation_s0,140476,-0.3021804296754762
