episode,init_state_id,failure,release_query,offset,query,metric,value
12,1,False,8,-2,6,front_entropy,0.9969526529312134
14,1,False,8,-2,6,front_entropy,0.9969019889831543
25,3,False,10,-2,8,front_entropy,0.9968560338020325
28,3,True,7,-2,5,front_entropy,0.9964243173599243
29,3,False,8,-2,6,front_entropy,0.9973737001419067
30,3,False,10,-2,8,front_entropy,0.9969269037246704
73,9,False,8,-2,6,front_entropy,0.9966707825660706
77,9,True,9,-2,7,front_entropy,0.9971010684967041
89,11,False,11,-2,9,front_entropy,0.9955357909202576
96,12,True,10,-2,8,front_entropy,0.9969419836997986
100,12,True,10,-2,8,front_entropy,0.9969324469566345
102,12,True,11,-2,9,front_entropy,0.9956338405609131
103,12,False,10,-2,8,front_entropy,0.9967208504676819
105,13,False,10,-2,8,front_entropy,0.9969499111175537
108,13,True,10,-2,8,front_entropy,0.9971632361412048
110,13,False,10,-2,8,front_entropy,0.996874213218689
120,15,True,11,-2,9,front_entropy,0.9953592419624329
121,15,True,10,-2,8,front_entropy,0.9968982338905334
128,16,False,10,-2,8,front_entropy,0.997122049331665
137,17,False,7,-2,5,front_entropy,0.9971616268157959
139,17,True,9,-2,7,front_entropy,0.9971625804901123
167,20,True,7,-2,5,front_entropy,0.996483325958252
174,21,False,10,-2,8,front_entropy,0.9972169995307922
190,23,False,10,-2,8,front_entropy,0.997348427772522
200,25,False,10,-2,8,front_entropy,0.9967504739761353
208,26,False,9,-2,7,front_entropy,0.9970561861991882
213,26,True,7,-2,5,front_entropy,0.9970560669898987
214,26,True,8,-2,6,front_entropy,0.9972438216209412
260,32,False,10,-2,8,front_entropy,0.9972870349884033
279,34,False,9,-2,7,front_entropy,0.9970493912696838
281,35,True,10,-2,8,front_entropy,0.9967269897460938
283,35,True,10,-2,8,front_entropy,0.9968396425247192
285,35,True,10,-2,8,front_entropy,0.9969578981399536
286,35,True,10,-2,8,front_entropy,0.996835470199585
287,35,True,10,-2,8,front_entropy,0.9967712163925171
316,39,False,9,-2,7,front_entropy,0.997033953666687
318,39,True,11,-2,9,front_entropy,0.9955803155899048
352,44,False,11,-2,9,front_entropy,0.9956560134887695
353,44,False,8,-2,6,front_entropy,0.9970391988754272
355,44,False,11,-2,9,front_entropy,0.9963482022285461
360,45,True,11,-2,9,front_entropy,0.9965319037437439
363,45,True,11,-2,9,front_entropy,0.9957173466682434
366,45,True,11,-2,9,front_entropy,0.9958171844482422
367,45,True,11,-2,9,front_entropy,0.9957739114761353
12,1,False,8,-2,6,front_top1_probability,0.041959330439567566
14,1,False,8,-2,6,front_top1_probability,0.04221341758966446
25,3,False,10,-2,8,front_top1_probability,0.04017958045005798
28,3,True,7,-2,5,front_top1_probability,0.04218121990561485
29,3,False,8,-2,6,front_top1_probability,0.04002329707145691
30,3,False,10,-2,8,front_top1_probability,0.03968045115470886
73,9,False,8,-2,6,front_top1_probability,0.04207964241504669
77,9,True,9,-2,7,front_top1_probability,0.040905632078647614
89,11,False,11,-2,9,front_top1_probability,0.042824964970350266
96,12,True,10,-2,8,front_top1_probability,0.040345847606658936
100,12,True,10,-2,8,front_top1_probability,0.04127377271652222
102,12,True,11,-2,9,front_top1_probability,0.04315778613090515
103,12,False,10,-2,8,front_top1_probability,0.04097186028957367
105,13,False,10,-2,8,front_top1_probability,0.03965163975954056
108,13,True,10,-2,8,front_top1_probability,0.03948459029197693
