cohort,query,representation,layer,paired_states,total_variation,success_top4,failure_top4
B,9,hard_load,5,11,0.14320345222949982,26 11 17 27,26 4 23 14
B,9,hard_load,12,11,0.15215370059013367,21 2 19 16,21 19 2 17
B,9,hard_load,13,11,0.17259740829467773,25 31 28 9,25 11 9 26
B,9,hard_load,14,11,0.14011365175247192,14 27 26 19,9 19 14 23
B,9,hard_load,15,11,0.17765691876411438,4 5 14 9,14 11 9 28
B,10,load,2,6,0.00828393455594778,28 6 8 30,28 8 6 17
B,10,load,3,6,0.011924929916858673,13 31 26 19,13 31 26 25
B,10,load,4,6,0.013540945947170258,6 7 29 14,6 11 29 7
B,10,load,5,6,0.015775080770254135,25 18 13 24,26 25 18 13
B,10,load,12,6,0.020713796839118004,29 19 22 2,29 21 19 22
B,10,load,13,6,0.03024471551179886,12 3 27 23,27 9 17 23
B,10,load,14,6,0.023005574941635132,27 3 21 19,27 17 28 31
B,10,load,15,6,0.022809728980064392,4 9 13 16,9 16 22 12
B,10,hard_load,2,6,0.1753472089767456,28 6 8 29,28 29 6 8
B,10,hard_load,3,6,0.1937500238418579,13 31 4 26,13 31 4 26
B,10,hard_load,4,6,0.1795138716697693,6 7 14 11,7 6 11 29
B,10,hard_load,5,6,0.17256943881511688,18 25 24 26,18 25 26 4
B,10,hard_load,12,6,0.24270832538604736,29 22 19 8,29 22 16 27
B,10,hard_load,13,6,0.3222222328186035,27 3 12 4,27 26 17 23
B,10,hard_load,14,6,0.2232639044523239,27 3 4 17,27 3 28 17
B,10,hard_load,15,6,0.2684027850627899,13 4 17 16,9 15 22 23
B,12,load,2,3,0.02177448943257332,16 23 21 30,28 10 31 16
B,12,load,3,3,0.020481668412685394,25 19 5 6,14 13 5 31
B,12,load,4,3,0.02137726917862892,1 28 20 10,5 11 25 28
B,12,load,5,3,0.023398399353027344,29 31 4 24,29 31 24 20
B,12,load,12,3,0.046097531914711,5 21 9 15,16 21 9 29
B,12,load,13,3,0.04367249459028244,27 28 19 2,28 19 31 27
B,12,load,14,3,0.036757197231054306,23 16 14 28,17 28 31 23
B,12,load,15,3,0.030677054077386856,28 19 26 1,28 6 4 29
B,12,hard_load,2,3,0.33750003576278687,8 16 1 18,28 31 5 2
B,12,hard_load,3,3,0.4236111044883728,25 6 4 5,14 6 31 10
B,12,hard_load,4,3,0.24722221493721008,1 28 10 2,5 11 28 20
B,12,hard_load,5,3,0.25138890743255615,29 31 22 8,29 31 20 24
B,12,hard_load,12,3,0.5236110687255859,2 22 5 21,16 21 9 29
B,12,hard_load,13,3,0.3680555820465088,19 12 27 16,28 19 31 10
B,12,hard_load,14,3,0.3819444179534912,23 16 14 25,23 17 28 14
B,12,hard_load,15,3,0.3916667103767395,28 19 1 20,6 28 22 29
A,0,load,2,7,0.004154556430876255,28 20 1 23,28 20 1 6
A,0,load,3,7,0.004591583274304867,27 22 23 9,27 22 9 23
A,0,load,4,7,0.004048387054353952,28 25 29 20,28 29 20 25
A,0,load,5,7,0.003564215265214443,29 2 25 8,2 29 25 8
A,0,load,12,7,0.0036621810868382454,29 24 2 21,29 2 24 21
A,0,load,13,7,0.003405388444662094,30 23 16 0,30 23 16 0
A,0,load,14,7,0.002568093128502369,19 22 14 20,19 22 14 20
A,0,load,15,7,0.003192473202943802,17 13 28 31,17 28 31 13
A,0,hard_load,2,7,0.08822280168533325,28 1 23 26,28 1 13 18
A,0,hard_load,3,7,0.09536564350128174,27 9 22 23,27 9 22 14
A,0,hard_load,4,7,0.09098638594150543,28 20 9 25,28 20 25 6
A,0,hard_load,5,7,0.07260206341743469,2 29 25 8,2 29 8 25
A,0,hard_load,12,7,0.06822279095649719,29 19 15 2,29 2 15 0
A,0,hard_load,13,7,0.051649659872055054,30 23 25 4,30 23 16 4
A,0,hard_load,14,7,0.08051872998476028,19 22 26 14,19 22 14 0
A,0,hard_load,15,7,0.053018711507320404,17 13 28 31,17 13 31 28
A,4,load,2,7,0.0030653690919280052,8 13 16 5,8 13 5 16
A,4,load,3,7,0.002818455919623375,23 7 31 19,23 7 31 19
A,4,load,4,7,0.004386028274893761,23 17 28 27,23 17 28 27
A,4,load,5,7,0.002895037643611431,29 31 13 23,29 31 13 23
A,4,load,12,7,0.005257295444607735,5 23 29 7,7 23 29 5
A,4,load,13,7,0.0050489092245697975,24 25 18 4,24 4 18 25
A,4,load,14,7,0.004342477768659592,23 20 5 22,23 20 5 22
A,4,load,15,7,0.005468742921948433,1 13 19 10,1 13 19 10
A,4,hard_load,2,7,0.08511054515838623,8 13 5 16,8 13 5 16
A,4,hard_load,3,7,0.06503400206565857,23 7 8 31,23 7 31 8
A,4,hard_load,4,7,0.108401358127594,23 17 21 11,23 17 11 9
A,4,hard_load,5,7,0.07741495966911316,31 29 23 13,31 29 23 13
A,4,hard_load,12,7,0.09385204315185547,5 7 29 23,7 29 5 23
A,4,hard_load,13,7,0.0975169986486435,18 3 24 4,4 18 24 3
A,4,hard_load,14,7,0.10475340485572815,20 23 5 22,23 20 5 1
A,4,hard_load,15,7,0.08549319207668304,1 13 10 5,1 13 10 31
A,6,load,2,7,0.0027134185656905174,26 8 2 10,26 8 2 10
A,6,load,3,7,0.004363031126558781,5 31 25 11,5 31 25 11
A,6,load,4,7,0.0026639699935913086,6 5 29 23,6 5 23 11
A,6,load,5,7,0.004240561276674271,13 24 23 5,13 24 5 23
A,6,load,12,7,0.006770715117454529,7 16 10 27,7 16 10 4
A,6,load,13,7,0.007348969578742981,12 29 1 5,12 29 1 17
A,6,load,14,7,0.007832365110516548,29 10 16 31,21 10 29 16
A,6,load,15,7,0.008618360385298729,14 17 29 21,14 17 29 21
A,6,hard_load,2,7,0.07583333551883698,26 22 8 6,26 8 25 6
A,6,hard_load,3,7,0.08220238238573074,5 31 25 11,5 31 25 11
A,6,hard_load,4,7,0.07970238476991653,6 5 29 23,6 5 11 29
A,6,hard_load,5,7,0.09080781787633896,13 24 23 5,13 24 30 23
A,6,hard_load,12,7,0.12407311797142029,7 10 16 27,7 10 16 27
A,6,hard_load,13,7,0.0964880883693695,29 12 1 5,29 1 12 30
A,6,hard_load,14,7,0.08105441182851791,8 10 9 29,8 10 21 29
A,6,hard_load,15,7,0.11800171434879303,14 17 29 10,14 17 10 30
A,8,load,2,7,0.005550116300582886,3 26 16 0,16 3 26 23
A,8,load,3,7,0.0056021371856331825,20 18 0 26,20 18 0 10
A,8,load,4,7,0.0070378538221120834,28 27 0 25,28 17 0 21
A,8,load,5,7,0.010867967270314693,0 29 14 23,29 0 14 23
A,8,load,12,7,0.015415052883327007,16 9 13 24,15 24 13 9
A,8,load,13,7,0.017412995919585228,24 5 23 29,29 5 27 24
A,8,load,14,7,0.01359197311103344,5 23 2 29,1 23 21 2
A,8,load,15,7,0.01423388160765171,25 5 26 16,5 16 25 29
A,8,hard_load,2,7,0.12128402292728424,3 1 0 26,3 16 0 26
A,8,hard_load,3,7,0.12761054933071136,0 18 30 20,0 30 18 28
A,8,hard_load,4,7,0.11642855405807495,0 17 27 21,17 0 27 21
A,8,hard_load,5,7,0.16011904180049896,0 23 29 14,0 14 29 23
A,8,hard_load,12,7,0.1797448992729187,9 16 13 2,15 27 13 2
A,8,hard_load,13,7,0.21730442345142365,24 5 29 23,29 5 27 30
A,8,hard_load,14,7,0.1774744987487793,5 2 23 14,23 5 1 21
A,8,hard_load,15,7,0.14981292188167572,25 5 26 15,25 5 15 16
A,9,load,2,6,0.007013133727014065,26 1 30 6,26 6 30 1
A,9,load,3,6,0.009062645956873894,4 13 25 0,13 4 31 26
A,9,load,4,6,0.008769133128225803,22 6 1 9,6 1 0 9
A,9,load,5,6,0.010624404065310955,17 23 11 25,17 11 3 23
A,9,load,12,6,0.01845957338809967,21 19 2 9,21 3 2 19
A,9,load,13,6,0.014353988692164421,31 9 27 25,27 11 9 31
A,9,load,14,6,0.017035651952028275,27 19 26 10,9 31 13 19
A,9,load,15,6,0.01558687537908554,14 18 5 11,18 5 14 11
A,9,hard_load,2,6,0.09432539343833923,1 26 29 6,26 1 6 8
A,9,hard_load,3,6,0.1371329426765442,4 13 31 2,4 13 31 28
A,9,hard_load,4,6,0.12793651223182678,22 6 1 11,22 6 1 17
A,9,hard_load,5,6,0.14692461490631104,17 23 11 26,26 11 17 3
A,9,hard_load,12,6,0.15671628713607788,21 10 2 9,21 3 2 9
A,9,hard_load,13,6,0.2058631032705307,25 31 27 9,11 31 27 25
A,9,hard_load,14,6,0.2075793594121933,27 26 19 11,27 11 13 9
A,9,hard_load,15,6,0.156765878200531,14 18 9 5,18 10 14 5
A,10,load,2,1,0.014831106178462505,28 16 1 3,28 6 1 16
A,10,load,3,1,0.016360880807042122,31 13 21 26,13 31 21 27
A,10,load,4,1,0.019452262669801712,29 11 6 7,29 6 11 7
A,10,load,5,1,0.018873339518904686,18 13 25 28,28 25 13 26
A,10,load,12,1,0.04273781552910805,22 24 18 29,15 18 22 24
A,10,load,13,1,0.03761669248342514,4 23 10 19,4 27 20 19
A,10,load,14,1,0.04603653401136398,9 21 18 31,9 10 3 18
A,10,load,15,1,0.037244606763124466,16 17 25 4,16 17 25 0
A,10,hard_load,2,1,0.22500000894069672,28 1 16 3,28 1 6 16
A,10,hard_load,3,1,0.25,31 13 21 22,13 31 21 27
A,10,hard_load,4,1,0.2750000059604645,11 7 29 6,11 29 7 6
A,10,hard_load,5,1,0.2750000059604645,13 25 18 28,28 25 13 1
A,10,hard_load,12,1,0.4625000059604645,22 24 18 2,18 15 22 29
A,10,hard_load,13,1,0.44999998807907104,4 23 27 19,4 27 20 10
A,10,hard_load,14,1,0.5,9 31 21 19,9 3 19 10
A,10,hard_load,15,1,0.4125000238418579,17 16 25 18,16 0 17 19
A,12,load,2,1,0.020211096853017807,26 30 10 1,26 12 30 6
A,12,load,3,1,0.025774560868740082,31 26 13 5,31 6 13 14
A,12,load,4,1,0.024502621963620186,11 1 28 31,1 11 22 12
A,12,load,5,1,0.029291657730937004,31 28 26 4,31 29 26 24
A,12,load,12,1,0.05049292743206024,9 1 6 18,26 6 3 9
A,12,load,13,1,0.04350447654724121,4 16 11 0,11 30 31 5
A,12,load,14,1,0.05780547857284546,21 10 16 14,16 14 13 5
A,12,load,15,1,0.04588187113404274,15 9 31 29,31 15 17 29
A,12,hard_load,2,1,0.4125000238418579,1 26 21 18,26 14 12 30
A,12,hard_load,3,1,0.42500001192092896,31 26 13 14,31 13 6 25
A,12,hard_load,4,1,0.5375000238418579,11 28 17 31,1 23 2 22
A,12,hard_load,5,1,0.3125,31 28 17 29,31 29 24 26
A,12,hard_load,12,1,0.45000001788139343,9 1 6 23,6 10 4 26
A,12,hard_load,13,1,0.4750000238418579,16 30 4 19,11 30 5 31
A,12,hard_load,14,1,0.5375000238418579,21 19 3 10,16 14 21 13
A,12,hard_load,15,1,0.4375,5 15 31 25,31 16 17 24
