group,start_query,end_query,episodes,mobility_decreased,flow_acceleration_increased,both
failure_detected,8,12,18,17,17,16
failure_missed,8,12,6,1,6,1
success_alarm,8,12,2,2,1,1
success_no_alarm,8,12,16,7,9,3
