cohort,query,layer,failure,expert,n,selected,probability_mean
B,6,16,False,2,376,0,0.272705078125
B,6,16,True,0,24,24,0.380859375
B,6,16,True,1,24,0,0.346435546875
B,6,16,True,2,24,0,0.272705078125
B,6,17,False,0,376,0,0.24478083848953247
B,6,17,False,1,376,376,0.4448785185813904
B,6,17,False,2,376,0,0.31034064292907715
B,6,17,True,0,24,0,0.24478085339069366
B,6,17,True,1,24,24,0.444878488779068
B,6,17,True,2,24,0,0.31034061312675476
B,8,0,False,0,376,0,0.2283656746149063
B,8,0,False,1,376,0,0.257536917924881
B,8,0,False,2,376,376,0.5140973329544067
B,8,0,True,0,24,0,0.2283656746149063
B,8,0,True,1,24,0,0.257536917924881
B,8,0,True,2,24,24,0.5140973925590515
B,8,1,False,0,376,376,0.33382174372673035
B,8,1,False,1,376,0,0.333089143037796
B,8,1,False,2,376,0,0.333089143037796
B,8,1,True,0,24,24,0.33382174372673035
B,8,1,True,1,24,0,0.333089143037796
B,8,1,True,2,24,0,0.333089143037796
B,8,16,False,0,376,376,0.380859375
B,8,16,False,1,376,0,0.346435546875
B,8,16,False,2,376,0,0.272705078125
B,8,16,True,0,24,24,0.380859375
B,8,16,True,1,24,0,0.346435546875
B,8,16,True,2,24,0,0.272705078125
B,8,17,False,0,376,0,0.24478083848953247
B,8,17,False,1,376,376,0.4448785185813904
B,8,17,False,2,376,0,0.31034064292907715
B,8,17,True,0,24,0,0.24478085339069366
B,8,17,True,1,24,24,0.444878488779068
B,8,17,True,2,24,0,0.31034061312675476
B,9,0,False,0,310,0,0.2283656746149063
B,9,0,False,1,310,0,0.257536917924881
B,9,0,False,2,310,310,0.5140973925590515
B,9,0,True,0,24,0,0.2283656746149063
B,9,0,True,1,24,0,0.257536917924881
B,9,0,True,2,24,24,0.5140973925590515
B,9,1,False,0,310,310,0.33382174372673035
B,9,1,False,1,310,0,0.333089143037796
B,9,1,False,2,310,0,0.333089143037796
B,9,1,True,0,24,24,0.33382174372673035
B,9,1,True,1,24,0,0.333089143037796
B,9,1,True,2,24,0,0.333089143037796
B,9,16,False,0,310,310,0.380859375
B,9,16,False,1,310,0,0.346435546875
B,9,16,False,2,310,0,0.272705078125
B,9,16,True,0,24,24,0.380859375
B,9,16,True,1,24,0,0.346435546875
B,9,16,True,2,24,0,0.272705078125
B,9,17,False,0,310,0,0.24478085339069366
B,9,17,False,1,310,310,0.4448785185813904
B,9,17,False,2,310,0,0.31034064292907715
B,9,17,True,0,24,0,0.24478085339069366
B,9,17,True,1,24,24,0.444878488779068
B,9,17,True,2,24,0,0.31034061312675476
B,10,0,False,0,43,0,0.2283657044172287
B,10,0,False,1,43,0,0.257536917924881
B,10,0,False,2,43,43,0.5140973925590515
B,10,0,True,0,24,0,0.2283656746149063
B,10,0,True,1,24,0,0.257536917924881
B,10,0,True,2,24,24,0.5140973925590515
B,10,1,False,0,43,43,0.33382171392440796
B,10,1,False,1,43,0,0.33308911323547363
B,10,1,False,2,43,0,0.33308911323547363
B,10,1,True,0,24,24,0.33382174372673035
B,10,1,True,1,24,0,0.333089143037796
B,10,1,True,2,24,0,0.333089143037796
B,10,16,False,0,43,43,0.380859375
B,10,16,False,1,43,0,0.346435546875
B,10,16,False,2,43,0,0.272705078125
B,10,16,True,0,24,24,0.380859375
B,10,16,True,1,24,0,0.346435546875
B,10,16,True,2,24,0,0.272705078125
B,10,17,False,0,43,0,0.24478082358837128
B,10,17,False,1,43,43,0.4448784589767456
B,10,17,False,2,43,0,0.31034064292907715
B,10,17,True,0,24,0,0.24478085339069366
B,10,17,True,1,24,24,0.444878488779068
B,10,17,True,2,24,0,0.31034061312675476
B,12,0,False,0,18,0,0.2283656895160675
B,12,0,False,1,18,0,0.257536917924881
B,12,0,False,2,18,18,0.5140973925590515
B,12,0,True,0,24,0,0.2283656746149063
B,12,0,True,1,24,0,0.257536917924881
B,12,0,True,2,24,24,0.5140973925590515
B,12,1,False,0,18,18,0.33382174372673035
B,12,1,False,1,18,0,0.3330891728401184
B,12,1,False,2,18,0,0.3330891728401184
B,12,1,True,0,24,24,0.33382174372673035
B,12,1,True,1,24,0,0.333089143037796
B,12,1,True,2,24,0,0.333089143037796
B,12,16,False,0,18,18,0.380859375
B,12,16,False,1,18,0,0.346435546875
B,12,16,False,2,18,0,0.272705078125
B,12,16,True,0,24,24,0.380859375
B,12,16,True,1,24,0,0.346435546875
B,12,16,True,2,24,0,0.272705078125
B,12,17,False,0,18,0,0.24478085339069366
B,12,17,False,1,18,18,0.4448785185813904
B,12,17,False,2,18,0,0.3103405833244324
B,12,17,True,0,24,0,0.24478085339069366
B,12,17,True,1,24,24,0.444878488779068
B,12,17,True,2,24,0,0.31034061312675476
A,0,0,False,0,386,0,0.2283656895160675
A,0,0,False,1,386,0,0.257536917924881
A,0,0,False,2,386,386,0.5140973329544067
A,0,0,True,0,14,0,0.2283656746149063
A,0,0,True,1,14,0,0.257536917924881
A,0,0,True,2,14,14,0.5140973329544067
A,0,1,False,0,386,386,0.33382174372673035
A,0,1,False,1,386,0,0.33308911323547363
A,0,1,False,2,386,0,0.33308911323547363
A,0,1,True,0,14,14,0.33382174372673035
A,0,1,True,1,14,0,0.333089143037796
A,0,1,True,2,14,0,0.333089143037796
A,0,16,False,0,386,386,0.380859375
A,0,16,False,1,386,0,0.346435546875
A,0,16,False,2,386,0,0.272705078125
A,0,16,True,0,14,14,0.380859375
A,0,16,True,1,14,0,0.346435546875
A,0,16,True,2,14,0,0.272705078125
A,0,17,False,0,386,0,0.24478083848953247
A,0,17,False,1,386,386,0.44487854838371277
A,0,17,False,2,386,0,0.31034061312675476
A,0,17,True,0,14,0,0.24478082358837128
A,0,17,True,1,14,14,0.44487854838371277
A,0,17,True,2,14,0,0.31034061312675476
A,4,0,False,0,386,0,0.2283656895160675
A,4,0,False,1,386,0,0.257536917924881
A,4,0,False,2,386,386,0.5140973329544067
A,4,0,True,0,14,0,0.2283656746149063
A,4,0,True,1,14,0,0.257536917924881
A,4,0,True,2,14,14,0.5140973329544067
A,4,1,False,0,386,386,0.33382174372673035
A,4,1,False,1,386,0,0.33308911323547363
A,4,1,False,2,386,0,0.33308911323547363
A,4,1,True,0,14,14,0.33382174372673035
A,4,1,True,1,14,0,0.333089143037796
A,4,1,True,2,14,0,0.333089143037796
A,4,16,False,0,386,386,0.380859375
A,4,16,False,1,386,0,0.346435546875
A,4,16,False,2,386,0,0.272705078125
A,4,16,True,0,14,14,0.380859375
A,4,16,True,1,14,0,0.346435546875
A,4,16,True,2,14,0,0.272705078125
A,4,17,False,0,386,0,0.24478083848953247
A,4,17,False,1,386,386,0.44487854838371277
A,4,17,False,2,386,0,0.31034061312675476
A,4,17,True,0,14,0,0.24478082358837128
A,4,17,True,1,14,14,0.44487854838371277
A,4,17,True,2,14,0,0.31034061312675476
A,6,0,False,0,386,0,0.2283656895160675
A,6,0,False,1,386,0,0.257536917924881
A,6,0,False,2,386,386,0.5140973329544067
A,6,0,True,0,14,0,0.2283656746149063
A,6,0,True,1,14,0,0.257536917924881
A,6,0,True,2,14,14,0.5140973329544067
A,6,1,False,0,386,386,0.33382174372673035
A,6,1,False,1,386,0,0.33308911323547363
A,6,1,False,2,386,0,0.33308911323547363
A,6,1,True,0,14,14,0.33382174372673035
A,6,1,True,1,14,0,0.333089143037796
A,6,1,True,2,14,0,0.333089143037796
A,6,16,False,0,386,386,0.380859375
A,6,16,False,1,386,0,0.346435546875
A,6,16,False,2,386,0,0.272705078125
A,6,16,True,0,14,14,0.380859375
A,6,16,True,1,14,0,0.346435546875
A,6,16,True,2,14,0,0.272705078125
A,6,17,False,0,386,0,0.24478083848953247
A,6,17,False,1,386,386,0.44487854838371277
A,6,17,False,2,386,0,0.31034061312675476
A,6,17,True,0,14,0,0.24478082358837128
A,6,17,True,1,14,14,0.44487854838371277
A,6,17,True,2,14,0,0.31034061312675476
A,8,0,False,0,385,0,0.2283656895160675
A,8,0,False,1,385,0,0.257536917924881
A,8,0,False,2,385,385,0.5140973329544067
A,8,0,True,0,14,0,0.2283656746149063
A,8,0,True,1,14,0,0.257536917924881
A,8,0,True,2,14,14,0.5140973329544067
A,8,1,False,0,385,385,0.33382171392440796
A,8,1,False,1,385,0,0.333089143037796
A,8,1,False,2,385,0,0.333089143037796
A,8,1,True,0,14,14,0.33382174372673035
A,8,1,True,1,14,0,0.333089143037796
A,8,1,True,2,14,0,0.333089143037796
A,8,16,False,0,385,385,0.380859375
A,8,16,False,1,385,0,0.346435546875
A,8,16,False,2,385,0,0.272705078125
A,8,16,True,0,14,14,0.380859375
A,8,16,True,1,14,0,0.346435546875
A,8,16,True,2,14,0,0.272705078125
A,8,17,False,0,385,0,0.24478083848953247
A,8,17,False,1,385,385,0.4448785185813904
A,8,17,False,2,385,0,0.31034061312675476
A,8,17,True,0,14,0,0.24478082358837128
A,8,17,True,1,14,14,0.44487854838371277
A,8,17,True,2,14,0,0.31034061312675476
A,9,0,False,0,314,0,0.2283656895160675
A,9,0,False,1,314,0,0.257536917924881
A,9,0,False,2,314,314,0.5140973925590515
A,9,0,True,0,14,0,0.2283656746149063
A,9,0,True,1,14,0,0.257536917924881
A,9,0,True,2,14,14,0.5140973329544067
A,9,1,False,0,314,314,0.33382174372673035
A,9,1,False,1,314,0,0.333089143037796
A,9,1,False,2,314,0,0.333089143037796
A,9,1,True,0,14,14,0.33382174372673035
A,9,1,True,1,14,0,0.333089143037796
A,9,1,True,2,14,0,0.333089143037796
A,9,16,False,0,314,314,0.380859375
A,9,16,False,1,314,0,0.346435546875
A,9,16,False,2,314,0,0.272705078125
A,9,16,True,0,14,14,0.380859375
A,9,16,True,1,14,0,0.346435546875
A,9,16,True,2,14,0,0.272705078125
A,9,17,False,0,314,0,0.24478086829185486
A,9,17,False,1,314,314,0.44487854838371277
A,9,17,False,2,314,0,0.31034064292907715
A,9,17,True,0,14,0,0.24478082358837128
A,9,17,True,1,14,14,0.44487854838371277
A,9,17,True,2,14,0,0.31034061312675476
A,10,0,False,0,37,0,0.2283656895160675
A,10,0,False,1,37,0,0.257536917924881
A,10,0,False,2,37,37,0.5140973925590515
A,10,0,True,0,14,0,0.2283656746149063
A,10,0,True,1,14,0,0.257536917924881
A,10,0,True,2,14,14,0.5140973329544067
A,10,1,False,0,37,37,0.33382168412208557
A,10,1,False,1,37,0,0.33308911323547363
A,10,1,False,2,37,0,0.33308911323547363
A,10,1,True,0,14,14,0.33382174372673035
A,10,1,True,1,14,0,0.333089143037796
A,10,1,True,2,14,0,0.333089143037796
A,10,16,False,0,37,37,0.380859375
A,10,16,False,1,37,0,0.346435546875
A,10,16,False,2,37,0,0.272705078125
A,10,16,True,0,14,14,0.380859375
A,10,16,True,1,14,0,0.346435546875
A,10,16,True,2,14,0,0.272705078125
A,10,17,False,0,37,0,0.24478082358837128
A,10,17,False,1,37,37,0.444878488779068
A,10,17,False,2,37,0,0.31034064292907715
A,10,17,True,0,14,0,0.24478082358837128
A,10,17,True,1,14,14,0.44487854838371277
A,10,17,True,2,14,0,0.31034061312675476
A,12,0,False,0,10,0,0.2283656895160675
A,12,0,False,1,10,0,0.257536917924881
A,12,0,False,2,10,10,0.5140973329544067
A,12,0,True,0,14,0,0.2283656746149063
A,12,0,True,1,14,0,0.257536917924881
A,12,0,True,2,14,14,0.5140973329544067
A,12,1,False,0,10,10,0.33382174372673035
A,12,1,False,1,10,0,0.333089143037796
A,12,1,False,2,10,0,0.333089143037796
A,12,1,True,0,14,14,0.33382174372673035
A,12,1,True,1,14,0,0.333089143037796
A,12,1,True,2,14,0,0.333089143037796
A,12,16,False,0,10,10,0.380859375
A,12,16,False,1,10,0,0.346435546875
A,12,16,False,2,10,0,0.272705078125
A,12,16,True,0,14,14,0.380859375
A,12,16,True,1,14,0,0.346435546875
A,12,16,True,2,14,0,0.272705078125
A,12,17,False,0,10,0,0.24478085339069366
A,12,17,False,1,10,10,0.4448785185813904
A,12,17,False,2,10,0,0.31034061312675476
A,12,17,True,0,14,0,0.24478082358837128
A,12,17,True,1,14,14,0.44487854838371277
A,12,17,True,2,14,0,0.31034061312675476
