cohort,query,layer,failure,expert,n,selected,probability_mean
B,0,0,False,0,376,0,0.2283656746149063
B,0,0,False,1,376,0,0.257536917924881
B,0,0,False,2,376,376,0.5140973329544067
B,0,0,True,0,24,0,0.2283656746149063
B,0,0,True,1,24,0,0.257536917924881
B,0,0,True,2,24,24,0.5140973925590515
B,0,1,False,0,376,376,0.33382174372673035
B,0,1,False,1,376,0,0.333089143037796
B,0,1,False,2,376,0,0.333089143037796
B,0,1,True,0,24,24,0.33382174372673035
B,0,1,True,1,24,0,0.333089143037796
B,0,1,True,2,24,0,0.333089143037796
B,0,16,False,0,376,376,0.380859375
B,0,16,False,1,376,0,0.346435546875
B,0,16,False,2,376,0,0.272705078125
B,0,16,True,0,24,24,0.380859375
B,0,16,True,1,24,0,0.346435546875
B,0,16,True,2,24,0,0.272705078125
B,0,17,False,0,376,0,0.24478083848953247
B,0,17,False,1,376,376,0.4448785185813904
B,0,17,False,2,376,0,0.31034064292907715
B,0,17,True,0,24,0,0.24478085339069366
B,0,17,True,1,24,24,0.444878488779068
B,0,17,True,2,24,0,0.31034061312675476
B,4,0,False,0,376,0,0.2283656746149063
B,4,0,False,1,376,0,0.257536917924881
B,4,0,False,2,376,376,0.5140973329544067
B,4,0,True,0,24,0,0.2283656746149063
B,4,0,True,1,24,0,0.257536917924881
B,4,0,True,2,24,24,0.5140973925590515
B,4,1,False,0,376,376,0.33382174372673035
B,4,1,False,1,376,0,0.333089143037796
B,4,1,False,2,376,0,0.333089143037796
B,4,1,True,0,24,24,0.33382174372673035
B,4,1,True,1,24,0,0.333089143037796
B,4,1,True,2,24,0,0.333089143037796
B,4,16,False,0,376,376,0.380859375
B,4,16,False,1,376,0,0.346435546875
B,4,16,False,2,376,0,0.272705078125
B,4,16,True,0,24,24,0.380859375
B,4,16,True,1,24,0,0.346435546875
B,4,16,True,2,24,0,0.272705078125
B,4,17,False,0,376,0,0.24478083848953247
B,4,17,False,1,376,376,0.4448785185813904
B,4,17,False,2,376,0,0.31034064292907715
B,4,17,True,0,24,0,0.24478085339069366
B,4,17,True,1,24,24,0.444878488779068
B,4,17,True,2,24,0,0.31034061312675476
B,6,0,False,0,376,0,0.2283656746149063
B,6,0,False,1,376,0,0.257536917924881
B,6,0,False,2,376,376,0.5140973329544067
B,6,0,True,0,24,0,0.2283656746149063
B,6,0,True,1,24,0,0.257536917924881
B,6,0,True,2,24,24,0.5140973925590515
B,6,1,False,0,376,376,0.33382174372673035
B,6,1,False,1,376,0,0.333089143037796
B,6,1,False,2,376,0,0.333089143037796
B,6,1,True,0,24,24,0.33382174372673035
B,6,1,True,1,24,0,0.333089143037796
B,6,1,True,2,24,0,0.333089143037796
B,6,16,False,0,376,376,0.380859375
B,6,16,False,1,376,0,0.346435546875
