cohort,kind,query,metric,region,success_n,success_mean,success_median,success_p25,success_p75,failure_n,failure_mean,failure_median,failure_p25,failure_p75,auc_high_failure,paired_states,paired_success_mean,paired_failure_mean,paired_delta,paired_delta_ci_low,paired_delta_ci_high,paired_auc,positive_delta_states
B,query,0,front_entropy,aggregate,376,0.9957170486450195,0.9957075119018555,0.9955224990844727,0.9959179759025574,24,0.9957796931266785,0.9957386255264282,0.9956581592559814,0.995905876159668,0.5641622340425532,11,0.9957211288538846,0.9957662766629999,4.5147809115323156e-05,2.9608607292175296e-06,8.540288968519728e-05,0.6268398268398269,7
B,query,1,front_entropy,aggregate,376,0.9973080158233643,0.9973312020301819,0.9972358345985413,0.9974209070205688,24,0.9974102973937988,0.9974077939987183,0.9973136186599731,0.9975149631500244,0.6827349290780141,11,0.9973610260269858,0.9973861520940607,2.5126067074862394e-05,-2.8676878322254528e-05,7.140555165030737e-05,0.6478896103896103,8
B,query,2,front_entropy,aggregate,376,0.9971831440925598,0.9972347021102905,0.9971193671226501,0.9973348379135132,24,0.9970263838768005,0.9971799254417419,0.9969125390052795,0.9972751140594482,0.3704011524822695,11,0.9971549402583729,0.9971604401415045,5.499883131547407e-06,-4.7344782135703343e-05,5.55083155632019e-05,0.531547619047619,6
B,query,3,front_entropy,aggregate,376,0.9969800710678101,0.9970106482505798,0.9968549609184265,0.9971794486045837,24,0.9968277812004089,0.9968535900115967,0.9964863061904907,0.9970372915267944,0.35859929078014185,11,0.996906730261716,0.9968751885674216,-3.154169429432262e-05,-7.811175151304766e-05,2.1009147167205775e-05,0.37186147186147184,2
B,query,4,front_entropy,aggregate,376,0.9961427450180054,0.9962681531906128,0.9954711198806763,0.996732234954834,24,0.9960973858833313,0.996141791343689,0.9953131079673767,0.9968862533569336,0.48648049645390073,11,0.9960615038871765,0.9958646405826915,-0.00019686330448497426,-0.00039976469495079736,-4.575333812020267e-06,0.34523809523809523,2
B,query,5,front_entropy,aggregate,376,0.9963060617446899,0.9962226152420044,0.9958609342575073,0.9967506527900696,24,0.9962623715400696,0.996202826499939,0.9958537220954895,0.9968249201774597,0.481604609929078,11,0.9963374842296947,0.9963258450681513,-1.1639161543412643e-05,-0.0002701197158206593,0.0001944887367161834,0.5627164502164502,7
B,query,6,front_entropy,aggregate,376,0.9971157908439636,0.9971287250518799,0.9969569444656372,0.9972805976867676,24,0.9969260692596436,0.9970231652259827,0.996845543384552,0.9971481561660767,0.3540558510638298,11,0.9970604831522162,0.9970025366002863,-5.7946551929820665e-05,-0.00011104927821592851,-8.57859849929818e-06,0.3188852813852814,3
B,query,7,front_entropy,aggregate,376,0.9971610307693481,0.9972115755081177,0.9970702528953552,0.9973413944244385,24,0.9969205260276794,0.9970506429672241,0.9969358444213867,0.9971306324005127,0.25132978723404253,11,0.9970659613609314,0.9968146627599542,-0.00025129860097711736,-0.0006237876686182889,-1.6975402832031254e-05,0.2949134199134199,3
B,query,8,front_entropy,aggregate,376,0.9968216419219971,0.9968816041946411,0.9966633319854736,0.9970471262931824,24,0.9967710971832275,0.9969372153282166,0.9967860579490662,0.9970941543579102,0.5566821808510638,11,0.9968032511797819,0.9965979565273632,-0.0002052946524186568,-0.0006970745596018705,0.00020478421991521645,0.5791125541125541,7
B,query,9,front_entropy,aggregate,310,0.9953131675720215,0.9953619837760925,0.9943555593490601,0.9964364767074585,24,0.9951019883155823,0.9953981637954712,0.9942893385887146,0.9957163333892822,0.4467741935483871,11,0.9948901479894464,0.9950159354643389,0.00012578747489235619,-0.0003040198575366627,0.0007046452977440573,0.5516774891774892,4
