run_id,suite,task,episodes,failures,successes,tp,fp,recall,fpr,precision,recall_ci_low,recall_ci_high,fpr_ci_low,fpr_ci_high,first_query_median,phase_median,lead_median,recall_by_half,recall_by_065,recall_lead3
right-16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,512,0,512,0,0,,0.0,,,,0.0,0.007446975722882332,,,,,,
right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,512,42,470,0,0,0.0,0.0,,0.0,0.08379879086569969,0.0,0.008107055111333255,,,,0.0,0.0,0.0
right-16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,512,216,296,2,0,0.009259259259259259,0.0,1.0,0.0025429063349524453,0.03312579265730419,0.0,0.01281163330715756,44.0,0.8653846153846154,7.0,0.0,0.0,0.009259259259259259
right-16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
right-16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,512,37,475,0,0,0.0,0.0,,0.0,0.09405782583719778,0.0,0.008022402300241047,,,,0.0,0.0,0.0
right-50x8-20260903,libero_goal,open_the_middle_drawer_of_the_cabinet,400,0,400,0,0,,0.0,,,,0.0,0.009512294334295988,,,,,,
right-50x8-20260903,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,400,52,348,0,0,0.0,0.0,,0.0,0.06879223612385879,0.0,0.010918152833863744,,,,0.0,0.0,0.0
right-50x8-20260903,libero_goal,push_the_plate_to_the_front_of_the_stove,400,2,398,0,0,0.0,0.0,,0.0,0.6576197724933345,0.0,0.00955963785311663,,,,0.0,0.0,0.0
right-50x8-20260903,libero_goal,put_the_bowl_on_the_plate,400,12,388,0,0,0.0,0.0,,0.0,0.24249400665523077,8.673617379884035e-19,0.009803604836137972,,,,0.0,0.0,0.0
right-50x8-20260903,libero_goal,put_the_bowl_on_the_stove,400,6,394,0,0,0.0,0.0,,0.0,0.39033428790215224,8.673617379884035e-19,0.009655752902377246,,,,0.0,0.0,0.0
right-50x8-20260903,libero_goal,put_the_bowl_on_top_of_the_cabinet,400,15,385,9,0,0.6,0.0,1.0,0.35746830120625167,0.8017550385865801,0.0,0.009879241869795889,20.0,0.7,9.0,0.0,0.13333333333333333,0.6
right-50x8-20260903,libero_goal,put_the_cream_cheese_in_the_bowl,400,10,390,0,0,0.0,0.0,,2.7755575615628914e-17,0.27753279986287815,0.0,0.009753820311849983,,,,0.0,0.0,0.0
right-50x8-20260903,libero_goal,put_the_wine_bottle_on_the_rack,400,3,397,0,0,0.0,0.0,,0.0,0.561497031755032,0.0,0.009583486778028845,,,,0.0,0.0,0.0
right-50x8-20260903,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet,400,2,398,0,0,0.0,0.0,,0.0,0.6576197724933345,0.0,0.00955963785311663,,,,0.0,0.0,0.0
right-50x8-20260903,libero_goal,turn_on_the_stove,400,0,400,0,0,,0.0,,,,0.0,0.009512294334295988,,,,,,
right-50x8-20260903,libero_long,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,6,394,0,0,0.0,0.0,,0.0,0.39033428790215224,8.673617379884035e-19,0.009655752902377246,,,,0.0,0.0,0.0
right-50x8-20260903,libero_long,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,4,396,0,0,0.0,0.0,,0.0,0.48989083645458353,0.0,0.009607454994847317,,,,0.0,0.0,0.0
right-50x8-20260903,libero_long,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,6,394,0,0,0.0,0.0,,0.0,0.39033428790215224,8.673617379884035e-19,0.009655752902377246,,,,0.0,0.0,0.0
right-50x8-20260903,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,138,262,0,0,0.0,0.0,,0.0,0.027082764465571507,0.0,0.01445018710676321,,,,0.0,0.0,0.0
right-50x8-20260903,libero_long,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,26,374,0,0,0.0,0.0,,0.0,0.12872892185920912,0.0,0.010166853665777562,,,,0.0,0.0,0.0
right-50x8-20260903,libero_long,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,13,387,0,0,0.0,0.0,,0.0,0.22809537235418867,0.0,0.009828688164978571,,,,0.0,0.0,0.0
right-50x8-20260903,libero_long,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,6,394,0,0,0.0,0.0,,0.0,0.39033428790215224,8.673617379884035e-19,0.009655752902377246,,,,0.0,0.0,0.0
