run_id,suite,moe_tp,moe_fp,moe_first_median,retrospective_clock_tp,retrospective_clock_q,retrospective_clock_fp,moe_before_clock
right-16x32,libero_goal,0,0,,42,21,0,0
right-16x32,libero_long,2,0,44.0,0,-1,0,0
right-16x32,libero_spatial,0,0,,0,-1,0,0
right-50x8-20260903,libero_goal,9,0,20.0,102,27,0,9
right-50x8-20260903,libero_long,0,0,,0,-1,0,0
right-50x8-20260903,libero_object,1,0,26.0,37,27,0,1
right-50x8-20260903,libero_spatial,0,0,,126,17,0,0
right-50x8b-20260903,libero_goal,12,0,23.0,0,-1,0,0
right-50x8b-20260903,libero_long,1,0,42.0,274,51,0,1
right-50x8b-20260903,libero_object,0,0,,0,-1,0,0
right-50x8b-20260903,libero_spatial,0,0,,0,-1,0,0
