rule,cluster_axis,clusters,bootstrap_repeats,metric,lower,upper
freeze_back_quarter,task,40,2000,recall,0.0,0.07331119058763287
freeze_back_quarter,task,40,2000,fpr,0.0,0.0
freeze_back_quarter,task,40,2000,precision,1.0,1.0
freeze_back_quarter,task,40,2000,recall_by_065,0.0,0.006874642038946153
freeze_back_quarter,task,40,2000,recall_by_half,0.0,0.0
freeze_back_quarter,task_init,2000,2000,recall,0.005114023870417732,0.035269632702935816
freeze_back_quarter,task_init,2000,2000,fpr,0.0,0.0
freeze_back_quarter,task_init,2000,2000,precision,1.0,1.0
freeze_back_quarter,task_init,2000,2000,recall_by_065,0.0,0.0047359708440271675
freeze_back_quarter,task_init,2000,2000,recall_by_half,0.0,0.0
freeze_back_quarter,run_seed,48,2000,recall,0.011348440947267753,0.02375470526127622
freeze_back_quarter,run_seed,48,2000,fpr,0.0,0.0
freeze_back_quarter,run_seed,48,2000,precision,1.0,1.0
freeze_back_quarter,run_seed,48,2000,recall_by_065,0.0,0.003682088919563716
freeze_back_quarter,run_seed,48,2000,recall_by_half,0.0,0.0
freeze_back_half,task,40,2000,recall,0.5389795224516097,0.7276102651145744
freeze_back_half,task,40,2000,fpr,0.00925145929679296,0.04097025495750708
freeze_back_half,task,40,2000,precision,0.2706799249560589,0.776431926903625
freeze_back_half,task,40,2000,recall_by_065,0.11549465240641711,0.3638558813864929
freeze_back_half,task,40,2000,recall_by_half,0.016633371593561323,0.19452161130527576
freeze_back_half,task_init,2000,2000,recall,0.6120843225847468,0.7224152430465615
freeze_back_half,task_init,2000,2000,fpr,0.019476999980703333,0.02787982025607745
freeze_back_half,task_init,2000,2000,precision,0.47201269913188393,0.611740340985414
freeze_back_half,task_init,2000,2000,recall_by_065,0.19998338870431895,0.34010138170473386
freeze_back_half,task_init,2000,2000,recall_by_half,0.03568282899529593,0.11401106732413806
freeze_back_half,run_seed,48,2000,recall,0.6426244361404917,0.7067407215092847
freeze_back_half,run_seed,48,2000,fpr,0.022196139320784267,0.02465677193539502
freeze_back_half,run_seed,48,2000,precision,0.5145764500583927,0.5925038908188786
freeze_back_half,run_seed,48,2000,recall_by_065,0.24423161352596837,0.2912735322568643
freeze_back_half,run_seed,48,2000,recall_by_half,0.0571169635108254,0.08247453491166556
freeze_all_half,task,40,2000,recall,0.17296062367182177,0.5131932886623556
freeze_all_half,task,40,2000,fpr,0.0015715064179851487,0.007907870784948796
freeze_all_half,task,40,2000,precision,0.5499557877813506,0.8988925326595343
freeze_all_half,task,40,2000,recall_by_065,0.027280969447967027,0.1995422535211267
freeze_all_half,task,40,2000,recall_by_half,0.0031146629302748847,0.11921935160942546
freeze_all_half,task_init,2000,2000,recall,0.23742739792265977,0.3691720800421427
freeze_all_half,task_init,2000,2000,fpr,0.0028693607006307405,0.006104125393275287
freeze_all_half,task_init,2000,2000,precision,0.6553010951480426,0.8244810537439613
freeze_all_half,task_init,2000,2000,recall_by_065,0.048041366145186566,0.12121353459972863
freeze_all_half,task_init,2000,2000,recall_by_half,0.014177873037678234,0.07196093670188375
freeze_all_half,run_seed,48,2000,recall,0.27996972114443197,0.3204998067974302
freeze_all_half,run_seed,48,2000,fpr,0.003525978864116599,0.0052303258653691375
freeze_all_half,run_seed,48,2000,precision,0.7023964507443056,0.7947094370860927
freeze_all_half,run_seed,48,2000,recall_by_065,0.06299102801392854,0.09382867744871526
freeze_all_half,run_seed,48,2000,recall_by_half,0.028664806110458286,0.04911386187248255
freeze_back_half_k4,task,40,2000,recall,0.37721518987341773,0.595491258284982
freeze_back_half_k4,task,40,2000,fpr,0.0004398134953727418,0.0036349392376005944
freeze_back_half_k4,task,40,2000,precision,0.8847031926711855,0.96287175122693
freeze_back_half_k4,task,40,2000,recall_by_065,0.07046861636361142,0.22479649503113344
freeze_back_half_k4,task,40,2000,recall_by_half,0.0045556691274199245,0.10721002836722071
freeze_back_half_k4,task_init,2000,2000,recall,0.44973853550273957,0.5805421326458063
freeze_back_half_k4,task_init,2000,2000,fpr,0.0010116036330882147,0.002550345057941181
freeze_back_half_k4,task_init,2000,2000,precision,0.8948984764848753,0.9535180086787094
freeze_back_half_k4,task_init,2000,2000,recall_by_065,0.07850586141150535,0.19236838746198415
freeze_back_half_k4,task_init,2000,2000,recall_by_half,0.0102145303243869,0.07063569329756379
freeze_back_half_k4,run_seed,48,2000,recall,0.48946887847708637,0.5549516988086735
freeze_back_half_k4,run_seed,48,2000,fpr,0.0013541597383127644,0.0022023809850941997
freeze_back_half_k4,run_seed,48,2000,precision,0.9141629285381871,0.9425994090989871
freeze_back_half_k4,run_seed,48,2000,recall_by_065,0.1153605415963379,0.14305300186847877
freeze_back_half_k4,run_seed,48,2000,recall_by_half,0.02748007794221381,0.04250874606779613
