reason,episodes,failures,successes,tp,fp,recall,fpr,precision,recall_ci_low,recall_ci_high,fpr_ci_low,fpr_ci_high,first_query_median,phase_median,lead_median,recall_by_half,recall_by_065,recall_lead3
approached_target_without_observed_contact,32,32,0,0,0,0.0,,,0.0,0.10717919825506533,,,,,,0.0,0.0,0.0
goal_predicate_regressed,65,65,0,0,0,0.0,,,0.0,0.05580153132285397,,,,,,0.0,0.0,0.0
mechanism_threshold_not_reached,7,7,0,0,0,0.0,,,0.0,0.35433043506667483,,,,,,0.0,0.0,0.0
no_meaningful_target_progress,4,4,0,0,0,0.0,,,0.0,0.48989083645458353,,,,,,0.0,0.0,0.0
object_moved_but_goal_unmet,200,200,0,1,0,0.005,,1.0,0.0008831687156010126,0.02777370439789189,,,25.0,0.8666666666666667,4.0,0.0,0.0,0.005
object_released_or_dropped_before_goal,548,548,0,20,0,0.0364963503649635,,1.0,0.02374803932581062,0.055697711115601976,,,23.0,0.8,6.0,0.0,0.0036496350364963502,0.03467153284671533
object_released_outside_goal,48,48,0,1,0,0.020833333333333332,,1.0,0.003687110977510795,0.10899217995251484,,,26.0,0.9642857142857143,1.0,0.0,0.0,0.0
stable_grasp_not_observed,442,442,0,3,0,0.006787330316742082,,1.0,0.0023109350269835335,0.019762962826136266,,,42.0,0.8269230769230769,9.0,0.0,0.0,0.006787330316742082
timeout_while_holding_target,57,57,0,0,0,0.0,,,0.0,0.06313883485297568,,,,,,0.0,0.0,0.0
