rule,regime,run_id,episodes,failures,successes,tp,fp,recall,fpr,precision,recall_ci_low,recall_ci_high,fpr_ci_low,fpr_ci_high,first_query_median,phase_median,lead_median,recall_by_half,recall_by_065,recall_lead3
freeze_back_quarter,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_back_quarter,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_back_quarter,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_back_quarter,libero_natural,right-16x32,2560,307,2253,2,0,0.006514657980456026,0.0,1.0,0.001788375989841039,0.0234381779275281,0.0,0.0017021394239634612,44.0,0.8653846153846154,7.0,0.0,0.0,0.006514657980456026
freeze_back_quarter,libero_natural,right-50x8-20260903,16000,532,15468,10,0,0.018796992481203006,0.0,1.0,0.010241588289119734,0.034251905874555774,0.0,0.00024828711119605283,21.5,0.75,7.5,0.0,0.0037593984962406013,0.016917293233082706
freeze_back_quarter,libero_natural,right-50x8b-20260903,16000,564,15436,13,0,0.02304964539007092,0.0,1.0,0.01351895318967257,0.03903349495786026,2.710505431213761e-20,0.00024880170116638796,23.0,0.8,6.0,0.0,0.0,0.02127659574468085
freeze_back_quarter,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_back_quarter,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_back_quarter,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_back_quarter,libero_natural,all,34560,1403,33157,25,0,0.01781895937277263,0.0,1.0,0.012098383212942761,0.02617277981194231,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.01639344262295082
freeze_back_half,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_back_half,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_back_half,duplicate_pin_base,pin-base,512,12,500,10,1,0.8333333333333334,0.002,0.9090909090909091,0.5519691377470349,0.9530348578161448,0.0003531363945592893,0.01124070670514633,17.0,0.8181818181818182,4.0,0.0,0.0,0.5
freeze_back_half,libero_natural,right-16x32,2560,307,2253,256,16,0.8338762214983714,0.007101642254771416,0.9411764705882353,0.7881691697372993,0.8713310165562299,0.0043760719693025415,0.011505175993690291,31.0,0.6730769230769231,17.0,0.006514657980456026,0.31596091205211724,0.752442996742671
freeze_back_half,libero_natural,right-50x8-20260903,16000,532,15468,350,385,0.6578947368421053,0.024890095681406776,0.47619047619047616,0.6165781177694397,0.6969474544581044,0.02255042077958736,0.02746569791451399,26.0,0.6730769230769231,13.0,0.09586466165413533,0.2800751879699248,0.5451127819548872
freeze_back_half,libero_natural,right-50x8b-20260903,16000,564,15436,334,382,0.5921985815602837,0.024747343871469294,0.4664804469273743,0.5511503903564354,0.6319993222693203,0.022412265519920597,0.027318909561675247,27.0,0.6730769230769231,15.0,0.08333333333333333,0.22695035460992907,0.5
freeze_back_half,pin_intervention,pin-off,512,19,493,16,0,0.8421052631578947,0.0,1.0,0.6243452472967159,0.9447952836146571,4.336808689942018e-19,0.0077317598048520855,17.0,0.8181818181818182,4.0,0.0,0.0,0.631578947368421
freeze_back_half,pin_intervention,pin-on,512,8,504,7,0,0.875,0.0,1.0,0.5291118177871563,0.9775825085499423,0.0,0.007564287542837727,18.0,0.8636363636363636,3.0,0.0,0.0,0.625
freeze_back_half,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_back_half,libero_natural,all,34560,1403,33157,940,783,0.6699928724162509,0.023614922942365113,0.5455600696459664,0.6449533455852444,0.6941040492685101,0.022034849722709325,0.025305368129426048,29.0,0.6730769230769231,16.0,0.07127583749109052,0.26657163221667857,0.5723449750534568
freeze_back_eighth,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_back_eighth,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_back_eighth,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_back_eighth,libero_natural,right-16x32,2560,307,2253,0,0,0.0,0.0,,8.673617379884035e-19,0.012358257599446618,0.0,0.0017021394239634612,,,,0.0,0.0,0.0
freeze_back_eighth,libero_natural,right-50x8-20260903,16000,532,15468,0,0,0.0,0.0,,4.336808689942018e-19,0.00716902127944408,0.0,0.00024828711119605283,,,,0.0,0.0,0.0
freeze_back_eighth,libero_natural,right-50x8b-20260903,16000,564,15436,0,0,0.0,0.0,,0.0,0.006765019991093893,2.710505431213761e-20,0.00024880170116638796,,,,0.0,0.0,0.0
