rule,suite,episodes,failures,successes,tp,fp,recall,fpr,precision,recall_ci_low,recall_ci_high,fpr_ci_low,fpr_ci_high,first_query_median,phase_median,lead_median,recall_by_half,recall_by_065,recall_lead3
freeze_back_quarter,libero_goal,9024,250,8774,21,0,0.084,0.0,1.0,0.055596038766645296,0.12499486641356392,0.0,0.00043763137426385175,23.0,0.8,6.0,0.0,0.008,0.08
freeze_back_quarter,libero_long,8512,757,7755,3,0,0.003963011889035667,0.0,1.0,0.0013486774619009215,0.011586289089406888,0.0,0.0004951072709865369,42.0,0.8269230769230769,9.0,0.0,0.0,0.003963011889035667
freeze_back_quarter,libero_object,8000,81,7919,1,0,0.012345679012345678,0.0,1.0,0.0021826500585388486,0.06666881598048105,0.0,0.0004848587265894515,26.0,0.9642857142857143,1.0,0.0,0.0,0.0
freeze_back_quarter,libero_spatial,9024,315,8709,0,0,0.0,0.0,,0.0,0.01204817853645007,0.0,0.00044089621495464065,,,,0.0,0.0,0.0
freeze_back_half,libero_goal,9024,250,8774,158,1,0.632,0.00011397310234784591,0.9937106918238994,0.5706422103010885,0.6893625986321142,2.011933448643066e-05,0.0006453584880622937,22.0,0.7666666666666667,7.0,0.14,0.156,0.488
freeze_back_half,libero_long,8512,757,7755,550,112,0.726552179656539,0.014442295293359123,0.8308157099697885,0.6937159579995124,0.7571006950935654,0.012017176043936127,0.017348220842949704,32.0,0.6346153846153846,19.0,0.0845442536327609,0.4227212681638045,0.714663143989432
freeze_back_half,libero_object,8000,81,7919,35,664,0.43209876543209874,0.0838489708296502,0.05007153075822604,0.32972077141341344,0.5406256352502475,0.0779444578565445,0.09015703271890074,19.0,0.7142857142857143,8.0,0.012345679012345678,0.16049382716049382,0.37037037037037035
freeze_back_half,libero_spatial,9024,315,8709,197,6,0.6253968253968254,0.0006889424733034792,0.9704433497536946,0.5707364480396692,0.6770355960734117,0.0003157855575848279,0.0015023880997191695,18.0,0.8636363636363636,3.0,0.0,0.006349206349206349,0.3492063492063492
freeze_all_half,libero_goal,9024,250,8774,76,0,0.304,0.0,1.0,0.25030254096872506,0.36362971243348885,0.0,0.00043763137426385175,23.0,0.8,6.0,0.088,0.136,0.224
freeze_all_half,libero_long,8512,757,7755,156,15,0.20607661822985468,0.0019342359767891683,0.9122807017543859,0.17878115470777764,0.23634009711024098,0.0011725603951314222,0.003189103520841627,34.0,0.6730769230769231,17.0,0.04491413474240423,0.09247027741083223,0.19947159841479525
freeze_all_half,libero_object,8000,81,7919,24,126,0.2962962962962963,0.015911099886349287,0.16,0.2079195704834616,0.4031196495075214,0.013380497580684027,0.018911131647344932,20.5,0.7678571428571428,6.5,0.0,0.07407407407407407,0.2345679012345679
freeze_all_half,libero_spatial,9024,315,8709,164,4,0.5206349206349207,0.00045929498220231943,0.9761904761904762,0.46555040377963464,0.5752222110744166,0.00017862488846371433,0.0011804562880571637,18.0,0.8636363636363636,3.0,0.0,0.006349206349206349,0.29523809523809524
freeze_back_half_k4,libero_goal,9024,250,8774,94,0,0.376,0.0,1.0,0.3182597813024295,0.43749327697244056,0.0,0.00043763137426385175,24.5,0.8500000000000001,4.5,0.012,0.128,0.272
freeze_back_half_k4,libero_long,8512,757,7755,476,51,0.6287978863936592,0.0065764023210831725,0.9032258064516129,0.5938123839221655,0.6624827978654443,0.005005681199006648,0.008635718664934034,34.0,0.6730769230769231,17.0,0.062087186261558784,0.19418758256274768,0.6103038309114928
freeze_back_half_k4,libero_object,8000,81,7919,26,1,0.32098765432098764,0.00012627857052658164,0.9629629629629629,0.2294222196903903,0.4287637615138068,2.229161626278789e-05,0.0007150017968460248,22.0,0.8214285714285714,5.0,0.0,0.037037037037037035,0.2839506172839506
freeze_back_half_k4,libero_spatial,9024,315,8709,130,4,0.4126984126984127,0.00045929498220231943,0.9701492537313433,0.35970095503384614,0.46779952058362917,0.00017862488846371433,0.0011804562880571637,20.0,0.9545454545454546,1.0,0.0,0.0,0.05714285714285714
