run_id,suite,query,matched_auc,ci_low,ci_high,mixed_init_strata,pairs,active,active_tasks
right-16x32,libero_goal,7,0.5444839857651246,0.36227544910179643,0.7713547581194637,7,562,1024,2
right-16x32,libero_goal,9,0.48398576512455516,0.3384486166007905,0.6340671797754428,7,562,1024,2
right-16x32,libero_goal,11,0.46619217081850534,0.31288235294117644,0.5886085192377524,7,562,1024,2
right-16x32,libero_goal,13,0.6067615658362989,0.4859586413725764,0.7300613496932515,7,562,524,2
right-16x32,libero_goal,15,0.33629893238434166,0.1804733727810651,0.4907161803713528,7,562,512,1
right-16x32,libero_goal,19,0.7777777777777778,0.7777777777777778,0.7777777777777778,1,27,118,1
right-16x32,libero_long,7,0.39641434262948205,0.29118829400164375,0.489876429913864,13,2008,512,1
right-16x32,libero_long,9,0.4721115537848606,0.41006892701090614,0.5291562916140887,13,2008,512,1
right-16x32,libero_long,11,0.48804780876494025,0.37625447888367825,0.5974516521583716,13,2008,512,1
right-16x32,libero_long,13,0.646414342629482,0.5762681846804664,0.7157554840808066,13,2008,512,1
right-16x32,libero_long,15,0.6399402390438247,0.5432830282038594,0.7353480742398288,13,2008,512,1
right-16x32,libero_long,19,0.5288844621513944,0.4308780802029827,0.6172916038859471,13,2008,512,1
right-16x32,libero_long,25,0.44721115537848605,0.35429753700146877,0.5646146928504159,13,2008,512,1
right-16x32,libero_long,31,0.7619521912350598,0.6621100082523933,0.854287160850758,13,2008,512,1
right-16x32,libero_spatial,7,0.702880658436214,0.5761640343819213,0.820495135846556,20,1215,1024,2
right-16x32,libero_spatial,9,0.3221476510067114,0.1740340169859353,0.5908761979586005,20,1043,803,2
right-16x32,libero_spatial,11,0.526071842410197,0.2951847290640394,0.706160617776669,15,863,543,2
right-16x32,libero_spatial,13,0.2459016393442623,0.0641025641025641,0.7407407407407407,7,61,109,2
right-16x32,libero_spatial,15,0.2857142857142857,0.0,1.0,4,7,54,2
right-16x32,libero_spatial,19,0.6666666666666666,0.0,1.0,2,3,51,2
right-50x8-20260903,libero_goal,7,0.4580498866213152,0.37235853167038835,0.5488998505231688,48,441,3879,10
right-50x8-20260903,libero_goal,9,0.4982078853046595,0.39996309963099635,0.599250936329588,35,279,2027,9
right-50x8-20260903,libero_goal,11,0.4645669291338583,0.35374742710120066,0.5726245978833511,31,254,1648,9
right-50x8-20260903,libero_goal,13,0.5129310344827587,0.4066194725602875,0.6230218715393133,28,232,810,9
right-50x8-20260903,libero_goal,15,0.3183856502242152,0.19918000412144524,0.45146431915627616,27,223,503,9
right-50x8-20260903,libero_goal,19,0.8571428571428571,0.5714285714285714,1.0,6,21,172,8
right-50x8-20260903,libero_goal,25,0.75,0.5,1.0,2,4,105,8
right-50x8-20260903,libero_long,7,0.581032412965186,0.5124166857900507,0.6459874518166161,84,833,4000,10
right-50x8-20260903,libero_long,9,0.5738295318127251,0.5006460349208925,0.6433830224359721,84,833,4000,10
right-50x8-20260903,libero_long,11,0.5426170468187275,0.47499850835322194,0.6137660253586801,84,833,4000,10
right-50x8-20260903,libero_long,13,0.5882352941176471,0.5228064623584276,0.6500593480150305,84,833,4000,10
right-50x8-20260903,libero_long,15,0.553421368547419,0.48469953193836424,0.6206176095446131,84,833,3978,10
right-50x8-20260903,libero_long,19,0.555956678700361,0.4827370958715399,0.6278562776461937,84,831,3699,10
right-50x8-20260903,libero_long,25,0.4786150712830957,0.39157631548768135,0.5670495030407551,65,491,1405,10
right-50x8-20260903,libero_long,31,0.799410029498525,0.7266440443213297,0.8668690448524285,43,339,585,10
right-50x8-20260903,libero_object,7,0.45569620253164556,0.33025478273238035,0.5825707028584426,29,237,4000,10
right-50x8-20260903,libero_object,9,0.3291139240506329,0.21982758620689655,0.44954128440366975,29,237,4000,10
right-50x8-20260903,libero_object,11,0.31645569620253167,0.19834623565923912,0.4335044638814942,29,237,3972,10
right-50x8-20260903,libero_object,13,0.4228187919463087,0.2424075924075924,0.6059138655462183,26,149,2097,10
right-50x8-20260903,libero_object,15,0.38461538461538464,0.18365909744179362,0.5757575757575758,20,65,502,10
right-50x8-20260903,libero_object,19,0.25,0.0,0.6666666666666666,5,8,62,9
right-50x8-20260903,libero_object,25,1.0,1.0,1.0,1,2,39,8
right-50x8-20260903,libero_spatial,7,0.5454545454545454,0.4706766366061782,0.6168363979962204,71,660,3984,10
right-50x8-20260903,libero_spatial,9,0.308,0.22700557069621696,0.38771488528710446,59,500,2977,10
right-50x8-20260903,libero_spatial,11,0.4672897196261682,0.36110651214128037,0.5696995596995597,42,321,1494,9
right-50x8-20260903,libero_spatial,13,0.4090909090909091,0.10526315789473684,0.7001470588235286,8,22,316,9
right-50x8-20260903,libero_spatial,15,0.75,0.75,0.75,1,4,129,9
right-50x8b-20260903,libero_goal,7,0.4140625,0.32741003154737947,0.4988475177304963,36,384,3877,10
right-50x8b-20260903,libero_goal,9,0.5172413793103449,0.4092970401691332,0.6244990573660112,22,203,2027,9
right-50x8b-20260903,libero_goal,11,0.47619047619047616,0.33990067291284326,0.612451767248032,18,189,1659,9
right-50x8b-20260903,libero_goal,13,0.5026455026455027,0.3575319233838787,0.65,18,189,835,9
right-50x8b-20260903,libero_goal,15,0.3370165745856354,0.20689080459770115,0.45763805358119186,18,181,519,9
right-50x8b-20260903,libero_goal,19,0.3684210526315789,0.0,0.6842105263157895,5,19,189,8
right-50x8b-20260903,libero_goal,25,0.75,0.75,0.75,2,8,108,8
right-50x8b-20260903,libero_long,7,0.5132211538461539,0.4476169405815424,0.5785572311823991,77,832,4000,10
right-50x8b-20260903,libero_long,9,0.515625,0.44978690021692924,0.580827106683271,77,832,4000,10
right-50x8b-20260903,libero_long,11,0.5661057692307693,0.5050723912880398,0.6247147775916618,77,832,4000,10
right-50x8b-20260903,libero_long,13,0.5444711538461539,0.4811311529851664,0.6087457925776755,77,832,4000,10
right-50x8b-20260903,libero_long,15,0.5276442307692307,0.47043482840956974,0.5860240036774993,77,832,3968,10
right-50x8b-20260903,libero_long,19,0.53309265944645,0.45939203054163685,0.6063998748435544,77,831,3695,10
right-50x8b-20260903,libero_long,25,0.5639097744360902,0.4736788399570354,0.651295870043391,60,532,1388,10
right-50x8b-20260903,libero_long,31,0.7761194029850746,0.7005420115149333,0.8473870355062816,42,402,587,10
right-50x8b-20260903,libero_object,7,0.4798387096774194,0.37846596446830705,0.580789197122615,28,248,4000,10
right-50x8b-20260903,libero_object,9,0.375,0.27195615712018467,0.48018479318038787,28,248,4000,10
right-50x8b-20260903,libero_object,11,0.4112903225806452,0.2843652911290617,0.5365877201243056,28,248,3976,10
right-50x8b-20260903,libero_object,13,0.6241610738255033,0.4365937959042599,0.7784975149491341,23,149,2135,10
right-50x8b-20260903,libero_object,15,0.41237113402061853,0.22935301987767584,0.6111458333333332,19,97,514,10
right-50x8b-20260903,libero_object,19,0.3333333333333333,0.09090909090909091,0.7,8,15,67,9
right-50x8b-20260903,libero_object,25,0.0,0.0,0.0,1,1,46,8
right-50x8b-20260903,libero_spatial,7,0.523117569352708,0.45143426257995345,0.5957143756747032,80,757,3986,10
right-50x8b-20260903,libero_spatial,9,0.3973509933774834,0.31147194252586613,0.4858155080580387,69,604,2975,10
right-50x8b-20260903,libero_spatial,11,0.49029126213592233,0.39050677456836763,0.5882420554428668,50,412,1500,10
right-50x8b-20260903,libero_spatial,13,0.5641025641025641,0.39281832298136643,0.7666666666666667,10,39,329,10
right-50x8b-20260903,libero_spatial,15,0.5,0.0,1.0,2,2,147,10
right-50x8b-20260903,libero_spatial,19,1.0,1.0,1.0,1,1,143,10
