rule,regime,run_id,suite,query,stratification,active,failures,pooled_auc,matched_auc,equal_stratum_auc,pairs,comparable_strata,positive_strata,alerts,tp,fpr_active,matched_expected_tp,matched_lift
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,7,task,193,30,0.4591002044989775,0.46017699115044247,0.4434343434343434,113,11,3,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,7,task_init,193,30,0.4591002044989775,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,9,task,119,30,0.5348314606741573,0.47619047619047616,0.5277777777777778,84,11,6,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,9,task_init,119,30,0.5348314606741573,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,11,task,70,30,0.5375,0.6,0.6298611111111111,50,8,5,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,11,task_init,70,30,0.5375,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,13,task,52,30,0.5151515151515151,0.4838709677419355,0.49999999999999994,31,8,3,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,13,task_init,52,30,0.5151515151515151,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,15,task,41,30,0.4575757575757576,0.5,0.4333333333333333,20,5,2,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,15,task_init,41,30,0.4575757575757576,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,19,task,37,30,0.5952380952380952,0.6428571428571429,0.55,14,5,3,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,19,task_init,37,30,0.5952380952380952,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,25,task,33,30,0.4888888888888889,0.3333333333333333,0.3333333333333333,3,1,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,25,task_init,33,30,0.4888888888888889,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,31,task,31,30,0.8333333333333334,0.3333333333333333,0.3333333333333333,3,1,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v1,calvin_d,31,task_init,31,30,0.8333333333333334,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v2-20260903,calvin_d,7,task,476,77,0.5488396315463985,0.5474060822898033,0.5839973415308237,559,16,10,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v2-20260903,calvin_d,7,task_init,476,77,0.5488396315463985,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v2-20260903,calvin_d,9,task,274,77,0.504713560551124,0.4954954954954955,0.5511529581529581,333,15,9,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v2-20260903,calvin_d,9,task_init,274,77,0.504713560551124,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v2-20260903,calvin_d,11,task,170,77,0.5925150118698506,0.5277777777777778,0.4777472527472527,216,13,5,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v2-20260903,calvin_d,11,task_init,170,77,0.5925150118698506,,,0,0,0,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v2-20260903,calvin_d,13,task,135,77,0.5685176892073444,0.5962732919254659,0.6317460317460318,161,12,9,0,0,0.0,0.0,
freeze_back_quarter,calvin_partial,routes-v2-20260903,calvin_d,13,task_init,135,77,0.5685176892073444,,,0,0,0,0,0,0.0,0.0,
