rule,run_id,suite,stratification,observed_failure_alarms,matched_expected_failure_alarms,conditional_variance_diagnostic,new_alarms,observed_precision,matched_survival_precision,observed_over_expected
freeze_back_quarter,right-16x32,libero_goal,task,0,0.0,0.0,0,,,
freeze_back_quarter,right-16x32,libero_goal,task_init,0,0.0,0.0,0,,,
freeze_back_quarter,right-16x32,libero_long,task,2,1.8388780169602086,0.1403802153875875,2,1.0,0.9194390084801043,1.087619723306137
freeze_back_quarter,right-16x32,libero_long,task_init,2,1.9583333333333335,0.039930555555555525,2,1.0,0.9791666666666667,1.0212765957446808
freeze_back_quarter,right-16x32,libero_spatial,task,0,0.0,0.0,0,,,
freeze_back_quarter,right-16x32,libero_spatial,task_init,0,0.0,0.0,0,,,
freeze_back_quarter,right-50x8-20260903,libero_goal,task,9,9.0,0.0,9,1.0,1.0,1.0
freeze_back_quarter,right-50x8-20260903,libero_goal,task_init,9,9.0,0.0,9,1.0,1.0,1.0
freeze_back_quarter,right-50x8-20260903,libero_long,task,0,0.0,0.0,0,,,
freeze_back_quarter,right-50x8-20260903,libero_long,task_init,0,0.0,0.0,0,,,
freeze_back_quarter,right-50x8-20260903,libero_object,task,1,1.0,0.0,1,1.0,1.0,1.0
freeze_back_quarter,right-50x8-20260903,libero_object,task_init,1,1.0,0.0,1,1.0,1.0,1.0
freeze_back_quarter,right-50x8-20260903,libero_spatial,task,0,0.0,0.0,0,,,
freeze_back_quarter,right-50x8-20260903,libero_spatial,task_init,0,0.0,0.0,0,,,
freeze_back_quarter,right-50x8b-20260903,libero_goal,task,12,12.0,0.0,12,1.0,1.0,1.0
freeze_back_quarter,right-50x8b-20260903,libero_goal,task_init,12,12.0,0.0,12,1.0,1.0,1.0
freeze_back_quarter,right-50x8b-20260903,libero_long,task,1,0.893491124260355,0.09516473512832183,1,1.0,0.893491124260355,1.119205298013245
freeze_back_quarter,right-50x8b-20260903,libero_long,task_init,1,1.0,0.0,1,1.0,1.0,1.0
freeze_back_quarter,right-50x8b-20260903,libero_object,task,0,0.0,0.0,0,,,
freeze_back_quarter,right-50x8b-20260903,libero_object,task_init,0,0.0,0.0,0,,,
freeze_back_quarter,right-50x8b-20260903,libero_spatial,task,0,0.0,0.0,0,,,
freeze_back_quarter,right-50x8b-20260903,libero_spatial,task_init,0,0.0,0.0,0,,,
freeze_back_half,right-16x32,libero_goal,task,38,38.0,0.0,38,1.0,1.0,1.0
freeze_back_half,right-16x32,libero_goal,task_init,38,38.0,0.0,38,1.0,1.0,1.0
freeze_back_half,right-16x32,libero_long,task,175,73.21806796631974,35.47994203725651,189,0.9259259259259259,0.3873971850069827,2.390120428751273
freeze_back_half,right-16x32,libero_long,task_init,175,136.4241930666212,17.491612056194185,189,0.9259259259259259,0.7218211273366201,1.2827636804458924
freeze_back_half,right-16x32,libero_spatial,task,43,43.116106700317225,1.2020036492420338,45,0.9555555555555556,0.9581357044514939,0.9973071153867339
freeze_back_half,right-16x32,libero_spatial,task_init,43,43.333333333333336,0.7222222222222222,45,0.9555555555555556,0.962962962962963,0.9923076923076922
freeze_back_half,right-50x8-20260903,libero_goal,task,63,58.31549459459589,1.9078276373880743,64,0.984375,0.9111796030405608,1.080330372535985
freeze_back_half,right-50x8-20260903,libero_goal,task_init,63,60.575,0.48812500000000003,64,0.984375,0.946484375,1.040033016921172
freeze_back_half,right-50x8-20260903,libero_long,task,186,101.45440355847944,30.32023742343391,239,0.7782426778242678,0.4244954123785751,1.8333358974683394
freeze_back_half,right-50x8-20260903,libero_long,task_init,186,159.4464285714286,17.43505810657596,239,0.7782426778242678,0.6671398684997013,1.1665360062716987
freeze_back_half,right-50x8-20260903,libero_object,task,20,15.600344657693336,4.866577343037226,351,0.05698005698005698,0.04444542637519469,1.2820229577515754
freeze_back_half,right-50x8-20260903,libero_object,task_init,20,17.285714285714285,1.3866213151927438,351,0.05698005698005698,0.04924704924704924,1.15702479338843
freeze_back_half,right-50x8-20260903,libero_spatial,task,81,81.0,0.0,81,1.0,1.0,1.0
freeze_back_half,right-50x8-20260903,libero_spatial,task_init,81,81.0,0.0,81,1.0,1.0,1.0
freeze_back_half,right-50x8b-20260903,libero_goal,task,57,54.12346263780722,2.142232602675814,57,1.0,0.949534432242232,1.0531476964332915
freeze_back_half,right-50x8b-20260903,libero_goal,task_init,57,55.666666666666664,0.7022222222222222,57,1.0,0.9766081871345029,1.0239520958083832
freeze_back_half,right-50x8b-20260903,libero_long,task,189,97.95967011686355,31.560366179797686,234,0.8076923076923077,0.41863106887548523,1.9293654192028975
