split,model,selection,transitions,episodes,increases,increase_rate,median_delta
test_unseen_init,support_current,all,50069,5956,24034,0.48001757574547127,-0.0009562940344975956
test_unseen_init,support_current,successful_after_alarm,136,10,73,0.5367647058823529,0.0025831890117495315
test_unseen_init,support_current,failed_after_alarm,1188,85,628,0.5286195286195287,0.0030774913510530078
test_unseen_init,support_window4,all,50069,5956,25056,0.5004294074177635,7.521379561725716e-06
test_unseen_init,support_window4,successful_after_alarm,136,10,69,0.5073529411764706,0.00026942735475676827
test_unseen_init,support_window4,failed_after_alarm,1188,85,636,0.5353535353535354,0.0029084984670290637
test_unseen_init,support_prefix_mean,all,50069,5956,23280,0.46495835746669595,-0.00028491462347657315
test_unseen_init,support_prefix_mean,successful_after_alarm,136,10,71,0.5220588235294118,0.0005228695452189625
test_unseen_init,support_prefix_mean,failed_after_alarm,1188,85,267,0.22474747474747475,-0.0024374290810049715
test_unseen_init,support_prefix_max,all,50069,5956,0,0.0,0.0
test_unseen_init,support_prefix_max,successful_after_alarm,136,10,0,0.0,0.0
test_unseen_init,support_prefix_max,failed_after_alarm,1188,85,0,0.0,0.0
test_new_noise_seen_init,support_current,all,101441,11877,47720,0.47042123007462466,-0.0012017499958553168
test_new_noise_seen_init,support_current,successful_after_alarm,246,18,122,0.4959349593495935,-0.00023386417548110217
test_new_noise_seen_init,support_current,failed_after_alarm,2754,189,1411,0.5123456790123457,0.001387028985976979
test_new_noise_seen_init,support_window4,all,101441,11877,47911,0.4723040979485612,-0.00038396676239449423
test_new_noise_seen_init,support_window4,successful_after_alarm,246,18,124,0.5040650406504065,0.0007917099382974135
test_new_noise_seen_init,support_window4,failed_after_alarm,2754,189,1426,0.5177923021060276,0.00117727355851599
test_new_noise_seen_init,support_prefix_mean,all,101441,11877,44064,0.4343805759012628,-0.0004137563180672821
test_new_noise_seen_init,support_prefix_mean,successful_after_alarm,246,18,95,0.3861788617886179,-0.0028007635060307567
test_new_noise_seen_init,support_prefix_mean,failed_after_alarm,2754,189,566,0.20551924473493102,-0.0030556589537665824
test_new_noise_seen_init,support_prefix_max,all,101441,11877,0,0.0,0.0
test_new_noise_seen_init,support_prefix_max,successful_after_alarm,246,18,0,0.0,0.0
test_new_noise_seen_init,support_prefix_max,failed_after_alarm,2754,189,0,0.0,0.0
